<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XPAY.US,D,20241108,000000,58.995,59.2679,58.995,59.1433,2472,0
XPAY.US,D,20241111,000000,59.255,59.39,59.13,59.38,3233,0
XPAY.US,D,20241112,000000,59.3582,59.3582,58.87,59.0681,4240,0
XPAY.US,D,20241113,000000,59.0886,59.3,59.02,59.1208,6276,0
XPAY.US,D,20241114,000000,59.08,59.13,58.64,58.7593,6768,0
XPAY.US,D,20241115,000000,58.38,58.38,57.8399,57.9835,12443,0
XPAY.US,D,20241118,000000,57.9,58.33,57.9,58.1366,7893,0
XPAY.US,D,20241119,000000,58.1957,59.77,58.17,58.4,1150,0
XPAY.US,D,20241120,000000,58.0906,58.43,57.92,58.37,3766,0
XPAY.US,D,20241121,000000,58.49,58.76,58.1799,58.7203,1878,0
XPAY.US,D,20241122,000000,58.725,58.92,58.67,58.9117,2738,0
XPAY.US,D,20241125,000000,59.409,59.409,58.92,59.118,8710,0
XPAY.US,D,20241126,000000,59.32,59.76,59.23,59.4699,13689,0
XPAY.US,D,20241127,000000,59.5,59.5,59.01,59.2112,5498,0
XPAY.US,D,20241129,000000,59.25,59.72,59.25,59.6126,2317,0
XPAY.US,D,20241202,000000,59.78,59.78,59.55,59.7121,6889,0
XPAY.US,D,20241203,000000,59.6194,59.8,59.6,59.7387,4647,0
XPAY.US,D,20241204,000000,60.02,60.19,59.92,60.1437,12460,0
XPAY.US,D,20241205,000000,60.1641,60.1796,60.0291,60.0291,5333,0
XPAY.US,D,20241206,000000,60.3,60.32,60.1,60.1541,6461,0
XPAY.US,D,20241209,000000,60,60.62,59.7687,59.7687,15606,0
XPAY.US,D,20241210,000000,59.91,59.97,59.64,59.68,26939,0
XPAY.US,D,20241211,000000,58.93,59.15,58.93,59.01,11968,0
XPAY.US,D,20241212,000000,58.94,59.05,58.81,58.8188,7733,0
XPAY.US,D,20241213,000000,58.98,58.98,58.66,58.7934,11984,0
XPAY.US,D,20241216,000000,59.0144,59.17,58.77,58.9822,16760,0
XPAY.US,D,20241217,000000,58.7585,58.89,58.7279,58.876,3690,0
XPAY.US,D,20241218,000000,58.88,59.065,57.338,57.338,5929,0
XPAY.US,D,20241219,000000,57.4828,57.53,57.02,57.02,7693,0
XPAY.US,D,20241220,000000,56.7618,58.1381,56.66,57.5813,11773,0
XPAY.US,D,20241223,000000,57.4,58.05,57.38,58.05,7794,0
XPAY.US,D,20241224,000000,58.3349,58.7,58.3349,58.7,4365,0
XPAY.US,D,20241226,000000,58.5782,58.755,58.5,58.64,15118,0
XPAY.US,D,20241227,000000,58.15,58.445,57.65,57.99,14876,0
XPAY.US,D,20241230,000000,57.175,57.6,57.0499,57.4092,10621,0
