<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CORO.US,D,20241209,000000,25.39,25.39,25.2466,25.2466,3546,0
CORO.US,D,20241210,000000,25.17,25.17,25.01,25.01,1881,0
CORO.US,D,20241211,000000,25.05,25.1111,25.05,25.1111,647,0
CORO.US,D,20241212,000000,25.01,25.01,24.9175,24.9175,1113,0
CORO.US,D,20241220,000000,24.13,24.1348,24.13,24.1348,165,0
CORO.US,D,20241230,000000,23.95,23.95,23.73,23.8091,8046,0
CORO.US,D,20241231,000000,23.73,23.7732,23.71,23.7732,524,0
CORO.US,D,20250102,000000,23.8399,23.8399,23.7237,23.7237,140,0
CORO.US,D,20250103,000000,23.78,23.8522,23.78,23.8522,210,0
CORO.US,D,20250107,000000,24.03,24.03,23.9653,23.9653,139,0
CORO.US,D,20250227,000000,25.53,25.538,25.2859,25.2859,824,0
CORO.US,D,20250228,000000,25.22,25.2248,25.2,25.2248,1208,0
CORO.US,D,20250305,000000,25.98,25.98,25.9671,25.9671,607,0
CORO.US,D,20250313,000000,25.398,25.4,25.3596,25.3596,820,0
CORO.US,D,20250319,000000,26.13,26.26,26.1299,26.25,8127,0
CORO.US,D,20250327,000000,25.77,25.77,25.7489,25.7489,916,0
CORO.US,D,20250328,000000,25.51,25.51,25.4319,25.4319,828,0
CORO.US,D,20250404,000000,23.931,23.9749,23.3456,23.3456,378,0
CORO.US,D,20250407,000000,22.86,22.86,22.852,22.852,131,0
CORO.US,D,20250408,000000,23.45,23.45,22.54,22.54,264,0
CORO.US,D,20250410,000000,23.56,23.79,23.5599,23.79,911,0
CORO.US,D,20250417,000000,24.959,24.959,24.9212,24.9212,100,0
CORO.US,D,20250429,000000,26.09,26.09,26.04,26.058,776,0
CORO.US,D,20250507,000000,26.55,26.55,26.45,26.45,601,0
CORO.US,D,20250512,000000,26.65,26.78,26.64,26.78,1198,0
CORO.US,D,20250516,000000,26.96,27.045,26.9599,27.045,883,0
CORO.US,D,20250520,000000,27.29,27.3284,27.2462,27.3069,564,0
CORO.US,D,20250523,000000,27.243,27.28,27.243,27.28,543,0
CORO.US,D,20250527,000000,27.519,27.55,27.49,27.51,8331,0
CORO.US,D,20250528,000000,27.3,27.31,27.3,27.31,6767,0
CORO.US,D,20250529,000000,27.52,27.52,27.413,27.43,7819,0
CORO.US,D,20250530,000000,27.37,27.38,27.345,27.345,8171,0
CORO.US,D,20250602,000000,27.4995,27.63,27.4995,27.6107,16456,0
CORO.US,D,20250603,000000,27.5399,27.5399,27.515,27.515,6894,0
CORO.US,D,20250604,000000,27.71,27.76,27.68,27.68,11433,0
CORO.US,D,20250605,000000,27.81,27.81,27.683,27.73,1062,0
CORO.US,D,20250606,000000,27.72,27.7945,27.72,27.7945,4899,0
CORO.US,D,20250609,000000,27.93,27.97,27.855,27.855,12322,0
CORO.US,D,20250610,000000,27.87,27.8984,27.82,27.8984,3062,0
CORO.US,D,20250611,000000,27.94,27.94,27.905,27.905,1656,0
CORO.US,D,20250612,000000,28.08,28.11,28.04,28.05,12997,0
CORO.US,D,20250613,000000,27.775,27.775,27.7,27.74,14712,0
CORO.US,D,20250616,000000,27.9584,27.9584,27.945,27.945,1019,0
CORO.US,D,20250617,000000,27.77,27.77,27.56,27.56,3413,0
CORO.US,D,20250618,000000,27.68,27.69,27.58,27.6,1558,0
CORO.US,D,20250620,000000,27.47,27.5,27.4,27.43,7273,0
CORO.US,D,20250623,000000,27.5784,27.6184,27.5784,27.6184,608,0
CORO.US,D,20250624,000000,27.95,28.145,27.95,28.114,7347,0
CORO.US,D,20250625,000000,27.96,27.96,27.96,27.96,171,0
CORO.US,D,20250627,000000,28.4,28.4,28.27,28.34,14188,0
CORO.US,D,20250701,000000,28.41,28.51,28.41,28.42,9945,0
CORO.US,D,20250702,000000,28.17,28.24,28.17,28.215,935,0
CORO.US,D,20250703,000000,28.2724,28.2724,28.253,28.2595,352,0
CORO.US,D,20250707,000000,27.96,27.98,27.935,27.935,2125,0
CORO.US,D,20250708,000000,28.0149,28.16,28.0149,28.155,5412,0
CORO.US,D,20250709,000000,28.13,28.24,28.13,28.19,861,0
CORO.US,D,20250711,000000,28.2,28.2,28.03,28.03,1179,0
CORO.US,D,20250714,000000,28.07,28.13,28.02,28.125,1898,0
CORO.US,D,20250715,000000,28.0099,28.01,27.985,28.005,2163,0
CORO.US,D,20250717,000000,28.09,28.23,28.09,28.225,3837,0
CORO.US,D,20250718,000000,28.32,28.32,28.1288,28.1362,3720,0
CORO.US,D,20250721,000000,28.28,28.28,28.28,28.28,567,0
