<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUSEP.US,D,20250605,000000,25,25.05,24.98,25,101825,0
BUSEP.US,D,20250606,000000,25,25.0299,24.95,24.9789,51122,0
BUSEP.US,D,20250609,000000,25.0137,25.05,24.98,24.99,83825,0
BUSEP.US,D,20250610,000000,25.01,25.08,25,25.02,96632,0
BUSEP.US,D,20250611,000000,25.06,25.07,25,25.03,100910,0
BUSEP.US,D,20250612,000000,25.05,25.08,24.98,25.0299,44769,0
BUSEP.US,D,20250613,000000,25.03,25.03,24.9,25.01,74357,0
BUSEP.US,D,20250616,000000,25.01,25.01,24.95,24.95,31627,0
BUSEP.US,D,20250617,000000,25,25,24.95,24.98,51491,0
BUSEP.US,D,20250618,000000,25,25,24.97,24.97,27549,0
BUSEP.US,D,20250620,000000,25.03,25.03,25,25.02,20746,0
BUSEP.US,D,20250623,000000,25.0165,25.03,24.98,25.02,67382,0
BUSEP.US,D,20250624,000000,25.03,25.21,25.03,25.1,93782,0
BUSEP.US,D,20250625,000000,25.15,25.19,25.1,25.15,60137,0
BUSEP.US,D,20250626,000000,25.18,25.21,25.14,25.14,70377,0
BUSEP.US,D,20250627,000000,25.2,25.27,25.12,25.14,78000,0
BUSEP.US,D,20250630,000000,25.18,25.25,25.04,25.04,849456,0
BUSEP.US,D,20250701,000000,25.11,25.18,25.045,25.05,31463,0
BUSEP.US,D,20250702,000000,25.1,25.165,25.06,25.08,111625,0
BUSEP.US,D,20250703,000000,25.15,25.1999,25.11,25.18,4289,0
BUSEP.US,D,20250707,000000,25.11,25.19,25.05,25.14,30065,0
BUSEP.US,D,20250708,000000,25.15,25.15,25.06,25.12,98426,0
BUSEP.US,D,20250709,000000,25.2,25.29,25.18,25.245,89569,0
BUSEP.US,D,20250710,000000,25.27,25.35,25.24,25.3,62654,0
BUSEP.US,D,20250711,000000,25.3,25.355,25.27,25.29,23037,0
BUSEP.US,D,20250714,000000,25.3,25.35,25.25,25.33,50040,0
BUSEP.US,D,20250715,000000,25.34,25.41,25.3,25.35,82624,0
BUSEP.US,D,20250716,000000,26.13,26.13,25.3,25.375,110408,0
BUSEP.US,D,20250717,000000,25.4,25.5,25.4,25.48,35287,0
BUSEP.US,D,20250718,000000,25.6099,25.61,25.37,25.37,52378,0
BUSEP.US,D,20250721,000000,25.43,25.47,25.37,25.46,37204,0
