<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTENW.US,D,20250623,000000,0.8,0.8,0.5601,0.5601,1918,0
GTENW.US,D,20250624,000000,0.6,0.6201,0.6,0.61,175283,0
GTENW.US,D,20250625,000000,0.63,0.65,0.61,0.6446,278186,0
GTENW.US,D,20250626,000000,0.6499,0.6999,0.622,0.622,66608,0
GTENW.US,D,20250627,000000,0.65,0.65,0.5531,0.5531,1830,0
GTENW.US,D,20250630,000000,0.63,0.63,0.59,0.59,7663,0
GTENW.US,D,20250701,000000,0.5999,0.5999,0.5658,0.59,1975,0
GTENW.US,D,20250702,000000,0.5501,0.5899,0.545,0.56,21490,0
GTENW.US,D,20250703,000000,0.56,0.56,0.56,0.56,12905,0
GTENW.US,D,20250707,000000,0.56,0.56,0.56,0.56,227,0
GTENW.US,D,20250710,000000,0.58,0.6,0.58,0.6,14462,0
GTENW.US,D,20250714,000000,0.54,0.5712,0.54,0.5712,3500,0
GTENW.US,D,20250715,000000,0.54,0.55,0.54,0.545,2500,0
GTENW.US,D,20250716,000000,0.545,0.642,0.545,0.61,25379,0
GTENW.US,D,20250717,000000,0.65,0.65,0.632,0.65,2600,0
GTENW.US,D,20250721,000000,0.65,0.65,0.65,0.65,2025,0
