<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CEPT.US,D,20250502,000000,11,11.25,10.8,11.08,10218381,0
CEPT.US,D,20250505,000000,11.16,11.18,10.93,11,1429697,0
CEPT.US,D,20250506,000000,10.91,11.02,10.9,10.91,875905,0
CEPT.US,D,20250507,000000,10.95,11.02,10.9,10.95,527494,0
CEPT.US,D,20250508,000000,11,11.19,10.85,11.19,1262675,0
CEPT.US,D,20250509,000000,11.18,11.31,11.0119,11.11,630502,0
CEPT.US,D,20250512,000000,11.3,11.385,11.2,11.26,849802,0
CEPT.US,D,20250513,000000,11.26,11.476,10.99,11.3,368080,0
CEPT.US,D,20250514,000000,11.38,11.43,11.22,11.36,327718,0
CEPT.US,D,20250515,000000,11.25,11.3,11.02,11.17,624809,0
CEPT.US,D,20250516,000000,11.25,11.37,11.1401,11.25,385519,0
CEPT.US,D,20250519,000000,11.24,11.375,11.1008,11.27,229956,0
CEPT.US,D,20250520,000000,11.29,11.35,11.2,11.3,197135,0
CEPT.US,D,20250521,000000,11.27,11.285,11.15,11.21,226535,0
CEPT.US,D,20250522,000000,11.19,11.38,11.1546,11.27,178017,0
CEPT.US,D,20250523,000000,11.3,11.67,11.28,11.46,350344,0
CEPT.US,D,20250527,000000,11.53,11.55,11.3,11.5,426079,0
CEPT.US,D,20250528,000000,11.55,11.582,11.36,11.36,370500,0
CEPT.US,D,20250529,000000,11.45,11.5,11.3208,11.45,284652,0
CEPT.US,D,20250530,000000,11.43,11.53,11.365,11.47,203933,0
CEPT.US,D,20250602,000000,11.58,11.58,11.4322,11.51,130398,0
CEPT.US,D,20250603,000000,11.54,11.74,11.54,11.62,151965,0
CEPT.US,D,20250604,000000,11.76,11.76,11.5,11.56,292251,0
CEPT.US,D,20250605,000000,11.6,11.6,11.3,11.35,182521,0
CEPT.US,D,20250606,000000,11.31,11.37,11.24,11.24,242752,0
CEPT.US,D,20250609,000000,11.28,11.49,11.27,11.45,162318,0
CEPT.US,D,20250610,000000,11.48,11.48,11.33,11.36,95570,0
CEPT.US,D,20250611,000000,11.45,11.46,11.35,11.35,76980,0
CEPT.US,D,20250612,000000,11.39,11.44,11.32,11.385,30236,0
CEPT.US,D,20250613,000000,11.35,11.39,11.31,11.37,29897,0
CEPT.US,D,20250616,000000,11.45,11.45,11.31,11.385,40556,0
CEPT.US,D,20250617,000000,11.33,11.55,11.32,11.46,481739,0
CEPT.US,D,20250618,000000,11.45,11.51,11.43,11.45,73258,0
CEPT.US,D,20250620,000000,11.5,11.69,11.46,11.64,227887,0
CEPT.US,D,20250623,000000,11.6,11.6,11.4254,11.485,211480,0
CEPT.US,D,20250624,000000,11.55,11.87,11.24,11.35,300694,0
CEPT.US,D,20250625,000000,11.33,11.355,10.71,10.91,564539,0
CEPT.US,D,20250626,000000,10.88,11.14,10.88,10.97,244079,0
CEPT.US,D,20250627,000000,10.955,11.05,10.9,10.91,75100,0
CEPT.US,D,20250630,000000,10.91,11.05,10.91,11.03,99989,0
CEPT.US,D,20250701,000000,11.06,11.1,10.93,10.93,101736,0
CEPT.US,D,20250702,000000,11.0104,11.05,10.88,10.94,49801,0
CEPT.US,D,20250703,000000,10.95,11,10.94,10.9976,35599,0
CEPT.US,D,20250707,000000,11.01,11.01,10.885,10.9,60764,0
CEPT.US,D,20250708,000000,10.99,10.99,10.61,10.85,218361,0
CEPT.US,D,20250709,000000,10.85,10.9,10.7,10.71,126057,0
CEPT.US,D,20250710,000000,10.75,10.91,10.7105,10.83,588371,0
CEPT.US,D,20250711,000000,10.85,11.125,10.85,11.05,198098,0
CEPT.US,D,20250714,000000,11.11,11.19,11.05,11.09,101841,0
CEPT.US,D,20250715,000000,11.02,12.49,11.02,11.46,542117,0
CEPT.US,D,20250716,000000,11.5,11.75,11.47,11.7,769984,0
CEPT.US,D,20250717,000000,11.83,11.875,11.5438,11.69,267959,0
CEPT.US,D,20250718,000000,11.75,11.75,11.37,11.41,104647,0
CEPT.US,D,20250721,000000,11.45,11.45,11.17,11.26,144962,0
