<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIEE.US,D,20250603,000000,4.5,4.5,2.55,4.01,242601,0
FIEE.US,D,20250604,000000,3.25,3.67,2.91,3.49,1292946,0
FIEE.US,D,20250605,000000,3.14,3.2912,2.915,3,88339,0
FIEE.US,D,20250606,000000,2.96,3.42,2.91,3.4,82327,0
FIEE.US,D,20250609,000000,3.3,3.31,3,3.11,43687,0
FIEE.US,D,20250610,000000,3.24,3.24,3.01,3.04,41122,0
FIEE.US,D,20250611,000000,3.14,3.38,3.0615,3.21,28366,0
FIEE.US,D,20250612,000000,3.08,3.1455,3.05,3.05,8901,0
FIEE.US,D,20250613,000000,2.92,3.03,2.65,2.65,48663,0
FIEE.US,D,20250616,000000,2.62,2.6583,2.24,2.36,33517,0
FIEE.US,D,20250617,000000,2.63,2.9,2.31,2.78,8733017,0
FIEE.US,D,20250618,000000,2.61,3,2.53,3,226969,0
FIEE.US,D,20250620,000000,2.77,2.909,2.7,2.7904,55212,0
FIEE.US,D,20250623,000000,2.64,3.19,2.64,2.95,98903,0
FIEE.US,D,20250624,000000,2.84,2.9426,2.77,2.81,27905,0
FIEE.US,D,20250625,000000,2.8986,2.95,2.75,2.81,20574,0
FIEE.US,D,20250626,000000,2.89,3.12,2.7601,3,49557,0
FIEE.US,D,20250627,000000,2.85,3.1,2.84,2.94,40945,0
FIEE.US,D,20250630,000000,2.85,3.24,2.64,2.76,99671,0
FIEE.US,D,20250701,000000,2.66,2.74,2.51,2.65,30823,0
FIEE.US,D,20250702,000000,2.58,2.7497,2.58,2.67,3920215,0
FIEE.US,D,20250703,000000,3.68,3.69,2.96,3.28,28983018,0
FIEE.US,D,20250707,000000,3.12,3.6,2.93,3.22,630995,0
FIEE.US,D,20250708,000000,3.1,3.3,3.1,3.11,110646,0
FIEE.US,D,20250709,000000,3.04,3.84,3.0211,3.61,694462,0
FIEE.US,D,20250710,000000,2.86,3.49,2.32,3.31,340800,0
FIEE.US,D,20250711,000000,3,3.1816,2.86,2.92,120700,0
FIEE.US,D,20250714,000000,2.83,2.94,2.71,2.94,51881,0
FIEE.US,D,20250715,000000,2.95,3.09,2.8501,3.01,98895,0
FIEE.US,D,20250716,000000,3.16,3.4,3.02,3.06,579842,0
FIEE.US,D,20250717,000000,2.83,2.99,2.83,2.99,98308,0
FIEE.US,D,20250718,000000,2.9,2.96,2.7911,2.82,106627,0
FIEE.US,D,20250721,000000,2.8,2.9819,2.72,2.81,84980,0
