<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVR.US,D,20241213,000000,6,6,5.1,5.6,2207400,0
AVR.US,D,20241216,000000,5.75,5.85,5.41,5.5,436753,0
AVR.US,D,20241217,000000,5.64,5.7499,5.4,5.66,174038,0
AVR.US,D,20241218,000000,5.62,5.84,5.55,5.7,177219,0
AVR.US,D,20241219,000000,5.79,5.9,5.58,5.78,62237,0
AVR.US,D,20241220,000000,5.7,5.7459,5.55,5.58,72014,0
AVR.US,D,20241223,000000,5.67,5.67,5.46,5.51,45341,0
AVR.US,D,20241224,000000,5.46,5.74,5.27,5.52,42051,0
AVR.US,D,20241226,000000,5.5,5.6,5.4,5.49,48618,0
AVR.US,D,20241227,000000,5.62,5.62,5.4,5.61,234876,0
AVR.US,D,20241230,000000,5.5,5.59,5.3,5.58,109879,0
AVR.US,D,20241231,000000,5.58,5.59,5.4,5.58,33665,0
AVR.US,D,20250102,000000,5.46,5.6,5.25,5.55,65090,0
AVR.US,D,20250103,000000,5.39,5.59,5.35,5.59,104439,0
AVR.US,D,20250106,000000,5.53,5.61,5.45,5.61,114562,0
AVR.US,D,20250107,000000,5.95,5.9891,5.73,5.75,422299,0
AVR.US,D,20250108,000000,5.84,5.93,5.6264,5.63,157529,0
AVR.US,D,20250110,000000,5.9,6.04,5.79,6,319212,0
AVR.US,D,20250113,000000,6,6.1,5.6,5.6,82133,0
AVR.US,D,20250114,000000,5.6,5.79,5.6,5.61,42868,0
AVR.US,D,20250115,000000,5.64,6,5.64,5.87,62230,0
AVR.US,D,20250116,000000,5.84,6.02,5.8,6,918644,0
AVR.US,D,20250117,000000,5.94,6,5.9,5.99,52462,0
AVR.US,D,20250121,000000,6,6,5.81,5.88,47998,0
AVR.US,D,20250122,000000,5.82,6,5.82,5.99,67805,0
AVR.US,D,20250123,000000,6,6.02,5.83,5.96,97240,0
AVR.US,D,20250124,000000,5.99,6,5.91,5.99,45311,0
AVR.US,D,20250127,000000,6,6.01,5.94,6,64514,0
AVR.US,D,20250128,000000,6.005,6.01,5.9584,6,41929,0
AVR.US,D,20250129,000000,5.98,6,5.89,5.95,77529,0
AVR.US,D,20250130,000000,6.08,6.08,5.92,5.98,78924,0
AVR.US,D,20250131,000000,5.96,6.29,5.94,6.2,285442,0
