<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAICW.US,D,20250623,000000,0.1,0.21,0.1,0.145,1425604,0
DAICW.US,D,20250624,000000,0.15,0.2,0.14,0.154,533695,0
DAICW.US,D,20250625,000000,0.1401,0.1508,0.1201,0.126,268173,0
DAICW.US,D,20250626,000000,0.1275,0.1499,0.1,0.109999,257044,0
DAICW.US,D,20250627,000000,0.1096,0.1096,0.0773,0.085001,48932,0
DAICW.US,D,20250630,000000,0.085,0.085,0.0607,0.079,125421,0
DAICW.US,D,20250701,000000,0.0651,0.077621,0.06,0.065,100978,0
DAICW.US,D,20250702,000000,0.0999,0.1569,0.085,0.09,1861618,0
DAICW.US,D,20250703,000000,0.0895,0.1132,0.075,0.078749,92173,0
DAICW.US,D,20250707,000000,0.0814,0.105629,0.0814,0.0905,72722,0
DAICW.US,D,20250708,000000,0.0905,0.102994,0.0905,0.0973,94749,0
DAICW.US,D,20250709,000000,0.11,0.13,0.1,0.1005,126850,0
DAICW.US,D,20250710,000000,0.12,0.1899,0.11,0.15,1279060,0
DAICW.US,D,20250711,000000,0.1668,0.1668,0.1104,0.14,86382,0
DAICW.US,D,20250714,000000,0.13,0.175,0.13,0.1423,77942,0
DAICW.US,D,20250715,000000,0.155,0.165,0.14,0.1415,131177,0
DAICW.US,D,20250716,000000,0.17,0.1741,0.1451,0.1482,131682,0
DAICW.US,D,20250717,000000,0.1599,0.16,0.1487,0.153,62922,0
DAICW.US,D,20250718,000000,0.1585,0.1602,0.145,0.1451,163603,0
DAICW.US,D,20250721,000000,0.15,0.1749,0.144,0.144,130650,0
