<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMUN.US,D,20250407,000000,49.85,49.85,49.2,49.3857,664,0
FMUN.US,D,20250408,000000,48.775,48.98,48.1447,48.1909,18100,0
FMUN.US,D,20250409,000000,46.86,48.395,46.77,48.395,23564,0
FMUN.US,D,20250410,000000,48.16,49.149,46.21,48.26,40253,0
FMUN.US,D,20250411,000000,48.67,48.98,46.1136,47.9383,21466,0
FMUN.US,D,20250414,000000,48.26,48.4705,47.9915,48.07,10082,0
FMUN.US,D,20250415,000000,47.98,48.3968,47.97,48.215,18464,0
FMUN.US,D,20250416,000000,48.09,48.3584,48.09,48.28,2742,0
FMUN.US,D,20250417,000000,48.27,48.5499,48.26,48.405,5996,0
FMUN.US,D,20250421,000000,48.65,48.65,47.77,48,9043,0
FMUN.US,D,20250422,000000,48.05,48.0992,47.883,48.035,37628,0
FMUN.US,D,20250423,000000,48.25,48.685,48.14,48.255,9805,0
FMUN.US,D,20250424,000000,48.31,48.56,48.31,48.475,1245,0
FMUN.US,D,20250425,000000,48.48,48.72,48.48,48.6,8776,0
FMUN.US,D,20250428,000000,48.36,48.605,48.36,48.605,6590,0
FMUN.US,D,20250429,000000,48.43,48.77,48.43,48.675,3305,0
FMUN.US,D,20250430,000000,48.56,48.84,48.48,48.75,13166,0
FMUN.US,D,20250501,000000,48.58,48.89,48.58,48.66,24796,0
FMUN.US,D,20250502,000000,48.6834,48.6834,48.51,48.67,9150,0
FMUN.US,D,20250505,000000,48.7,48.7,48.541,48.615,6661,0
FMUN.US,D,20250506,000000,48.62,48.71,48.51,48.71,10809,0
FMUN.US,D,20250507,000000,48.67,48.8034,48.67,48.78,2718,0
FMUN.US,D,20250508,000000,48.8394,48.89,48.72,48.7326,7150,0
FMUN.US,D,20250509,000000,48.72,48.7845,48.6,48.725,8916,0
FMUN.US,D,20250512,000000,48.73,48.8398,48.665,48.755,11795,0
FMUN.US,D,20250513,000000,48.63,48.77,48.62,48.71,4774,0
FMUN.US,D,20250514,000000,48.63,48.68,48.47,48.61,5348,0
FMUN.US,D,20250515,000000,48.6,48.8899,48.6,48.79,10290,0
FMUN.US,D,20250516,000000,48.76,48.87,48.76,48.805,5033,0
FMUN.US,D,20250519,000000,48.54,48.765,48.54,48.765,6932,0
FMUN.US,D,20250520,000000,48.79,48.79,48.5,48.705,13503,0
FMUN.US,D,20250521,000000,48.6,48.655,48.4,48.455,9052,0
FMUN.US,D,20250522,000000,48.35,48.41,48.16,48.41,19211,0
FMUN.US,D,20250523,000000,48.33,48.62,48.33,48.53,9766,0
FMUN.US,D,20250527,000000,48.59,48.78,48.59,48.7445,4196,0
FMUN.US,D,20250528,000000,48.74,48.74,48.5401,48.65,6198,0
FMUN.US,D,20250529,000000,48.53,48.64,48.53,48.585,3254,0
FMUN.US,D,20250530,000000,48.55,48.62,48.44,48.465,17821,0
FMUN.US,D,20250602,000000,48.47,48.47,48.34,48.385,6728,0
FMUN.US,D,20250603,000000,48.39,48.43,48.33,48.42,3759,0
FMUN.US,D,20250604,000000,48.49,48.5899,48.49,48.56,9969,0
FMUN.US,D,20250605,000000,48.5768,48.62,48.45,48.5,5154,0
FMUN.US,D,20250606,000000,48.53,48.53,48.33,48.37,3043,0
FMUN.US,D,20250609,000000,48.31,48.5,48.31,48.475,8713,0
FMUN.US,D,20250610,000000,48.63,48.63,48.31,48.34,7485,0
FMUN.US,D,20250611,000000,48.31,48.46,48.31,48.375,4701,0
FMUN.US,D,20250612,000000,48.6,48.61,48.5,48.555,3059,0
FMUN.US,D,20250613,000000,48.55,48.55,48.36,48.435,1952,0
FMUN.US,D,20250616,000000,48.52,48.69,48.46,48.62,7517,0
FMUN.US,D,20250617,000000,48.62,48.7488,48.525,48.525,5100,0
FMUN.US,D,20250618,000000,48.52,48.57,48.44,48.495,7583,0
FMUN.US,D,20250620,000000,48.49,48.6399,48.4808,48.53,10186,0
FMUN.US,D,20250623,000000,48.52,48.7,48.51,48.615,17958,0
FMUN.US,D,20250624,000000,48.62,48.7096,48.62,48.68,2992,0
FMUN.US,D,20250625,000000,48.68,48.68,48.57,48.6,14772,0
FMUN.US,D,20250626,000000,48.59,48.689,48.59,48.645,4664,0
FMUN.US,D,20250627,000000,48.46,48.55,48.46,48.49,10469,0
FMUN.US,D,20250630,000000,48.64,48.66,48.55,48.6359,8287,0
FMUN.US,D,20250701,000000,48.6,48.83,48.6,48.78,13805,0
FMUN.US,D,20250702,000000,48.79,48.83,48.7442,48.82,6713,0
FMUN.US,D,20250703,000000,48.83,48.84,48.74,48.79,4361,0
FMUN.US,D,20250707,000000,48.75,48.97,48.73,48.775,5947,0
FMUN.US,D,20250708,000000,48.7154,48.81,48.6856,48.735,7131,0
FMUN.US,D,20250709,000000,48.811,48.83,48.72,48.79,8246,0
FMUN.US,D,20250710,000000,48.74,48.86,48.73,48.785,6024,0
FMUN.US,D,20250711,000000,48.75,48.77,48.6542,48.6542,5378,0
FMUN.US,D,20250714,000000,48.6648,48.73,48.6,48.68,5717,0
FMUN.US,D,20250715,000000,48.675,48.675,48.575,48.575,617,0
FMUN.US,D,20250716,000000,48.65,48.65,48.475,48.475,6521,0
FMUN.US,D,20250717,000000,48.39,48.39,48.28,48.335,6962,0
FMUN.US,D,20250718,000000,48.3765,48.3765,48.3,48.305,664,0
FMUN.US,D,20250721,000000,48.51,48.57,48.42,48.4256,10183,0
