<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRWL.US,D,20241114,000000,26.1,26.1,25.1913,25.1913,12770,0
CRWL.US,D,20241115,000000,24.96,24.96,23.47,24.0619,15690,0
CRWL.US,D,20241118,000000,24.32,25.3899,24.135,24.8728,13958,0
CRWL.US,D,20241119,000000,24.3557,26.9699,24.3102,26.3721,28729,0
CRWL.US,D,20241120,000000,27,27,25.1854,25.8461,30349,0
CRWL.US,D,20241121,000000,26.53,27.609,26.31,27,35298,0
CRWL.US,D,20241122,000000,27.05,29.17,27.05,29.17,40803,0
CRWL.US,D,20241125,000000,29.73,29.73,27.39,27.78,138005,0
CRWL.US,D,20241126,000000,27.93,28.2159,27.37,27.83,69102,0
CRWL.US,D,20241127,000000,26.89,26.89,24.21,25.26,183885,0
CRWL.US,D,20241129,000000,25.45,25.51,24.96,25.09,22738,0
CRWL.US,D,20241202,000000,24.2,26.149,23.641,25.02,77440,0
CRWL.US,D,20241203,000000,24.74,25.72,24.74,25.54,123409,0
CRWL.US,D,20241204,000000,25.89,27.8943,25.345,27.6,60459,0
CRWL.US,D,20241205,000000,27.26,27.81,26.88,27.69,62374,0
CRWL.US,D,20241206,000000,27.59,28.53,27.1,27.79,60188,0
CRWL.US,D,20241209,000000,27.65,27.8409,25.65,25.92,65551,0
CRWL.US,D,20241210,000000,25.9,26.34,24.68,24.93,19186,0
CRWL.US,D,20241211,000000,25.35,27.479,25.22,27.22,72395,0
CRWL.US,D,20241212,000000,26.809,27.5754,26.74,27.52,18359,0
CRWL.US,D,20241213,000000,27.85,28.125,26.9966,27.88,54404,0
CRWL.US,D,20241216,000000,28.17,31.09,27.5178,30.93,114993,0
CRWL.US,D,20241217,000000,30.77,30.8,28.6293,29.09,142106,0
CRWL.US,D,20241218,000000,29.31,29.31,24.3,25.01,83855,0
CRWL.US,D,20241219,000000,27.11,27.11,24.9766,25.11,54809,0
CRWL.US,D,20241220,000000,24.47,27.111,24.36,26.69,47612,0
CRWL.US,D,20241223,000000,26.11,27.14,25.66,26.58,82318,0
CRWL.US,D,20241224,000000,26.52,27.14,26.35,27.13,38130,0
CRWL.US,D,20241226,000000,27.07,27.2183,26.79,26.99,41938,0
CRWL.US,D,20241227,000000,26.43,26.43,24.81,25.51,38547,0
CRWL.US,D,20241230,000000,24.33,25.18,24.09,24.71,65610,0
CRWL.US,D,20241231,000000,25.07,25.07,23.42,23.63,77536,0
CRWL.US,D,20250102,000000,24.4,24.8,23.5042,24.34,48769,0
CRWL.US,D,20250103,000000,24.71,25.99,24.71,25.95,54056,0
CRWL.US,D,20250106,000000,26.48,27.22,25.59,27.05,98978,0
CRWL.US,D,20250107,000000,26.92,27.58,25.36,26.08,92318,0
CRWL.US,D,20250108,000000,25.6,26.765,24.86,25.9,78758,0
CRWL.US,D,20250110,000000,24.5501,24.9,23.7401,24.4,45826,0
CRWL.US,D,20250113,000000,23.63,23.77,22.63,23.37,49643,0
CRWL.US,D,20250114,000000,23.9128,24.7085,23.8,24.2152,30334,0
CRWL.US,D,20250115,000000,25.0712,26.59,24.88,26.22,34058,0
CRWL.US,D,20250116,000000,26.8,27.07,26.31,26.31,28671,0
CRWL.US,D,20250117,000000,27.19,27.19,24.36,25.44,60630,0
CRWL.US,D,20250121,000000,25.81,27.03,25.77,26.75,46972,0
CRWL.US,D,20250122,000000,27.19,28.9,26.24,28.4,55288,0
CRWL.US,D,20250123,000000,28.16,28.37,27.6499,28.37,25788,0
CRWL.US,D,20250124,000000,28.65,29.26,27.79,27.92,27681,0
CRWL.US,D,20250127,000000,26.78,28.8299,25.7166,27.75,64183,0
CRWL.US,D,20250128,000000,28.24,33.22,28.1,32.93,221637,0
CRWL.US,D,20250129,000000,31.98,32.03,29.971,30.95,138235,0
CRWL.US,D,20250130,000000,31.26,31.9,30.05,30.99,107506,0
CRWL.US,D,20250131,000000,31.28,32.659,31.0542,31.16,159225,0
CRWL.US,D,20250203,000000,29.24,31.39,28.89,31.06,137574,0
CRWL.US,D,20250204,000000,30.84,32.7,30.84,32.54,76397,0
CRWL.US,D,20250205,000000,32.7,34.385,32.1307,33.75,147110,0
CRWL.US,D,20250206,000000,33.9,34.7,33.63,34.54,100283,0
CRWL.US,D,20250207,000000,35.11,36.27,34.41,34.75,104727,0
CRWL.US,D,20250210,000000,35.25,36.3381,35.19,35.93,133156,0
CRWL.US,D,20250211,000000,35.69,36.86,35.14,36.42,109396,0
CRWL.US,D,20250212,000000,35.52,37.27,35.3,36.87,108318,0
CRWL.US,D,20250213,000000,37.02,40.08,36.4,40,158065,0
CRWL.US,D,20250214,000000,39.34,39.87,38.09,39.6,134164,0
CRWL.US,D,20250218,000000,39.75,40.255,38.61,40.22,132395,0
CRWL.US,D,20250219,000000,40.12,40.12,38.41,39.27,135158,0
CRWL.US,D,20250220,000000,38.1,38.1,33.8,36.85,272383,0
CRWL.US,D,20250221,000000,35.32,36.23,31.5894,31.8,158265,0
CRWL.US,D,20250224,000000,31.38,31.59,28.024,29.45,138988,0
CRWL.US,D,20250225,000000,28.71,28.97,26.16,27.62,117229,0
CRWL.US,D,20250226,000000,28.39,30.8399,27.99,29.87,163892,0
CRWL.US,D,20250227,000000,30.8,31.61,27.63,27.68,190797,0
CRWL.US,D,20250228,000000,27.31,29.04,27.23,28.98,128752,0
CRWL.US,D,20250303,000000,30.23,31.15,27.28,27.96,239594,0
CRWL.US,D,20250304,000000,27,29.86,26.3448,29.01,491125,0
CRWL.US,D,20250305,000000,24.79,25.52,22,25.24,617509,0
CRWL.US,D,20250306,000000,24.32,26.0888,22.5907,22.79,279409,0
CRWL.US,D,20250307,000000,22.47,22.66,18.9899,20.91,262575,0
CRWL.US,D,20250310,000000,19.48,19.69,17.26,17.83,177047,0
