<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BASG.US,D,20250616,000000,25.38,25.38,25.3374,25.3374,102,0
BASG.US,D,20250618,000000,25.3,25.38,25.1267,25.1267,471841,0
BASG.US,D,20250620,000000,25.24,25.24,24.98,24.9897,11902,0
BASG.US,D,20250623,000000,24.889,25.1572,24.889,25.1572,38653,0
BASG.US,D,20250624,000000,25.6,25.815,25.5997,25.6448,33500,0
BASG.US,D,20250625,000000,25.73,25.73,25.65,25.6586,3400,0
BASG.US,D,20250626,000000,25.9441,26.46,25.9441,25.9577,16775,0
BASG.US,D,20250627,000000,26.19,26.21,26.005,26.1043,24732,0
BASG.US,D,20250630,000000,26.2,26.35,26.1784,26.2222,19540,0
BASG.US,D,20250701,000000,26.2,26.2,26.04,26.1119,14284,0
BASG.US,D,20250702,000000,26.16,26.2,26.13,26.1549,9353,0
BASG.US,D,20250703,000000,26.58,26.59,26.5745,26.5745,1298,0
BASG.US,D,20250707,000000,26.47,26.47,26.3572,26.3572,103,0
BASG.US,D,20250708,000000,26.36,26.36,26.2922,26.2922,2311,0
BASG.US,D,20250709,000000,26.42,26.428,26.42,26.428,451,0
BASG.US,D,20250710,000000,26.28,26.4,26.28,26.3611,26922,0
BASG.US,D,20250711,000000,26.3499,26.35,26.1984,26.1984,44373,0
BASG.US,D,20250714,000000,26.28,26.3,26.2405,26.2561,326076,0
BASG.US,D,20250715,000000,26.42,26.47,26.2557,26.2557,21108,0
BASG.US,D,20250716,000000,26.1731,26.3182,26.16,26.3182,36506,0
BASG.US,D,20250717,000000,26.43,26.6,26.43,26.5858,12801,0
BASG.US,D,20250718,000000,26.64,26.7567,26.4927,26.5601,1287511,0
BASG.US,D,20250721,000000,26.59,26.67,26.53,26.53,17575,0
