<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CUBWU.US,D,20250310,000000,10.21,10.21,10.18,10.18,4169,0
CUBWU.US,D,20250312,000000,10.4,10.4,10.2,10.22,582,0
CUBWU.US,D,20250318,000000,10.24,10.24,10.24,10.24,4668,0
CUBWU.US,D,20250319,000000,10.4,10.4,10.4,10.4,228,0
CUBWU.US,D,20250325,000000,10.24,10.24,10.2,10.2,1685,0
CUBWU.US,D,20250331,000000,10.29,10.29,10.29,10.29,101,0
CUBWU.US,D,20250403,000000,10.24,10.28,10.24,10.26,3201,0
CUBWU.US,D,20250502,000000,10.35,10.35,10.35,10.35,5002,0
CUBWU.US,D,20250509,000000,10.34,10.4,10.34,10.4,5500,0
CUBWU.US,D,20250514,000000,10.47,10.47,10.47,10.47,501,0
CUBWU.US,D,20250523,000000,10.54,10.54,10.54,10.54,15003,0
CUBWU.US,D,20250528,000000,10.47,10.62,10.47,10.62,22102,0
CUBWU.US,D,20250603,000000,10.62,10.62,10.62,10.62,4434,0
CUBWU.US,D,20250716,000000,11.07,11.94,11,11.94,501,0
