<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BLMZ.US,D,20240724,000000,3.8,4.15,2.25,2.45,2081900,0
BLMZ.US,D,20240725,000000,2.66,4.3,2.6,3.26,13121910,0
BLMZ.US,D,20240726,000000,3.44,3.48,2.8,2.97,1380440,0
BLMZ.US,D,20240729,000000,3.01,3.08,2.5208,2.57,713507,0
BLMZ.US,D,20240730,000000,2.25,2.29,1.55,1.67,640947,0
BLMZ.US,D,20240731,000000,1.82,1.98,1.55,1.59,529315,0
BLMZ.US,D,20240801,000000,1.56,1.6,1.4,1.52,233631,0
BLMZ.US,D,20240802,000000,1.46,1.79,1.38,1.78,591393,0
BLMZ.US,D,20240805,000000,1.35,1.5,1.28,1.37,460047,0
BLMZ.US,D,20240806,000000,1.37,1.37,1.23,1.29,107908,0
BLMZ.US,D,20240807,000000,1.24,1.39,1.2,1.32,126178,0
BLMZ.US,D,20240808,000000,1.34,1.4,1.22,1.26,64111,0
BLMZ.US,D,20240809,000000,1.22,1.2899,1.2,1.276,32741,0
BLMZ.US,D,20240812,000000,1.27,1.5,1.23,1.25,76671,0
BLMZ.US,D,20240813,000000,1.28,1.4,1.21,1.3139,67703,0
BLMZ.US,D,20240814,000000,1.28,1.34,1.23,1.2301,73313,0
BLMZ.US,D,20240815,000000,1.28,1.28,1.1706,1.2,41252,0
BLMZ.US,D,20240816,000000,1.21,1.22,1.11,1.16,86127,0
BLMZ.US,D,20240819,000000,1.17,1.22,1.075,1.1788,147181,0
BLMZ.US,D,20240820,000000,1.2,1.25,1.14,1.1878,79028,0
BLMZ.US,D,20240821,000000,1.11,1.2,1.1004,1.16,78417,0
BLMZ.US,D,20240822,000000,1.2,1.325,1.15,1.28,130901,0
BLMZ.US,D,20240823,000000,1.25,1.44,1.23,1.44,125759,0
BLMZ.US,D,20240826,000000,1.4,1.45,1.15,1.15,125849,0
BLMZ.US,D,20240827,000000,1.17,1.19,0.9629,1.06,134865,0
BLMZ.US,D,20240828,000000,0.98,1.04,0.839,0.9195,131880,0
BLMZ.US,D,20240829,000000,0.9278,1.0999,0.88,1.05,103977,0
BLMZ.US,D,20240830,000000,1.0035,1.07,0.96,1.0101,46961,0
BLMZ.US,D,20240903,000000,1.01,1.02,0.85,0.8515,139354,0
BLMZ.US,D,20240904,000000,0.826,0.902674,0.826,0.865,34002,0
BLMZ.US,D,20240905,000000,0.92,0.92,0.7007,0.808,3911199,0
BLMZ.US,D,20240906,000000,1.42,2.8,1.33,1.77,145444181,0
BLMZ.US,D,20240909,000000,2.15,2.69,1.9301,2.3,58812209,0
BLMZ.US,D,20240910,000000,3.05,3.36,2.05,2.21,44720651,0
BLMZ.US,D,20240911,000000,2.25,2.25,1.66,1.77,3305076,0
BLMZ.US,D,20240912,000000,1.72,1.95,1.7,1.79,1241407,0
BLMZ.US,D,20240913,000000,1.74,2,1.67,1.92,583314,0
BLMZ.US,D,20240916,000000,1.87,1.95,1.6,1.73,505801,0
BLMZ.US,D,20240917,000000,1.73,1.73,1.58,1.62,279243,0
BLMZ.US,D,20240918,000000,1.64,1.6645,1.28,1.37,353317,0
BLMZ.US,D,20240919,000000,1.26,1.3,0.8602,1.03,802525,0
BLMZ.US,D,20240920,000000,1.02,1.13,0.91,1.04,225548,0
BLMZ.US,D,20240923,000000,0.9672,0.9677,0.87,0.8979,211398,0
BLMZ.US,D,20240924,000000,0.8982,0.944266,0.88,0.898,67943,0
BLMZ.US,D,20240925,000000,0.91,0.9308,0.87,0.885,91934,0
BLMZ.US,D,20240926,000000,0.94,1,0.9,0.91,174762,0
BLMZ.US,D,20240927,000000,0.9153,0.98,0.83,0.8502,131530,0
BLMZ.US,D,20240930,000000,0.86,0.909,0.828,0.8688,46345,0
BLMZ.US,D,20241001,000000,0.8571,0.9039,0.7222,0.731,121246,0
BLMZ.US,D,20241002,000000,0.72,0.763,0.69,0.702,86295,0
BLMZ.US,D,20241003,000000,0.739,0.7776,0.701,0.734,45707,0
BLMZ.US,D,20241004,000000,0.717001,0.7535,0.71,0.725,25041,0
BLMZ.US,D,20241007,000000,0.75,0.75,0.6801,0.684,270855,0
BLMZ.US,D,20241008,000000,0.72,0.75,0.68,0.735,470892,0
BLMZ.US,D,20241009,000000,0.695,0.749,0.69,0.7152,5870756,0
BLMZ.US,D,20241010,000000,1.4,1.55,1.13,1.34,81267123,0
BLMZ.US,D,20241011,000000,1.48,1.54,1.22,1.49,12020153,0
BLMZ.US,D,20241014,000000,1.34,1.42,1.21,1.31,891421,0
BLMZ.US,D,20241015,000000,1.26,1.39,1.26,1.28,517032,0
BLMZ.US,D,20241016,000000,1.24,1.3,1.02,1.06,638373,0
BLMZ.US,D,20241017,000000,1.08,1.1,1.01,1.06,277254,0
BLMZ.US,D,20241018,000000,1.01,1.0574,0.95,0.97,208393,0
BLMZ.US,D,20241021,000000,0.98,1.04,0.91,0.962,231946,0
BLMZ.US,D,20241022,000000,0.97,0.97,0.8612,0.8721,157805,0
BLMZ.US,D,20241023,000000,0.835,0.879,0.81,0.8501,68719,0
BLMZ.US,D,20241024,000000,0.88,0.89,0.8501,0.86,31213,0
BLMZ.US,D,20241025,000000,0.86,0.93945,0.86,0.879,135345,0
BLMZ.US,D,20241028,000000,0.86,0.9028,0.7823,0.85,176618,0
BLMZ.US,D,20241029,000000,0.811,0.84,0.78,0.824,122602,0
BLMZ.US,D,20241030,000000,0.802,0.8494,0.7502,0.83,92748,0
BLMZ.US,D,20241031,000000,0.83,0.87,0.8,0.86,202039,0
BLMZ.US,D,20241101,000000,0.8501,0.869,0.8211,0.86,35124,0
BLMZ.US,D,20241104,000000,0.89,0.89,0.8178,0.8543,56595,0
BLMZ.US,D,20241105,000000,0.83,0.92,0.83,0.904,47698,0
BLMZ.US,D,20241106,000000,0.89,0.9195,0.87,0.88,126092,0
BLMZ.US,D,20241107,000000,0.86,0.9162,0.83,0.86,60012,0
BLMZ.US,D,20241108,000000,0.85,0.8793,0.806001,0.873,74884,0
BLMZ.US,D,20241111,000000,0.851,0.8773,0.701,0.768,185901,0
BLMZ.US,D,20241112,000000,0.745,0.8,0.7222,0.8,102951,0
BLMZ.US,D,20241113,000000,0.8,0.8075,0.713,0.747,219384,0
BLMZ.US,D,20241114,000000,0.712,0.748,0.6721,0.6958,844239,0
BLMZ.US,D,20241115,000000,0.6265,0.6856,0.5837,0.63,202991,0
BLMZ.US,D,20241118,000000,0.655,0.655,0.6,0.604,242888,0
BLMZ.US,D,20241119,000000,0.6013,0.6099,0.5,0.558,345200,0
BLMZ.US,D,20241120,000000,0.56,0.5895,0.56,0.589,138875,0
BLMZ.US,D,20241121,000000,0.5713,0.61,0.5303,0.5657,707281,0
BLMZ.US,D,20241122,000000,0.57,0.583,0.5323,0.561,49209,0
BLMZ.US,D,20241125,000000,0.543,0.6785,0.543,0.6777,179371,0
BLMZ.US,D,20241126,000000,0.737,0.737,0.636,0.645,114137,0
BLMZ.US,D,20241127,000000,0.61,0.6201,0.6,0.614,112767,0
