<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COLA.US,D,20250317,000000,9.96,9.96,9.96,9.96,1672,0
COLA.US,D,20250319,000000,9.95,9.98,9.95,9.98,2180,0
COLA.US,D,20250320,000000,10,10,9.96,9.97,312550,0
COLA.US,D,20250321,000000,9.98,9.98,9.98,9.98,50338,0
COLA.US,D,20250324,000000,9.98,9.98,9.96,9.97,55997,0
COLA.US,D,20250325,000000,9.965,9.97,9.96,9.97,420635,0
COLA.US,D,20250326,000000,9.97,9.99,9.96,9.97,813052,0
COLA.US,D,20250327,000000,9.97,9.99,9.97,9.99,78149,0
COLA.US,D,20250328,000000,9.9741,9.9741,9.97,9.97,5437,0
COLA.US,D,20250331,000000,10,10.01,9.985,10.01,13416,0
COLA.US,D,20250404,000000,10,10,10,10,100010,0
COLA.US,D,20250407,000000,10.04,10.04,10.04,10.04,198,0
COLA.US,D,20250409,000000,10.04,10.04,10.04,10.04,2600,0
COLA.US,D,20250410,000000,10.02,10.02,10.01,10.01,884,0
COLA.US,D,20250414,000000,10.04,10.05,10.04,10.05,9425,0
COLA.US,D,20250415,000000,10.03,10.03,10.03,10.03,402,0
COLA.US,D,20250416,000000,10.02,10.02,10,10,622,0
COLA.US,D,20250421,000000,9.99,10,9.99,10,205,0
COLA.US,D,20250422,000000,10,10.015,10,10.015,125718,0
COLA.US,D,20250423,000000,10.01,10.01,10.01,10.01,1147,0
COLA.US,D,20250424,000000,10.02,10.03,10.01,10.02,18457,0
COLA.US,D,20250425,000000,10.02,10.045,10.02,10.04,324130,0
COLA.US,D,20250428,000000,10.02,10.03,10.02,10.03,31794,0
COLA.US,D,20250429,000000,10.03,10.04,10.03,10.04,78421,0
COLA.US,D,20250430,000000,10.03,10.04,10.03,10.03,178289,0
COLA.US,D,20250501,000000,10.0388,10.045,10.0388,10.04,81906,0
COLA.US,D,20250502,000000,10.05,10.07,10.05,10.07,70530,0
COLA.US,D,20250505,000000,10.07,10.07,10.07,10.07,1002,0
COLA.US,D,20250507,000000,10.04,10.1,10.04,10.1,1904,0
COLA.US,D,20250508,000000,10.1,10.1,10.1,10.1,305,0
COLA.US,D,20250513,000000,10.05,10.05,10.05,10.05,130491,0
COLA.US,D,20250514,000000,10.09,10.09,10.075,10.09,53515,0
COLA.US,D,20250527,000000,10.08,10.085,10.08,10.08,136720,0
COLA.US,D,20250530,000000,10.08,10.08,10.08,10.08,3000,0
COLA.US,D,20250604,000000,10.08,10.08,10.08,10.08,196,0
COLA.US,D,20250606,000000,10.09,10.095,10.09,10.095,4676,0
COLA.US,D,20250609,000000,10.09,10.09,10.09,10.09,104,0
COLA.US,D,20250612,000000,10.1,10.1,10.1,10.1,1399,0
COLA.US,D,20250613,000000,10.11,10.11,10.1,10.1,1015,0
COLA.US,D,20250618,000000,10.11,10.11,10.11,10.11,125576,0
COLA.US,D,20250620,000000,10.104,10.104,10.104,10.104,191,0
COLA.US,D,20250623,000000,10.12,10.12,10.1122,10.12,2362,0
COLA.US,D,20250624,000000,10.12,10.1286,10.12,10.12,1510,0
COLA.US,D,20250630,000000,10.1255,10.1362,10.1255,10.1362,327,0
COLA.US,D,20250701,000000,10.17,10.17,10.17,10.17,200,0
COLA.US,D,20250703,000000,10.14,10.14,10.14,10.14,103,0
COLA.US,D,20250709,000000,10.14,10.14,10.14,10.14,188,0
COLA.US,D,20250711,000000,10.17,10.17,10.13,10.13,5200,0
COLA.US,D,20250715,000000,10.14,10.14,10.14,10.14,119,0
COLA.US,D,20250718,000000,10.14,10.14,10.14,10.14,243,0
