<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMFC.US,D,20250625,000000,4.76,6.33,4.2,4.4,3955917,0
FMFC.US,D,20250626,000000,4.78,6.5,4.7,5.37,1642752,0
FMFC.US,D,20250627,000000,4.88,5.2572,4.75,4.92,228159,0
FMFC.US,D,20250630,000000,4.8,5.17,4.6,4.69,184988,0
FMFC.US,D,20250701,000000,4.63,4.94,4.48,4.717,305275,0
FMFC.US,D,20250702,000000,4.84,4.903,4.59,4.785,1306004,0
FMFC.US,D,20250703,000000,4.78,5.06,4.55,5.06,592971,0
FMFC.US,D,20250707,000000,4.96,5.5,4.84,5.13,874653,0
FMFC.US,D,20250708,000000,5.1,5.22,5.1,5.17,54424,0
FMFC.US,D,20250709,000000,5.53,6.3795,5.5,6.3,2719132,0
FMFC.US,D,20250710,000000,6.1,6.37,6.1,6.35,1547569,0
FMFC.US,D,20250711,000000,6.29,6.4607,6.1,6.32,514742,0
FMFC.US,D,20250714,000000,6.13,6.72,6.11,6.47,980011,0
FMFC.US,D,20250715,000000,6.57,6.65,6.35,6.54,281170,0
FMFC.US,D,20250716,000000,6.48,6.57,6.2,6.27,318951,0
FMFC.US,D,20250717,000000,6.3,7.2,6.3,7.19,1706720,0
FMFC.US,D,20250718,000000,7.2,7.27,7.02,7.05,296288,0
FMFC.US,D,20250721,000000,7.19,7.3,7.05,7.16,309277,0
