<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVNX.US,D,20250602,000000,20.9,21.37,19.7154,21.35,16618,0
CVNX.US,D,20250603,000000,21.7862,22.5688,21.671,22.41,18172,0
CVNX.US,D,20250604,000000,22.11,23.37,22,23.12,9821,0
CVNX.US,D,20250605,000000,22.82,23.53,22.41,22.95,9826,0
CVNX.US,D,20250606,000000,23.7,23.7,22.5,22.65,5482,0
CVNX.US,D,20250609,000000,21.5,22.44,21.1,22.44,10621,0
CVNX.US,D,20250610,000000,22.532,23,21.2487,22.13,9128,0
CVNX.US,D,20250611,000000,21.88,22.55,21.86,22.4,3477,0
CVNX.US,D,20250612,000000,21.7682,21.8,19.4977,19.57,21835,0
CVNX.US,D,20250613,000000,17.9273,18.64,16.6401,16.88,35700,0
CVNX.US,D,20250616,000000,17.56,17.56,15.429,15.97,59782,0
CVNX.US,D,20250617,000000,15.74,16.56,15.74,16.52,38195,0
CVNX.US,D,20250618,000000,16.5,18.06,16.46,18.06,31629,0
CVNX.US,D,20250620,000000,18.7925,19.37,18.105,19.32,24638,0
CVNX.US,D,20250623,000000,18.73,19.77,17.69,19.48,29292,0
CVNX.US,D,20250624,000000,20,20.33,19.65,19.82,19077,0
CVNX.US,D,20250625,000000,20.21,20.23,18.4606,18.92,21463,0
CVNX.US,D,20250626,000000,18.6294,18.81,17.71,17.82,20459,0
CVNX.US,D,20250627,000000,17.87,19.32,17.76,19.32,8197,0
CVNX.US,D,20250630,000000,19.91,21.56,19.8,21.56,32344,0
CVNX.US,D,20250701,000000,21.36,22,20.83,21.27,18708,0
CVNX.US,D,20250702,000000,21.9599,22.7184,21.506,22.35,9014,0
CVNX.US,D,20250703,000000,22.36,22.83,21.8312,22.83,9708,0
CVNX.US,D,20250707,000000,22.85,24.23,22.6401,23.77,14348,0
CVNX.US,D,20250708,000000,24.65,24.65,22.16,22.58,24957,0
CVNX.US,D,20250709,000000,22.2,23.2956,22.05,23.24,5921,0
CVNX.US,D,20250710,000000,23.16,23.92,22.25,22.25,19309,0
CVNX.US,D,20250711,000000,22.5,23,21.81,22.29,15338,0
CVNX.US,D,20250714,000000,22.03,23.47,21.93,22.57,15684,0
CVNX.US,D,20250715,000000,22.09,23,20,23,10495,0
CVNX.US,D,20250716,000000,22.6769,23.5,22.6769,23.1494,12533,0
CVNX.US,D,20250717,000000,23.4,23.79,22.12,22.3476,13288,0
CVNX.US,D,20250718,000000,22.28,22.3,21.1001,22.2922,8432,0
CVNX.US,D,20250721,000000,21.65,22.0842,21.5,21.78,8174,0
