<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BACQR.US,D,20241203,000000,0.166,0.17,0.16,0.17,65000,0
BACQR.US,D,20241204,000000,0.16,0.166,0.16,0.166,925200,0
BACQR.US,D,20241206,000000,0.17,0.172,0.17,0.17,33000,0
BACQR.US,D,20241209,000000,0.17,0.17,0.17,0.17,5016,0
BACQR.US,D,20241210,000000,0.17,0.18,0.17,0.18,60000,0
BACQR.US,D,20241212,000000,0.17,0.17,0.17,0.17,25000,0
BACQR.US,D,20241213,000000,0.18,0.19,0.18,0.18,40603,0
BACQR.US,D,20241216,000000,0.18,0.18,0.18,0.18,25000,0
BACQR.US,D,20241217,000000,0.19,0.1916,0.19,0.19,37414,0
BACQR.US,D,20241223,000000,0.192,0.192,0.19,0.19,700,0
BACQR.US,D,20241226,000000,0.176,0.176,0.17,0.17,2438,0
BACQR.US,D,20241230,000000,0.2,0.2,0.1745,0.19,391,0
BACQR.US,D,20241231,000000,0.174,0.174,0.17,0.17,4331,0
BACQR.US,D,20250102,000000,0.17,0.17,0.17,0.17,25059,0
BACQR.US,D,20250106,000000,0.1705,0.18,0.1705,0.18,2657,0
BACQR.US,D,20250107,000000,0.18,0.185,0.18,0.185,59276,0
BACQR.US,D,20250108,000000,0.185,0.2,0.185,0.2,500537,0
BACQR.US,D,20250110,000000,0.196,0.2,0.195,0.2,3558,0
BACQR.US,D,20250113,000000,0.184,0.184,0.184,0.184,100,0
BACQR.US,D,20250116,000000,0.1758,0.1758,0.1758,0.1758,578,0
BACQR.US,D,20250122,000000,0.176,0.176,0.1759,0.1759,1176,0
BACQR.US,D,20250123,000000,0.184,0.199999,0.184,0.199999,1295,0
BACQR.US,D,20250124,000000,0.2,0.2,0.2,0.2,4553,0
BACQR.US,D,20250128,000000,0.19,0.19,0.19,0.19,200,0
BACQR.US,D,20250129,000000,0.2,0.2018,0.2,0.2,1157034,0
BACQR.US,D,20250130,000000,0.2044,0.208,0.2,0.2,815,0
BACQR.US,D,20250131,000000,0.2,0.2044,0.2,0.2,1783,0
BACQR.US,D,20250203,000000,0.2,0.2,0.2,0.2,50000,0
BACQR.US,D,20250205,000000,0.2045,0.208,0.2,0.2,2836,0
BACQR.US,D,20250207,000000,0.2,0.2,0.2,0.2,72326,0
BACQR.US,D,20250210,000000,0.2,0.2,0.1993,0.2,26700,0
BACQR.US,D,20250212,000000,0.2,0.2,0.2,0.2,36474,0
BACQR.US,D,20250213,000000,0.2,0.2,0.2,0.2,5000,0
BACQR.US,D,20250218,000000,0.2,0.2,0.19,0.2,6654,0
BACQR.US,D,20250220,000000,0.19,0.194601,0.19,0.194601,942,0
BACQR.US,D,20250221,000000,0.19,0.2,0.19,0.2,201202,0
BACQR.US,D,20250224,000000,0.214,0.22,0.19,0.2,29858,0
BACQR.US,D,20250226,000000,0.192,0.192,0.1801,0.19,46464,0
BACQR.US,D,20250228,000000,0.214,0.23,0.18,0.19,82064,0
BACQR.US,D,20250303,000000,0.205,0.205,0.1845,0.1845,550200,0
BACQR.US,D,20250304,000000,0.1859,0.1859,0.18,0.18,2950,0
BACQR.US,D,20250306,000000,0.1924,0.1924,0.1924,0.1924,733,0
BACQR.US,D,20250307,000000,0.18,0.1801,0.18,0.1801,5838,0
BACQR.US,D,20250311,000000,0.18,0.18,0.18,0.18,350000,0
BACQR.US,D,20250312,000000,0.1937,0.1937,0.1937,0.1937,579,0
BACQR.US,D,20250313,000000,0.196,0.2,0.19,0.19,3636,0
BACQR.US,D,20250314,000000,0.188,0.188,0.18,0.18,1814,0
BACQR.US,D,20250319,000000,0.2,0.2,0.2,0.2,100,0
BACQR.US,D,20250327,000000,0.188,0.188,0.18,0.1811,500,0
BACQR.US,D,20250402,000000,0.2,0.2,0.19,0.19,75100,0
BACQR.US,D,20250403,000000,0.1755,0.1792,0.1754,0.1792,746,0
BACQR.US,D,20250404,000000,0.18,0.22,0.18,0.18,51833,0
BACQR.US,D,20250409,000000,0.1941,0.2,0.18,0.18,2844,0
BACQR.US,D,20250411,000000,0.1701,0.19,0.16,0.19,33900,0
BACQR.US,D,20250417,000000,0.166,0.19,0.1601,0.1601,4158,0
BACQR.US,D,20250423,000000,0.17,0.17,0.17,0.17,53331,0
BACQR.US,D,20250501,000000,0.18,0.2,0.18,0.2,27091,0
BACQR.US,D,20250502,000000,0.2,0.21,0.2,0.21,1101,0
BACQR.US,D,20250506,000000,0.21,0.21,0.21,0.21,5500,0
BACQR.US,D,20250507,000000,0.22,0.22,0.22,0.22,1500,0
BACQR.US,D,20250509,000000,0.228,0.23,0.228,0.23,8600,0
BACQR.US,D,20250513,000000,0.2499,0.26,0.22,0.26,8647,0
BACQR.US,D,20250516,000000,0.292,0.2971,0.259,0.259,1741,0
BACQR.US,D,20250521,000000,0.26,0.26,0.26,0.26,75000,0
