<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHYM.US,D,20250612,000000,43,44.94,36.19,37.11,36148246,0
CHYM.US,D,20250613,000000,36.625,36.87,33,34.79,9467017,0
CHYM.US,D,20250616,000000,35.11,38.3,35.11,36.81,6001788,0
CHYM.US,D,20250617,000000,36.1,36.79,33.88,34.45,3428048,0
CHYM.US,D,20250618,000000,34.25,34.4,31.21,31.65,6519114,0
CHYM.US,D,20250620,000000,31.85,32.14,29.3,29.53,5163492,0
CHYM.US,D,20250623,000000,28.965,30.6099,28.21,29.76,4088742,0
CHYM.US,D,20250624,000000,29.93,30.06,28.5452,29,3321323,0
CHYM.US,D,20250625,000000,29.77,33.3967,29.11,31.59,7172928,0
CHYM.US,D,20250626,000000,31.69,33.25,30.01,33.19,3760569,0
CHYM.US,D,20250627,000000,33.19,33.44,31.51,33.06,3882305,0
CHYM.US,D,20250630,000000,33.4,36.1,32.57,34.51,5750494,0
CHYM.US,D,20250701,000000,33.64,34.01,31.62,32.39,4993093,0
CHYM.US,D,20250702,000000,31.5,32.138,29.74,30.01,4534079,0
CHYM.US,D,20250703,000000,30.22,31.75,30,31.32,1424954,0
CHYM.US,D,20250707,000000,31.49,32.92,30.935,31.65,3214094,0
CHYM.US,D,20250708,000000,32.11,32.7899,30.73,31.1,2295817,0
CHYM.US,D,20250709,000000,31.09,31.79,30.01,31.03,2362694,0
CHYM.US,D,20250710,000000,30.94,31.4,30.3,30.81,1122726,0
CHYM.US,D,20250711,000000,30.62,31.8,29.6,30.13,3503841,0
CHYM.US,D,20250714,000000,29.79,31.0994,29.57,30.15,1646210,0
CHYM.US,D,20250715,000000,30.3,30.73,29.86,30.44,1556354,0
CHYM.US,D,20250716,000000,30.28,31.75,29.85,31.63,1940161,0
CHYM.US,D,20250717,000000,31.48,32.42,31.145,31.51,1528992,0
CHYM.US,D,20250718,000000,31.53,32.119,30.55,31.55,1507495,0
CHYM.US,D,20250721,000000,31.81,34.3,31.67,33.21,4362676,0
