<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANNA.US,D,20241217,000000,9.26,9.26,6.7429,7.35,73589,0
ANNA.US,D,20241218,000000,7.61,7.67,5.8201,7.01,20126,0
ANNA.US,D,20241219,000000,6.8,6.8,6.1221,6.15,3668,0
ANNA.US,D,20241220,000000,6,8.4,6,7.19,28925,0
ANNA.US,D,20241223,000000,6.6,7.26,6.39,7,11689,0
ANNA.US,D,20241224,000000,7,7.01,6.97,7.01,1308,0
ANNA.US,D,20241226,000000,7,7.485,6.367,6.92,51684,0
ANNA.US,D,20241227,000000,6.85,7,6.6,6.62,5994,0
ANNA.US,D,20241230,000000,6.9,7.9344,6.7009,7.25,30868,0
ANNA.US,D,20241231,000000,7.295,7.3199,6.49,6.78,28769,0
ANNA.US,D,20250102,000000,7.02,7.5,6.69,7.5,12448,0
ANNA.US,D,20250103,000000,8.2,8.94,7.75,8.0444,51054,0
ANNA.US,D,20250106,000000,8.43,8.65,7.3,7.72,26935,0
ANNA.US,D,20250107,000000,7.7,8.38,7.35,7.67,26205,0
ANNA.US,D,20250108,000000,7.4,7.57,6.49,6.98,9419,0
ANNA.US,D,20250110,000000,7.23,10.4899,7.1,8.78,42618,0
ANNA.US,D,20250113,000000,8.89,9,8.4832,8.89,8624,0
ANNA.US,D,20250114,000000,8.99,8.99,8.21,8.21,3121,0
ANNA.US,D,20250115,000000,8.26,8.6,8.25,8.49,2958,0
ANNA.US,D,20250116,000000,8.4771,8.6,7.3,7.62,6258,0
ANNA.US,D,20250117,000000,7.9,9.5,7.34,9.5,40009,0
ANNA.US,D,20250121,000000,9.54,11.95,9,11.5,31647,0
ANNA.US,D,20250122,000000,11.5,12.3,11.2171,11.9,26434,0
ANNA.US,D,20250123,000000,12.4,13.19,11.6,13.18,12728,0
ANNA.US,D,20250124,000000,12,12.99,11.4898,12,22439,0
ANNA.US,D,20250127,000000,11.48,12,11.19,11.97,7059,0
ANNA.US,D,20250128,000000,12,12.1,11.39,11.91,11294,0
ANNA.US,D,20250129,000000,11.7015,12,11.7015,11.96,10710,0
ANNA.US,D,20250130,000000,12.04,12.05,11.32,11.81,8118,0
ANNA.US,D,20250131,000000,11.53,11.74,10.99,11.63,13124,0
ANNA.US,D,20250203,000000,10.44,10.44,8.93,8.93,8958,0
ANNA.US,D,20250204,000000,8.96,9.81,8.56,8.56,20223,0
ANNA.US,D,20250205,000000,8.55,8.9,8.55,8.9,7219,0
ANNA.US,D,20250206,000000,8.85,9.1,8.6,8.85,12764,0
ANNA.US,D,20250207,000000,8.4,8.78,8.4,8.78,8965,0
ANNA.US,D,20250210,000000,8.4901,9.2299,8.4901,8.89,4801,0
ANNA.US,D,20250211,000000,8.62,9.38,8.19,9.23,6879,0
ANNA.US,D,20250212,000000,9.03,9.175,8.52,9,6800,0
ANNA.US,D,20250213,000000,8.76,10.34,8.7,10.34,12161,0
