<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DUKH.US,D,20240715,000000,25.23,25.23,25.2166,25.2166,2204,0
DUKH.US,D,20240716,000000,25.24,25.3,25.24,25.293,3902,0
DUKH.US,D,20240717,000000,25.26,25.27,25.26,25.2603,2000,0
DUKH.US,D,20240718,000000,25.23,25.23,25.21,25.2101,866,0
DUKH.US,D,20240719,000000,25.195,25.2022,25.19,25.1962,3617,0
DUKH.US,D,20240722,000000,25.25,25.25,25.2373,25.25,4144,0
DUKH.US,D,20240723,000000,25.25,25.2599,25.2251,25.2251,1943,0
DUKH.US,D,20240724,000000,25.212,25.212,25.1252,25.1252,821,0
DUKH.US,D,20240725,000000,25.19,25.19,25.165,25.165,2814,0
DUKH.US,D,20240726,000000,25.24,25.24,25.215,25.2213,658,0
DUKH.US,D,20240729,000000,25.21,25.22,25.19,25.2025,14038,0
DUKH.US,D,20240730,000000,25.22,25.22,25.2,25.2,1878,0
DUKH.US,D,20240731,000000,25.27,25.27,25.2611,25.2634,942,0
DUKH.US,D,20240801,000000,25.3011,25.3011,25.2573,25.2573,878,0
DUKH.US,D,20240802,000000,25.24,25.25,25.21,25.2265,2165,0
DUKH.US,D,20240805,000000,24.885,24.95,24.885,24.92,1814,0
DUKH.US,D,20240806,000000,25.055,25.055,25.0156,25.0156,5564,0
DUKH.US,D,20240807,000000,25.1102,25.1102,25.0351,25.0351,5392,0
DUKH.US,D,20240808,000000,24.67,25.11,24.67,25.105,25485,0
DUKH.US,D,20240809,000000,25.1399,25.1399,25.105,25.1219,800,0
DUKH.US,D,20240812,000000,25.115,25.115,25.0992,25.0992,828,0
DUKH.US,D,20240813,000000,25.17,25.215,25.16,25.215,627,0
DUKH.US,D,20240814,000000,25.245,25.27,25.245,25.27,732,0
DUKH.US,D,20240815,000000,25.264,25.28,25.263,25.263,2871,0
DUKH.US,D,20240816,000000,25.3,25.36,25.3,25.3517,2033,0
DUKH.US,D,20240819,000000,25.37,25.41,25.359,25.3879,4557,0
DUKH.US,D,20240820,000000,25.66,25.66,25.395,25.4,4398,0
DUKH.US,D,20240821,000000,25.449,25.49,25.44,25.4578,6740,0
DUKH.US,D,20240822,000000,25.424,25.43,25.4,25.4,1988,0
DUKH.US,D,20240823,000000,25.515,25.56,25.515,25.5569,3659,0
DUKH.US,D,20240826,000000,25.55,25.55,25.515,25.515,300,0
DUKH.US,D,20240827,000000,25.5252,25.5252,25.525,25.525,200,0
DUKH.US,D,20240828,000000,25.53,25.54,25.51,25.525,2366,0
DUKH.US,D,20240829,000000,25.53,25.555,25.53,25.555,1133,0
DUKH.US,D,20240830,000000,25.56,25.56,25.5173,25.5356,1700,0
DUKH.US,D,20240903,000000,25.8,25.8,25.485,25.4853,438,0
DUKH.US,D,20240904,000000,25.5,25.57,25.5,25.5665,2710,0
DUKH.US,D,20240905,000000,25.52,25.52,25.5097,25.5097,1148,0
DUKH.US,D,20240906,000000,25.5194,25.5194,25.48,25.4801,400,0
DUKH.US,D,20240909,000000,25.525,25.5574,25.5141,25.5574,2601,0
