<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACTU.US,D,20240813,000000,9.88,9.88,7.5,8.61,91700,0
ACTU.US,D,20240814,000000,8.62,9.45,8.61,9.15,59147,0
ACTU.US,D,20240815,000000,9.9,10.162,7.33,8.8972,49594,0
ACTU.US,D,20240816,000000,8.9,9.21,8.06,8.7,41553,0
ACTU.US,D,20240819,000000,8.94,9,8.0602,8.79,36391,0
ACTU.US,D,20240820,000000,8.99,8.99,7.97,8.46,31177,0
ACTU.US,D,20240821,000000,8.95,8.95,8.334,8.6,21687,0
ACTU.US,D,20240822,000000,8.37,8.78,8.05,8.05,32478,0
ACTU.US,D,20240823,000000,8,8.15,8,8.08,10124,0
ACTU.US,D,20240826,000000,7.9825,8.5,7.96,7.96,185433,0
ACTU.US,D,20240827,000000,8.03,8.2,8.03,8.05,14062,0
ACTU.US,D,20240828,000000,8.06,8.2,7.98,7.98,27618,0
ACTU.US,D,20240829,000000,7.97,8.17,7.91,8.13,11746,0
ACTU.US,D,20240830,000000,8.0999,8.25,8,8.05,38448,0
ACTU.US,D,20240903,000000,8.1998,8.1998,8,8.01,5756,0
ACTU.US,D,20240904,000000,8.1,8.27,8.05,8.195,23187,0
ACTU.US,D,20240905,000000,8.18,8.2399,8.04,8.15,9544,0
ACTU.US,D,20240906,000000,8.0732,8.2,7.956,8.15,27199,0
ACTU.US,D,20240909,000000,7.99,8.47,7.95,8.27,56223,0
ACTU.US,D,20240910,000000,8.12,8.25,8.105,8.2,32516,0
ACTU.US,D,20240911,000000,8.27,8.4,8.08,8.08,74304,0
ACTU.US,D,20240912,000000,8.1,8.22,7.5,7.9501,99736,0
ACTU.US,D,20240913,000000,7.95,8.17,7.95,8.01,20594,0
ACTU.US,D,20240916,000000,7.875,8.37,7.875,8.37,25421,0
ACTU.US,D,20240917,000000,8.36,8.46,8,8.02,39921,0
ACTU.US,D,20240918,000000,8.02,8.225,8,8,11717,0
ACTU.US,D,20240919,000000,8.1,8.19,8,8.19,4560,0
ACTU.US,D,20240920,000000,8,8.2,7.01,7.31,109771,0
ACTU.US,D,20240923,000000,7.32,7.7,6.05,6.66,55115,0
ACTU.US,D,20240924,000000,6.94,6.99,6.51,6.52,24661,0
ACTU.US,D,20240925,000000,6.52,6.61,5.51,5.8,35979,0
ACTU.US,D,20240926,000000,6.55,6.55,5.73,6.07,47433,0
ACTU.US,D,20240927,000000,6.19,6.59,6.19,6.27,68704,0
ACTU.US,D,20240930,000000,6.5,7.8,6.47,7.45,51484,0
ACTU.US,D,20241001,000000,7.47,7.5,6.73,6.92,39834,0
ACTU.US,D,20241002,000000,6.91,7.4,6.9,7.1,8903,0
ACTU.US,D,20241003,000000,7.02,7.2,6.86,7.008,22707,0
ACTU.US,D,20241004,000000,6.95,7.5,6.365,7.46,79761,0
ACTU.US,D,20241007,000000,7.29,7.5,6.8,7.13,95295,0
ACTU.US,D,20241008,000000,7.02,7.3,6.92,6.95,26957,0
ACTU.US,D,20241009,000000,7.12,7.25,6.88,6.9,23567,0
ACTU.US,D,20241010,000000,7.35,7.47,6.9,7.16,16352,0
ACTU.US,D,20241011,000000,7.25,7.48,7.15,7.35,23522,0
ACTU.US,D,20241014,000000,7.29,7.97,7.28,7.9322,33666,0
ACTU.US,D,20241015,000000,8.0499,8.34,8.039,8.33,17904,0
ACTU.US,D,20241016,000000,8.2,8.5,7.8101,8.08,20135,0
ACTU.US,D,20241017,000000,7.93,8.0155,7.2101,7.44,37662,0
ACTU.US,D,20241018,000000,7.53,7.53,7.16,7.26,19636,0
ACTU.US,D,20241021,000000,7.45,7.63,6.774,7.0899,36972,0
ACTU.US,D,20241022,000000,7.1767,7.65,6.8269,7.65,34269,0
ACTU.US,D,20241023,000000,7.6,8.244,7.45,7.71,42344,0
ACTU.US,D,20241024,000000,7.79,8.5,7.5952,8.49,73364,0
ACTU.US,D,20241025,000000,8.5,8.9,8.36,8.52,35287,0
ACTU.US,D,20241028,000000,8.6,9.87,8.125,9.23,109692,0
ACTU.US,D,20241029,000000,8.94,9.125,8.8,8.94,28620,0
ACTU.US,D,20241030,000000,8.5514,8.91,8.39,8.56,35969,0
ACTU.US,D,20241031,000000,8.55,9,8.1,8.13,70470,0
ACTU.US,D,20241101,000000,8,8.4,7.28,7.83,114362,0
ACTU.US,D,20241104,000000,8.17,9.39,8.09,8.77,35646,0
ACTU.US,D,20241105,000000,8.76,9.01,8.6,8.8,26691,0
ACTU.US,D,20241106,000000,8.99,9.39,8.33,8.7,91246,0
ACTU.US,D,20241107,000000,8.4,9.025,8.4,8.75,80334,0
ACTU.US,D,20241108,000000,8.92,9.135,8.14,8.76,56761,0
ACTU.US,D,20241111,000000,8.84,9.115,8.31,8.97,42392,0
ACTU.US,D,20241112,000000,9,9.39,8.56,9.02,75345,0
ACTU.US,D,20241113,000000,9.22,9.39,8.53,8.56,74686,0
ACTU.US,D,20241114,000000,8.73,8.98,8.37,8.55,48553,0
ACTU.US,D,20241115,000000,8.4,8.68,8.35,8.68,35181,0
ACTU.US,D,20241118,000000,8.69,9.38,8.673,8.96,88233,0
ACTU.US,D,20241119,000000,8.97,9.05,8.5792,8.9,43733,0
ACTU.US,D,20241120,000000,8.8,8.935,8.58,8.58,39808,0
