<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCIO.US,60,20240415,180000,20.175,20.175,20.175,20.175,100,0
SCIO.US,60,20240507,190000,20.3,20.3,20.3,20.3,106300,0
SCIO.US,60,20240515,220000,20.23,20.28,20.23,20.28,900,0
SCIO.US,60,20240520,180000,20.28,20.28,20.275,20.2775,2400,0
SCIO.US,60,20240520,220000,20.28,20.28,20.28,20.28,300,0
SCIO.US,60,20240521,180000,20.16,20.16,20.16,20.16,1000,0
SCIO.US,60,20240521,220000,20.16,20.16,20.16,20.16,300,0
SCIO.US,60,20240522,170000,20.15,20.15,20.15,20.15,1000,0
SCIO.US,60,20240524,220000,20.16,20.16,20.14,20.14,656,0
SCIO.US,60,20240528,170000,20.16,20.16,20.16,20.16,1000,0
SCIO.US,60,20240528,180000,20.16,20.16,20.16,20.16,1000,0
SCIO.US,60,20240528,190000,20.16,20.16,20.16,20.16,500,0
SCIO.US,60,20240528,200000,20.15,20.15,20.15,20.15,1500,0
SCIO.US,60,20240529,160000,20.11,20.11,20.11,20.11,100,0
SCIO.US,60,20240529,220000,20.09,20.09,20.09,20.09,300,0
SCIO.US,60,20240530,160000,20.13,20.13,20.13,20.13,2500,0
SCIO.US,60,20240530,170000,20.13,20.13,20.13,20.13,500,0
SCIO.US,60,20240530,210000,20.13,20.13,20.13,20.13,500,0
SCIO.US,60,20240604,220000,20.13,20.24,20.13,20.24,4900,0
SCIO.US,60,20240605,170000,20.27,20.27,20.26,20.26,2400,0
SCIO.US,60,20240606,160000,20.28,20.28,20.28,20.28,133,0
SCIO.US,60,20240606,220000,20.29,20.29,20.29,20.29,500,0
SCIO.US,60,20240611,160000,20.22,20.22,20.22,20.22,112,0
SCIO.US,60,20240611,220000,20.25,20.25,20.24,20.24,4456,0
SCIO.US,60,20240612,160000,20.29,20.29,20.29,20.29,112,0
SCIO.US,60,20240612,210000,20.31,20.31,20.3,20.3,800,0
SCIO.US,60,20240612,220000,20.29,20.29,20.29,20.29,2856,0
SCIO.US,60,20240613,160000,20.32,20.32,20.32,20.32,112,0
SCIO.US,60,20240613,220000,20.32,20.32,20.32,20.32,300,0
SCIO.US,60,20240614,160000,20.35,20.35,20.35,20.35,112,0
SCIO.US,60,20240621,220000,20.35,20.35,20.35,20.35,300,0
SCIO.US,60,20240625,180000,20.35,20.35,20.3499,20.3499,200,0
SCIO.US,60,20240626,170000,20.3155,20.3155,20.3155,20.3155,220,0
SCIO.US,60,20240628,160000,20.27,20.27,20.27,20.27,112,0
SCIO.US,60,20240628,210000,20.228,20.23,20.228,20.23,300,0
SCIO.US,60,20240701,220000,20.19,20.19,20.19,20.19,400,0
