<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CENN.US,60,20240411,160000,1.73,1.73,1.67,1.68,7594,0
CENN.US,60,20240411,170000,1.66,1.69,1.63,1.68,15153,0
CENN.US,60,20240411,180000,1.6676,1.79,1.6676,1.78,14147,0
CENN.US,60,20240411,190000,1.73,1.79,1.7169,1.78,10401,0
CENN.US,60,20240411,200000,1.78,1.8,1.75,1.78,26894,0
CENN.US,60,20240411,210000,1.78,1.78,1.74,1.76,10129,0
CENN.US,60,20240411,220000,1.7665,1.77,1.72,1.73,8896,0
CENN.US,60,20240412,160000,1.75,1.75,1.66,1.67,7796,0
CENN.US,60,20240412,170000,1.6765,1.6765,1.63,1.63,15681,0
CENN.US,60,20240412,180000,1.64,1.64,1.58,1.58,12401,0
CENN.US,60,20240412,190000,1.58,1.5899,1.55,1.555,17760,0
CENN.US,60,20240412,200000,1.5594,1.5594,1.45,1.495,59931,0
CENN.US,60,20240412,210000,1.4901,1.5326,1.49,1.5,19630,0
CENN.US,60,20240412,220000,1.5,1.51,1.49,1.5,24895,0
CENN.US,60,20240415,160000,1.54,1.55,1.5201,1.545,22894,0
CENN.US,60,20240415,170000,1.545,1.6352,1.545,1.6083,41206,0
CENN.US,60,20240415,180000,1.6,1.6,1.57,1.575,15638,0
CENN.US,60,20240415,190000,1.5707,1.58,1.49,1.4991,26677,0
CENN.US,60,20240415,200000,1.49,1.5,1.46,1.5,14011,0
CENN.US,60,20240415,210000,1.5,1.5,1.48,1.4994,3932,0
CENN.US,60,20240415,220000,1.5,1.5,1.48,1.49,9194,0
CENN.US,60,20240416,160000,1.44,1.5755,1.44,1.44,11735,0
CENN.US,60,20240416,170000,1.48,1.48,1.43,1.4499,8837,0
CENN.US,60,20240416,180000,1.442,1.46,1.42,1.4533,15601,0
CENN.US,60,20240416,190000,1.45,1.45,1.4144,1.44,6265,0
CENN.US,60,20240416,200000,1.45,1.45,1.4301,1.4305,1751,0
CENN.US,60,20240416,210000,1.4203,1.5,1.4203,1.5,16557,0
CENN.US,60,20240416,220000,1.5,1.51,1.46,1.47,7514,0
CENN.US,60,20240417,160000,1.51,1.53,1.47,1.49,10531,0
CENN.US,60,20240417,170000,1.509,1.51,1.47,1.47,8349,0
CENN.US,60,20240417,180000,1.46,1.47,1.44,1.44,5567,0
CENN.US,60,20240417,190000,1.434,1.45,1.4,1.44,17546,0
CENN.US,60,20240417,200000,1.45,1.45,1.43,1.441,3844,0
CENN.US,60,20240417,210000,1.44,1.45,1.44,1.45,1014,0
CENN.US,60,20240417,220000,1.45,1.49,1.45,1.48,2603,0
CENN.US,60,20240418,160000,1.49,1.49,1.46,1.46,3352,0
CENN.US,60,20240418,170000,1.4648,1.4993,1.44,1.4804,12789,0
CENN.US,60,20240418,180000,1.4799,1.538,1.4799,1.5,4977,0
CENN.US,60,20240418,190000,1.51,1.52,1.49,1.52,11571,0
CENN.US,60,20240418,200000,1.51,1.53,1.4958,1.5262,15001,0
CENN.US,60,20240418,210000,1.53,1.53,1.5045,1.52,1200,0
CENN.US,60,20240418,220000,1.52,1.555,1.5,1.55,9179,0
CENN.US,60,20240419,160000,1.55,1.58,1.5104,1.58,16759,0
CENN.US,60,20240419,170000,1.5494,1.5798,1.54,1.5678,8909,0
CENN.US,60,20240419,180000,1.5697,1.57,1.52,1.54,9300,0
CENN.US,60,20240419,190000,1.52,1.55,1.51,1.545,2297,0
CENN.US,60,20240419,200000,1.54,1.5546,1.49,1.5399,8140,0
CENN.US,60,20240419,210000,1.5225,1.5225,1.5225,1.5225,654,0
CENN.US,60,20240419,220000,1.492,1.5299,1.492,1.51,5242,0
CENN.US,60,20240422,160000,1.51,1.5245,1.47,1.5,6871,0
CENN.US,60,20240422,170000,1.4874,1.5,1.47,1.47,5485,0
CENN.US,60,20240422,180000,1.47,1.487,1.46,1.48,4050,0
CENN.US,60,20240422,190000,1.485,1.52,1.485,1.49,3540,0
CENN.US,60,20240422,200000,1.52,1.55,1.51,1.5335,3342,0
CENN.US,60,20240422,210000,1.5625,1.5863,1.52,1.52,7988,0
CENN.US,60,20240422,220000,1.5201,1.55,1.49,1.55,6167,0
CENN.US,60,20240423,160000,1.54,1.65,1.51,1.56,17738,0
CENN.US,60,20240423,170000,1.56,1.57,1.5,1.5,15082,0
CENN.US,60,20240423,180000,1.5081,1.56,1.5,1.52,19891,0
CENN.US,60,20240423,190000,1.53,1.546,1.5,1.52,13924,0
CENN.US,60,20240423,200000,1.51,1.53,1.51,1.525,2728,0
CENN.US,60,20240423,210000,1.52,1.5285,1.5,1.5274,1225,0
CENN.US,60,20240423,220000,1.5,1.56,1.5,1.53,13148,0
CENN.US,60,20240424,160000,1.56,1.57,1.46,1.54,21585,0
CENN.US,60,20240424,170000,1.5289,1.5289,1.47,1.49,8977,0
CENN.US,60,20240424,180000,1.47,1.49,1.47,1.4834,2692,0
CENN.US,60,20240424,190000,1.48,1.5,1.47,1.4974,4880,0
CENN.US,60,20240424,200000,1.4801,1.52,1.48,1.52,5083,0
CENN.US,60,20240424,210000,1.5,1.53,1.5,1.53,1283,0
CENN.US,60,20240424,220000,1.515,1.54,1.5,1.52,5261,0
CENN.US,60,20240425,160000,1.49,1.49,1.46,1.485,7176,0
CENN.US,60,20240425,170000,1.48,1.51,1.45,1.47,12877,0
CENN.US,60,20240425,180000,1.45,1.5099,1.45,1.46,6834,0
CENN.US,60,20240425,190000,1.475,1.475,1.45,1.46,2242,0
CENN.US,60,20240425,200000,1.45,1.475,1.45,1.4601,1693,0
CENN.US,60,20240425,210000,1.49,1.49,1.46,1.48,1947,0
CENN.US,60,20240425,220000,1.48,1.51,1.4607,1.5,2806,0
CENN.US,60,20240426,160000,1.48,1.51,1.48,1.51,6322,0
CENN.US,60,20240426,170000,1.51,1.51,1.45,1.45,7381,0
CENN.US,60,20240426,180000,1.46,1.4918,1.45,1.465,3299,0
CENN.US,60,20240426,190000,1.475,1.475,1.46,1.46,885,0
CENN.US,60,20240426,200000,1.4624,1.49,1.46,1.475,8754,0
CENN.US,60,20240426,210000,1.47,1.49,1.4631,1.475,2755,0
CENN.US,60,20240426,220000,1.46,1.49,1.46,1.47,4063,0
CENN.US,60,20240429,160000,1.49,1.53,1.4801,1.4801,10394,0
CENN.US,60,20240429,170000,1.53,1.53,1.5003,1.5101,3250,0
CENN.US,60,20240429,180000,1.53,1.53,1.48,1.53,6892,0
CENN.US,60,20240429,190000,1.515,1.5275,1.51,1.5115,2862,0
CENN.US,60,20240429,200000,1.5219,1.54,1.51,1.53,16101,0
CENN.US,60,20240429,210000,1.5177,1.55,1.5177,1.55,5370,0
CENN.US,60,20240429,220000,1.5498,1.5499,1.5215,1.54,3229,0
CENN.US,60,20240430,160000,1.5,1.54,1.5,1.54,4738,0
CENN.US,60,20240430,170000,1.51,1.5422,1.48,1.49,4851,0
CENN.US,60,20240430,180000,1.48,1.515,1.48,1.5,2433,0
CENN.US,60,20240430,190000,1.49,1.5087,1.49,1.49,1530,0
CENN.US,60,20240430,200000,1.5,1.5,1.45,1.45,7943,0
CENN.US,60,20240430,210000,1.45,1.4775,1.44,1.4501,17471,0
CENN.US,60,20240430,220000,1.45,1.47,1.41,1.42,26177,0
CENN.US,60,20240501,160000,1.43,1.4491,1.41,1.43,15798,0
CENN.US,60,20240501,170000,1.4314,1.4398,1.41,1.41,10150,0
CENN.US,60,20240501,180000,1.4288,1.4288,1.39,1.41,18212,0
CENN.US,60,20240501,190000,1.42,1.4348,1.41,1.41,4265,0
CENN.US,60,20240501,200000,1.41,1.42,1.41,1.412,3022,0
CENN.US,60,20240501,210000,1.41,1.44,1.41,1.422,3482,0
CENN.US,60,20240501,220000,1.4267,1.46,1.42,1.43,15556,0
CENN.US,60,20240502,160000,1.45,1.475,1.45,1.45,4783,0
CENN.US,60,20240502,170000,1.4501,1.47,1.44,1.47,7352,0
