<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GTEN.US,60,20250623,160000,10.5,10.5,10.5,10.5,200,0
GTEN.US,60,20250623,180000,10.4606,10.4706,10.15,10.18,800,0
GTEN.US,60,20250623,190000,10.225,10.3,10.15,10.25,2550,0
GTEN.US,60,20250623,200000,10.15,10.1604,10.15,10.1604,800,0
GTEN.US,60,20250623,210000,10.1608,10.25,10.1608,10.25,900,0
GTEN.US,60,20250623,220000,10.2,10.3,10.15,10.26,1100,0
GTEN.US,60,20250624,160000,10.4981,10.4981,10.4981,10.4981,100,0
GTEN.US,60,20250624,170000,10.5,10.53,10.4,10.4,2600,0
GTEN.US,60,20250624,210000,10.26,10.26,10.25,10.25,2895,0
GTEN.US,60,20250624,220000,10.235,10.29,10.235,10.26,2900,0
GTEN.US,60,20250625,160000,10.29,10.45,10.29,10.34,1200,0
GTEN.US,60,20250625,170000,10.26,10.27,10.26,10.27,815,0
GTEN.US,60,20250625,200000,10.28,10.2887,10.26,10.26,101685,0
GTEN.US,60,20250625,210000,10.25,10.25,10.25,10.25,1100,0
GTEN.US,60,20250625,220000,10.21,10.21,10.21,10.21,1050,0
GTEN.US,60,20250626,160000,10.25,10.25,10.25,10.25,4951,0
GTEN.US,60,20250626,180000,10.2132,10.24,10.2132,10.24,750,0
GTEN.US,60,20250626,190000,10.245,10.245,10.21,10.21,1700,0
GTEN.US,60,20250630,160000,10.25,10.27,10.25,10.25,71733,0
GTEN.US,60,20250630,170000,10.25,10.25,10.23,10.25,190350,0
GTEN.US,60,20250630,180000,10.25,10.25,10.25,10.25,11200,0
GTEN.US,60,20250630,190000,10.25,10.25,10.25,10.25,268310,0
GTEN.US,60,20250630,200000,10.25,10.25,10.25,10.25,9900,0
GTEN.US,60,20250630,210000,10.25,10.25,10.25,10.25,10200,0
GTEN.US,60,20250630,220000,10.25,10.255,10.245,10.25,30100,0
GTEN.US,60,20250701,160000,10.25,10.25,10.21,10.25,22314,0
GTEN.US,60,20250701,170000,10.25,10.25,10.25,10.25,100000,0
GTEN.US,60,20250701,180000,10.245,10.25,10.2,10.22,8012,0
GTEN.US,60,20250701,190000,10.22,10.22,10.22,10.22,9700,0
GTEN.US,60,20250701,200000,10.22,10.22,10.22,10.22,11200,0
GTEN.US,60,20250701,210000,10.22,10.22,10.22,10.22,12700,0
GTEN.US,60,20250701,220000,10.22,10.22,10.215,10.22,54342,0
GTEN.US,60,20250702,170000,10.215,10.215,10.195,10.2,442723,0
GTEN.US,60,20250702,180000,10.2,10.2,10.1903,10.2,877998,0
GTEN.US,60,20250702,200000,10.2,10.2,10.2,10.2,100000,0
GTEN.US,60,20250702,210000,10.19,10.19,10.19,10.19,100,0
GTEN.US,60,20250702,220000,10.19,10.195,10.19,10.19,18616,0
GTEN.US,60,20250703,160000,10.17,10.2398,10.17,10.2398,3003,0
GTEN.US,60,20250703,170000,10.1789,10.1912,10.1789,10.1872,1500,0
GTEN.US,60,20250703,190000,10.2,10.21,10.2,10.21,10300,0
GTEN.US,60,20250703,200000,10.22,10.22,10.22,10.22,100,0
GTEN.US,60,20250709,180000,10.1992,10.1992,10.1992,10.1992,200,0
GTEN.US,60,20250709,190000,10.2,10.215,10.19,10.21,176161,0
GTEN.US,60,20250711,220000,10.21,10.21,10.19,10.2,55702,0
GTEN.US,60,20250714,170000,10.191,10.205,10.19,10.205,12118,0
GTEN.US,60,20250714,180000,10.19,10.19,10.19,10.19,100,0
GTEN.US,60,20250714,220000,10.185,10.185,10.185,10.185,550,0
GTEN.US,60,20250715,180000,10.2,10.21,10.2,10.2,2578,0
GTEN.US,60,20250715,190000,10.2,10.205,10.195,10.195,18200,0
GTEN.US,60,20250715,200000,10.195,10.195,10.19,10.195,4866,0
GTEN.US,60,20250715,210000,10.195,10.195,10.195,10.195,20100,0
GTEN.US,60,20250715,220000,10.195,10.2,10.195,10.2,10831,0
GTEN.US,60,20250716,170000,10.19,10.19,10.19,10.19,2000,0
GTEN.US,60,20250716,210000,10.22,10.22,10.22,10.22,1000,0
GTEN.US,60,20250716,220000,10.21,10.21,10.2,10.2,3429,0
GTEN.US,60,20250717,160000,10.22,10.22,10.22,10.22,3800,0
GTEN.US,60,20250717,170000,10.2,10.2,10.19,10.19,5000,0
GTEN.US,60,20250717,190000,10.205,10.205,10.195,10.195,31928,0
GTEN.US,60,20250717,210000,10.2,10.2,10.2,10.2,347,0
GTEN.US,60,20250717,220000,10.2,10.2,10.195,10.2,20000,0
GTEN.US,60,20250718,160000,10.2,10.23,10.197,10.22,239836,0
GTEN.US,60,20250718,170000,10.22,10.25,10.2,10.2,224511,0
GTEN.US,60,20250718,180000,10.2,10.21,10.2,10.2,1836591,0
GTEN.US,60,20250718,190000,10.21,10.21,10.2009,10.205,202600,0
GTEN.US,60,20250718,200000,10.2,10.205,10.2,10.205,5000,0
GTEN.US,60,20250718,210000,10.205,10.21,10.205,10.21,3203,0
GTEN.US,60,20250718,220000,10.2,10.21,10.2,10.2,193050,0
GTEN.US,60,20250721,160000,10.21,10.21,10.195,10.21,34449,0
GTEN.US,60,20250721,170000,10.21,10.21,10.2099,10.21,16055,0
GTEN.US,60,20250721,180000,10.2095,10.21,10.2,10.2,21957,0
GTEN.US,60,20250721,190000,10.2,10.2,10.2,10.2,6200,0
GTEN.US,60,20250721,200000,10.2,10.2,10.19,10.197,3700,0
GTEN.US,60,20250721,220000,10.21,10.21,10.2,10.21,17729,0
