<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ELVA.US,60,20240411,170000,3.38,3.38,3.38,3.38,300,0
ELVA.US,60,20240411,180000,3.37,3.41,3.37,3.41,3327,0
ELVA.US,60,20240411,200000,3.4,3.44,3.38,3.43,9868,0
ELVA.US,60,20240411,210000,3.405,3.42,3.405,3.42,800,0
ELVA.US,60,20240411,220000,3.4216,3.4216,3.36,3.36,1780,0
ELVA.US,60,20240412,160000,3.36,3.36,3.36,3.36,265,0
ELVA.US,60,20240412,170000,3.35,3.35,3.25,3.26,3970,0
ELVA.US,60,20240412,180000,3.25,3.2799,3.24,3.27,16702,0
ELVA.US,60,20240412,190000,3.27,3.27,3.27,3.27,301,0
ELVA.US,60,20240412,210000,3.27,3.27,3.24,3.24,3696,0
ELVA.US,60,20240412,220000,3.25,3.26,3.24,3.26,1518,0
ELVA.US,60,20240415,160000,3.24,3.2991,3.205,3.2991,2020,0
ELVA.US,60,20240415,170000,3.21,3.22,3.17,3.2,1100,0
ELVA.US,60,20240415,180000,3.24,3.24,3.24,3.24,236,0
ELVA.US,60,20240415,190000,3.1414,3.1694,3.11,3.11,5900,0
ELVA.US,60,20240415,200000,3.12,3.12,3.1,3.1005,7715,0
ELVA.US,60,20240415,210000,3.1,3.1001,3.0501,3.0501,9457,0
ELVA.US,60,20240415,220000,3.06,3.1,3.05,3.08,3851,0
ELVA.US,60,20240416,160000,3.12,3.1489,3.1,3.14,3400,0
ELVA.US,60,20240416,170000,3.1499,3.15,3.13,3.13,300,0
ELVA.US,60,20240416,190000,3.06,3.06,2.94,3.02,3850,0
ELVA.US,60,20240416,200000,3.02,3.0399,2.9532,3,7632,0
ELVA.US,60,20240416,220000,2.98,3,2.9206,2.94,6531,0
ELVA.US,60,20240417,160000,3.11,3.11,3.11,3.11,1200,0
ELVA.US,60,20240417,170000,3.0992,3.0992,3.0992,3.0992,100,0
ELVA.US,60,20240417,190000,2.99,3.02,2.99,3.02,400,0
ELVA.US,60,20240417,200000,2.9545,2.9545,2.9545,2.9545,6252,0
ELVA.US,60,20240417,220000,3.03,3.03,3.03,3.03,120,0
ELVA.US,60,20240418,170000,2.9232,2.9232,2.9232,2.9232,500,0
ELVA.US,60,20240418,180000,2.91,2.98,2.91,2.9161,5249,0
ELVA.US,60,20240418,200000,2.9201,2.9201,2.9201,2.9201,141,0
ELVA.US,60,20240418,210000,2.9314,2.9314,2.9314,2.9314,200,0
ELVA.US,60,20240418,220000,2.94,2.94,2.91,2.91,3990,0
ELVA.US,60,20240419,160000,2.95,2.95,2.95,2.95,122,0
ELVA.US,60,20240419,170000,2.93,2.95,2.82,2.82,2094,0
