<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSHPR.US,60,20240816,160000,0.14,0.14,0.11,0.12,32100,0
FSHPR.US,60,20240816,170000,0.12,0.12,0.12,0.12,26000,0
FSHPR.US,60,20240816,180000,0.1197,0.12,0.1197,0.12,59775,0
FSHPR.US,60,20240816,200000,0.12,0.12,0.12,0.12,537548,0
FSHPR.US,60,20240820,170000,0.1101,0.1101,0.1,0.1,225500,0
FSHPR.US,60,20240820,210000,0.1101,0.1101,0.1101,0.1101,500,0
FSHPR.US,60,20240822,160000,0.1101,0.1101,0.11,0.11,4000,0
FSHPR.US,60,20240822,180000,0.14,0.14,0.14,0.14,100,0
FSHPR.US,60,20240822,220000,0.1398,0.1398,0.1398,0.1398,200,0
FSHPR.US,60,20240828,160000,0.135,0.1399,0.135,0.1399,549,0
FSHPR.US,60,20240829,220000,0.14,0.14,0.14,0.14,300,0
FSHPR.US,60,20240903,160000,0.1431,0.1431,0.1431,0.1431,300,0
FSHPR.US,60,20240903,190000,0.1429,0.1429,0.1429,0.1429,100,0
FSHPR.US,60,20240904,170000,0.16,0.16,0.1442,0.1442,200,0
FSHPR.US,60,20240906,190000,0.172,0.312,0.14,0.14,2400,0
FSHPR.US,60,20240906,220000,0.13,0.14,0.13,0.13,2707,0
FSHPR.US,60,20240909,170000,0.14,0.14,0.14,0.14,100,0
FSHPR.US,60,20240910,220000,0.128,0.128,0.1278,0.1278,600,0
FSHPR.US,60,20240911,160000,0.11,0.1101,0.11,0.11,9900,0
FSHPR.US,60,20240916,170000,0.112,0.12,0.1101,0.12,6200,0
FSHPR.US,60,20240916,180000,0.12,0.12,0.115,0.115,51200,0
FSHPR.US,60,20240916,190000,0.12,0.12,0.12,0.12,200,0
FSHPR.US,60,20240916,200000,0.12,0.12,0.12,0.12,200,0
FSHPR.US,60,20240916,210000,0.12,0.12,0.12,0.12,185,0
FSHPR.US,60,20240920,220000,0.12,0.12,0.1101,0.1184,2599,0
FSHPR.US,60,20240925,210000,0.1194,0.1194,0.1194,0.1194,200,0
FSHPR.US,60,20241003,190000,0.119399,0.119399,0.119399,0.119399,125,0
FSHPR.US,60,20241004,160000,0.1189,0.119,0.1189,0.119,200,0
FSHPR.US,60,20241008,190000,0.11,0.11,0.11,0.11,110,0
FSHPR.US,60,20241015,220000,0.1168,0.1168,0.1102,0.1102,2489,0
FSHPR.US,60,20241022,170000,0.15,0.15,0.1471,0.1471,1000,0
FSHPR.US,60,20241022,180000,0.1441,0.1493,0.144,0.1493,600,0
FSHPR.US,60,20241022,190000,0.144,0.15,0.144,0.15,19900,0
FSHPR.US,60,20241022,210000,0.146,0.15,0.146,0.15,110000,0
FSHPR.US,60,20241022,220000,0.15,0.15,0.15,0.15,277847,0
FSHPR.US,60,20241023,170000,0.16,0.16,0.16,0.16,3088,0
FSHPR.US,60,20241023,190000,0.115506,0.16,0.115506,0.16,31110,0
FSHPR.US,60,20241024,200000,0.16,0.16,0.16,0.16,670,0
FSHPR.US,60,20241025,210000,0.1885,0.1885,0.1885,0.1885,100,0
FSHPR.US,60,20241025,220000,0.2,0.2,0.1964,0.2,5208,0
FSHPR.US,60,20241028,150000,0.17,0.17,0.17,0.17,700,0
FSHPR.US,60,20241028,160000,0.195,0.195,0.195,0.195,142,0
FSHPR.US,60,20241029,150000,0.18,0.18,0.18,0.18,400,0
FSHPR.US,60,20241029,160000,0.1452,0.1452,0.1451,0.1451,200,0
FSHPR.US,60,20241031,150000,0.195,0.195,0.18,0.18,1300,0
FSHPR.US,60,20241107,160000,0.124,0.18,0.1239,0.18,700,0
FSHPR.US,60,20241107,210000,0.12,0.16,0.12,0.16,2954,0
FSHPR.US,60,20241107,220000,0.16,0.16,0.16,0.16,900,0
FSHPR.US,60,20241118,180000,0.15,0.15,0.15,0.15,300,0
FSHPR.US,60,20241118,220000,0.14,0.14,0.14,0.14,300,0
FSHPR.US,60,20241119,200000,0.126,0.126,0.12,0.12,686,0
FSHPR.US,60,20241120,180000,0.1274,0.1274,0.12,0.12,1100,0
FSHPR.US,60,20241120,200000,0.1121,0.1121,0.1101,0.1101,500,0
FSHPR.US,60,20241203,210000,0.1364,0.19,0.1,0.1159,53540,0
FSHPR.US,60,20250114,180000,0.1099,0.12,0.1,0.12,7363,0
FSHPR.US,60,20250128,160000,0.1091,0.1091,0.07,0.07,1700,0
FSHPR.US,60,20250129,220000,0.1,0.1174,0.1,0.1174,1900,0
FSHPR.US,60,20250130,160000,0.16,0.18949,0.16,0.18949,667,0
FSHPR.US,60,20250130,200000,0.1895,0.1895,0.1895,0.1895,237,0
FSHPR.US,60,20250131,160000,0.1895,0.1895,0.1059,0.12,1661,0
FSHPR.US,60,20250131,200000,0.194999,0.194999,0.194999,0.194999,100,0
FSHPR.US,60,20250203,180000,0.18,0.18,0.18,0.18,100,0
FSHPR.US,60,20250204,160000,0.1721,0.179999,0.1721,0.179999,258,0
FSHPR.US,60,20250207,180000,0.110101,0.14505,0.110101,0.14505,311,0
FSHPR.US,60,20250213,160000,0.18,0.18,0.162175,0.1723,744,0
FSHPR.US,60,20250213,180000,0.18,0.18,0.12,0.1748,14921,0
FSHPR.US,60,20250221,210000,0.18,0.18,0.124,0.18,10250,0
FSHPR.US,60,20250225,160000,0.18,0.18,0.18,0.18,460,0
FSHPR.US,60,20250226,200000,0.18,0.18,0.14,0.16,1200,0
FSHPR.US,60,20250227,190000,0.1843,0.1843,0.1102,0.15,400,0
FSHPR.US,60,20250227,200000,0.189,0.1891,0.16,0.16,1000,0
FSHPR.US,60,20250227,210000,0.16,0.16,0.147625,0.147625,4126,0
FSHPR.US,60,20250227,220000,0.16,0.16,0.1476,0.16,850,0
FSHPR.US,60,20250228,170000,0.1595,0.16,0.1594,0.16,500,0
FSHPR.US,60,20250228,180000,0.125,0.125,0.125,0.125,621,0
FSHPR.US,60,20250228,190000,0.1975,0.1975,0.119,0.119,1717,0
FSHPR.US,60,20250228,200000,0.1949,0.1949,0.1949,0.1949,200,0
FSHPR.US,60,20250228,220000,0.14,0.1975,0.14,0.1975,1921,0
FSHPR.US,60,20250303,170000,0.14,0.154,0.13,0.13,320,0
FSHPR.US,60,20250303,180000,0.193,0.193,0.193,0.193,100,0
FSHPR.US,60,20250303,190000,0.169,0.169,0.1522,0.1522,631,0
FSHPR.US,60,20250304,160000,0.15,0.15,0.15,0.15,400,0
FSHPR.US,60,20250304,200000,0.186,0.1861,0.186,0.186,500,0
FSHPR.US,60,20250305,210000,0.1946,0.1946,0.1946,0.1946,232,0
FSHPR.US,60,20250305,220000,0.1949,0.1949,0.159,0.159,1200,0
FSHPR.US,60,20250306,180000,0.159,0.159,0.159,0.159,233,0
FSHPR.US,60,20250314,210000,0.119001,0.119001,0.119001,0.119001,150,0
FSHPR.US,60,20250317,150000,0.1261,0.1261,0.1261,0.1261,100,0
FSHPR.US,60,20250318,180000,0.1262,0.13,0.1195,0.1237,11851,0
FSHPR.US,60,20250326,150000,0.12,0.12,0.12,0.12,481,0
FSHPR.US,60,20250326,210000,0.125,0.1264,0.1237,0.1237,400,0
FSHPR.US,60,20250401,220000,0.125,0.1251,0.125,0.1251,4164,0
FSHPR.US,60,20250403,170000,0.16,0.16,0.16,0.16,200,0
FSHPR.US,60,20250411,160000,0.1464,0.15,0.1464,0.15,1200,0
FSHPR.US,60,20250424,190000,0.15,0.15,0.120435,0.120435,13320,0
FSHPR.US,60,20250429,160000,0.1793,0.1793,0.1793,0.1793,100,0
FSHPR.US,60,20250429,170000,0.12,0.12,0.12,0.12,100,0
FSHPR.US,60,20250508,160000,0.131274,0.131274,0.131274,0.131274,240,0
FSHPR.US,60,20250516,220000,0.1201,0.1201,0.1201,0.1201,885,0
FSHPR.US,60,20250519,170000,0.1201,0.1201,0.1201,0.1201,1500,0
FSHPR.US,60,20250519,180000,0.1201,0.1201,0.1201,0.1201,500,0
FSHPR.US,60,20250521,210000,0.15,0.15,0.15,0.15,100,0
FSHPR.US,60,20250528,190000,0.15,0.15,0.15,0.15,100,0
FSHPR.US,60,20250529,160000,0.15,0.15,0.14999,0.14999,667,0
FSHPR.US,60,20250602,190000,0.13,0.13,0.13,0.13,100000,0
FSHPR.US,60,20250604,220000,0.1206,0.1206,0.1206,0.1206,100,0
FSHPR.US,60,20250606,200000,0.1206,0.1206,0.118,0.118,200,0
FSHPR.US,60,20250623,160000,0.15,0.18,0.13,0.13,58786,0
FSHPR.US,60,20250623,190000,0.129,0.1293,0.12,0.12,9176,0
FSHPR.US,60,20250623,200000,0.16999,0.16999,0.16999,0.16999,4282,0
FSHPR.US,60,20250623,210000,0.1225,0.1225,0.1225,0.1225,3235,0
FSHPR.US,60,20250623,220000,0.1312,0.1449,0.1312,0.1449,31151,0
FSHPR.US,60,20250624,160000,0.1285,0.13,0.1201,0.1236,3400,0
FSHPR.US,60,20250624,180000,0.1236,0.1236,0.1235,0.1235,200,0
FSHPR.US,60,20250624,200000,0.1222,0.1222,0.1222,0.1222,400,0
FSHPR.US,60,20250625,160000,0.1136,0.1136,0.1136,0.1136,792,0
FSHPR.US,60,20250626,170000,0.1222,0.1222,0.120101,0.120101,4282,0
FSHPR.US,60,20250626,210000,0.12,0.12,0.12,0.12,15700,0
FSHPR.US,60,20250627,220000,0.1299,0.1299,0.1299,0.1299,353,0
FSHPR.US,60,20250630,160000,0.1299,0.1299,0.1299,0.1299,819,0
FSHPR.US,60,20250701,170000,0.1222,0.1222,0.12,0.12,200,0
FSHPR.US,60,20250701,180000,0.1222,0.1222,0.1222,0.1222,819,0
FSHPR.US,60,20250701,190000,0.1222,0.1222,0.1222,0.1222,100,0
FSHPR.US,60,20250701,220000,0.12,0.1222,0.12,0.1201,74271,0
FSHPR.US,60,20250710,160000,0.136,0.14,0.12,0.14,114127,0
FSHPR.US,60,20250714,210000,0.1275,0.140501,0.1211,0.140501,4572,0
FSHPR.US,60,20250714,220000,0.16,0.16,0.16,0.16,445,0
