<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GAINZ.US,60,20240411,180000,22.9149,22.9149,22.9149,22.9149,878,0
GAINZ.US,60,20240411,190000,22.86,22.86,22.86,22.86,100,0
GAINZ.US,60,20240412,160000,22.652,22.652,22.652,22.652,287,0
GAINZ.US,60,20240415,170000,22.74,22.74,22.675,22.675,1100,0
GAINZ.US,60,20240415,180000,22.52,22.61,22.52,22.61,530,0
GAINZ.US,60,20240415,190000,22.61,22.61,22.61,22.61,200,0
GAINZ.US,60,20240415,210000,22.6,22.6292,22.52,22.52,889,0
GAINZ.US,60,20240415,220000,22.52,22.52,22.52,22.52,100,0
GAINZ.US,60,20240416,160000,22.49,22.49,22.49,22.49,322,0
GAINZ.US,60,20240416,170000,22.64,22.64,22.47,22.47,266,0
GAINZ.US,60,20240416,180000,22.6,22.6,22.59,22.59,200,0
GAINZ.US,60,20240416,200000,22.51,22.61,22.51,22.61,200,0
GAINZ.US,60,20240416,210000,22.61,22.61,22.61,22.61,100,0
GAINZ.US,60,20240416,220000,22.55,22.55,22.55,22.55,200,0
GAINZ.US,60,20240418,160000,22.56,22.57,22.56,22.57,748,0
GAINZ.US,60,20240418,190000,22.47,22.49,22.46,22.46,745,0
GAINZ.US,60,20240418,200000,22.49,22.49,22.49,22.49,100,0
GAINZ.US,60,20240418,220000,22.45,22.45,22.45,22.45,118,0
GAINZ.US,60,20240419,180000,22.55,22.55,22.55,22.55,600,0
GAINZ.US,60,20240419,200000,22.52,22.52,22.45,22.473,1800,0
GAINZ.US,60,20240419,220000,22.52,22.52,22.52,22.52,300,0
GAINZ.US,60,20240422,200000,22.55,22.55,22.55,22.55,100,0
GAINZ.US,60,20240422,220000,22.55,22.6,22.55,22.6,402,0
GAINZ.US,60,20240423,160000,22.58,22.65,22.58,22.65,1859,0
GAINZ.US,60,20240423,170000,22.78,22.78,22.78,22.78,100,0
GAINZ.US,60,20240423,190000,22.8,22.8,22.8,22.8,325,0
GAINZ.US,60,20240424,170000,22.65,22.65,22.55,22.65,900,0
GAINZ.US,60,20240424,180000,22.6,22.6,22.55,22.55,1000,0
GAINZ.US,60,20240424,190000,22.52,22.63,22.52,22.63,935,0
GAINZ.US,60,20240425,220000,22.55,22.64,22.55,22.6,1100,0
GAINZ.US,60,20240429,170000,22.55,22.7099,22.55,22.7099,2269,0
GAINZ.US,60,20240429,190000,22.63,22.65,22.63,22.65,610,0
GAINZ.US,60,20240430,170000,22.65,22.65,22.65,22.65,100,0
GAINZ.US,60,20240430,180000,22.6,22.65,22.59,22.65,400,0
GAINZ.US,60,20240430,190000,22.65,22.71,22.65,22.71,1846,0
GAINZ.US,60,20240430,200000,22.7,22.7,22.7,22.7,100,0
GAINZ.US,60,20240430,210000,22.7,22.7,22.7,22.7,100,0
GAINZ.US,60,20240430,220000,22.69,22.71,22.69,22.7,1296,0
GAINZ.US,60,20240501,160000,22.61,22.61,22.61,22.61,424,0
GAINZ.US,60,20240501,190000,22.61,22.62,22.58,22.6101,1707,0
GAINZ.US,60,20240501,200000,22.61,22.61,22.61,22.61,100,0
GAINZ.US,60,20240501,210000,22.6078,22.68,22.6,22.65,1296,0
GAINZ.US,60,20240501,220000,22.65,22.65,22.65,22.65,100,0
GAINZ.US,60,20240502,180000,22.6,22.6,22.55,22.55,3300,0
GAINZ.US,60,20240502,200000,22.64,22.64,22.64,22.64,100,0
