<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BEATW.US,60,20240411,170000,0.1901,0.1901,0.1899,0.19,7642,0
BEATW.US,60,20240411,210000,0.246,0.246,0.21,0.21,800,0
BEATW.US,60,20240415,220000,0.246,0.246,0.17,0.17,769,0
BEATW.US,60,20240416,180000,0.22,0.23,0.22,0.23,500,0
BEATW.US,60,20240417,170000,0.25,0.25,0.25,0.25,100,0
BEATW.US,60,20240418,220000,0.26,0.27,0.26,0.27,400,0
BEATW.US,60,20240424,170000,0.27,0.27,0.27,0.27,300,0
BEATW.US,60,20240424,180000,0.27,0.27,0.27,0.27,200,0
BEATW.US,60,20240424,220000,0.27,0.27,0.27,0.27,400,0
BEATW.US,60,20240426,190000,0.224999,0.224999,0.224999,0.224999,300,0
BEATW.US,60,20240430,220000,0.2,0.2,0.2,0.2,190,0
BEATW.US,60,20240501,180000,0.25,0.25,0.25,0.25,100,0
BEATW.US,60,20240515,210000,0.2,0.2,0.2,0.2,280,0
BEATW.US,60,20240515,220000,0.2246,0.25,0.2246,0.25,200,0
BEATW.US,60,20240516,200000,0.2998,0.2998,0.2998,0.2998,106,0
BEATW.US,60,20240523,190000,0.2998,0.2998,0.24,0.28,10600,0
BEATW.US,60,20240523,200000,0.2898,0.5,0.2898,0.447501,12490,0
BEATW.US,60,20240523,210000,0.4,0.4,0.4,0.4,888,0
BEATW.US,60,20240523,220000,0.4,0.51,0.4,0.51,3696,0
BEATW.US,60,20240524,160000,0.56,0.64,0.55,0.57,17218,0
BEATW.US,60,20240524,170000,0.55,0.5699,0.533921,0.5399,10785,0
BEATW.US,60,20240524,180000,0.5449,0.5449,0.502,0.520051,7868,0
BEATW.US,60,20240524,190000,0.54,0.54,0.5,0.5,1000,0
BEATW.US,60,20240524,200000,0.5,0.5,0.4605,0.4606,898,0
BEATW.US,60,20240524,210000,0.52,0.52,0.52,0.52,100,0
BEATW.US,60,20240528,160000,0.55,0.573751,0.549899,0.55,13683,0
BEATW.US,60,20240528,170000,0.56,0.6535,0.56,0.6,12590,0
BEATW.US,60,20240528,180000,0.6349,0.6349,0.63,0.63,300,0
BEATW.US,60,20240528,190000,0.6,0.6,0.6,0.6,636,0
BEATW.US,60,20240528,200000,0.6,0.6299,0.5999,0.627684,23883,0
BEATW.US,60,20240528,210000,0.6277,0.69,0.5939,0.6799,22280,0
BEATW.US,60,20240528,220000,0.6798,0.6799,0.6798,0.6799,774,0
BEATW.US,60,20240529,160000,0.68,0.720001,0.68,0.7,12814,0
BEATW.US,60,20240529,170000,0.709899,0.75,0.709751,0.732,6530,0
BEATW.US,60,20240529,180000,0.7498,0.7499,0.69,0.73,22385,0
BEATW.US,60,20240529,200000,0.67,0.6728,0.6699,0.67,3278,0
BEATW.US,60,20240529,210000,0.670001,0.69855,0.670001,0.69855,2216,0
BEATW.US,60,20240529,220000,0.66,0.66,0.66,0.66,500,0
BEATW.US,60,20240530,160000,0.66,1.23,0.66,1.23,300,0
BEATW.US,60,20240530,170000,0.7,0.98,0.7,0.75,10087,0
BEATW.US,60,20240530,180000,0.75,0.75,0.71,0.71,1947,0
BEATW.US,60,20240530,190000,0.71,0.84,0.652499,0.75,12931,0
BEATW.US,60,20240530,210000,0.83,0.83,0.794,0.794,2000,0
BEATW.US,60,20240530,220000,0.83,0.83,0.77,0.77,2196,0
BEATW.US,60,20240531,160000,0.78,0.78,0.78,0.78,100,0
BEATW.US,60,20240531,170000,0.78,0.78,0.78,0.78,1500,0
BEATW.US,60,20240531,200000,0.566,0.777701,0.55,0.777701,4100,0
BEATW.US,60,20240531,210000,0.5502,0.76,0.5502,0.76,2000,0
BEATW.US,60,20240531,220000,0.779899,0.78,0.75,0.75,2005,0
BEATW.US,60,20240603,160000,0.75,0.975,0.75,0.95,1600,0
BEATW.US,60,20240603,170000,0.9,0.9,0.88,0.9,2500,0
BEATW.US,60,20240603,180000,0.9,0.9,0.85,0.85,2500,0
BEATW.US,60,20240603,190000,0.85,0.85,0.83,0.84,2500,0
BEATW.US,60,20240603,200000,0.84,0.85,0.84,0.85,2100,0
BEATW.US,60,20240603,210000,0.85,0.85,0.85,0.85,2500,0
BEATW.US,60,20240603,220000,0.85,0.89,0.75,0.84,4219,0
BEATW.US,60,20240604,160000,0.81,0.81,0.8,0.8,500,0
BEATW.US,60,20240604,170000,0.81,0.81,0.8,0.8,984,0
BEATW.US,60,20240604,180000,0.8,0.8,0.8,0.8,1000,0
BEATW.US,60,20240604,190000,0.8,0.81,0.8,0.81,1000,0
BEATW.US,60,20240604,200000,0.81,0.81,0.79,0.79,1100,0
BEATW.US,60,20240604,210000,0.79,0.79,0.79,0.79,1227,0
BEATW.US,60,20240604,220000,0.79,0.79,0.77,0.78,6237,0
BEATW.US,60,20240605,160000,0.78,0.81,0.78,0.78,1089,0
BEATW.US,60,20240606,170000,0.779899,0.79,0.779899,0.79,250,0
BEATW.US,60,20240606,190000,0.7,0.7,0.7,0.7,1000,0
BEATW.US,60,20240606,220000,0.79,0.79,0.7,0.7125,3054,0
BEATW.US,60,20240610,200000,0.7,0.7,0.6999,0.6999,200,0
BEATW.US,60,20240610,210000,0.7,0.7,0.7,0.7,182,0
BEATW.US,60,20240611,180000,0.545049,0.64,0.545049,0.64,5000,0
BEATW.US,60,20240611,190000,0.64,0.64,0.64,0.64,1000,0
BEATW.US,60,20240612,160000,0.6,0.63,0.6,0.620001,750,0
BEATW.US,60,20240612,170000,0.6,0.6,0.6,0.6,717,0
BEATW.US,60,20240612,190000,0.52,0.6,0.5199,0.6,1818,0
BEATW.US,60,20240612,200000,0.6,0.6,0.52,0.52,2599,0
BEATW.US,60,20240612,220000,0.64,0.64,0.64,0.64,500,0
BEATW.US,60,20240614,160000,0.47,0.48,0.451,0.451,4100,0
BEATW.US,60,20240614,180000,0.62,0.69,0.62,0.688251,5200,0
BEATW.US,60,20240614,190000,0.68,0.68,0.62,0.68,4221,0
BEATW.US,60,20240614,220000,0.69,0.69,0.451,0.69,3485,0
BEATW.US,60,20240617,200000,0.69,0.69,0.64,0.6899,1996,0
BEATW.US,60,20240617,210000,0.69,0.69,0.64,0.69,4500,0
BEATW.US,60,20240618,170000,0.6,0.6,0.4632,0.4632,2500,0
BEATW.US,60,20240618,180000,0.68,0.68,0.68,0.68,100,0
BEATW.US,60,20240626,160000,0.7,0.7,0.4502,0.65,1689,0
BEATW.US,60,20240626,170000,0.64,0.65,0.64,0.65,902,0
BEATW.US,60,20240626,190000,0.69,0.69,0.69,0.69,2000,0
BEATW.US,60,20240627,200000,0.481898,0.65,0.481898,0.65,11000,0
BEATW.US,60,20240701,220000,0.63,0.7,0.63,0.7,1322,0
BEATW.US,60,20240702,160000,0.689899,0.689899,0.689899,0.689899,100,0
BEATW.US,60,20240702,200000,0.69,0.69,0.69,0.69,1000,0
BEATW.US,60,20240702,210000,0.7,0.7,0.7,0.7,19909,0
BEATW.US,60,20240702,220000,0.75,0.75,0.65,0.65,3510,0
BEATW.US,60,20240703,160000,0.7199,0.7199,0.7,0.7,2000,0
BEATW.US,60,20240703,170000,0.7001,0.7001,0.7,0.7001,1200,0
BEATW.US,60,20240703,180000,0.7498,0.7498,0.74949,0.74949,1993,0
BEATW.US,60,20240703,190000,0.7494,0.7495,0.6999,0.72,1688,0
BEATW.US,60,20240705,170000,0.73,0.73,0.550201,0.550201,403,0
BEATW.US,60,20240705,180000,0.719,0.73,0.719,0.719,400,0
BEATW.US,60,20240705,190000,0.719,0.719,0.719,0.719,100,0
BEATW.US,60,20240705,200000,0.73,0.73,0.73,0.73,100,0
BEATW.US,60,20240705,210000,0.7399,0.7399,0.73,0.73,703,0
BEATW.US,60,20240709,160000,0.7,0.7,0.7,0.7,100,0
BEATW.US,60,20240709,190000,0.58,0.75,0.5799,0.75,2059,0
BEATW.US,60,20240709,220000,0.68,0.75,0.6586,0.7497,11463,0
BEATW.US,60,20240710,190000,0.75,0.878,0.75,0.79,5249,0
BEATW.US,60,20240710,200000,0.8,0.83,0.79,0.79,600,0
BEATW.US,60,20240710,220000,0.82,0.82,0.82,0.82,200,0
BEATW.US,60,20240711,160000,0.78,0.78,0.78,0.78,640,0
BEATW.US,60,20240711,170000,0.80995,0.80995,0.80995,0.80995,200,0
BEATW.US,60,20240711,180000,0.81,0.81,0.81,0.81,200,0
BEATW.US,60,20240712,170000,0.78,0.79,0.78,0.79,400,0
BEATW.US,60,20240712,180000,0.8099,0.81,0.8099,0.81,400,0
BEATW.US,60,20240712,210000,0.815,0.815,0.8099,0.8099,400,0
BEATW.US,60,20240712,220000,0.8099,0.84,0.79,0.79,9595,0
BEATW.US,60,20240716,160000,0.79,0.8229,0.79,0.8229,255,0
BEATW.US,60,20240716,180000,0.79,0.79,0.79,0.79,100,0
BEATW.US,60,20240716,200000,0.7914,0.7914,0.7914,0.7914,12000,0
BEATW.US,60,20240716,210000,0.7914,0.849899,0.6081,0.849899,7182,0
BEATW.US,60,20240716,220000,0.6281,0.84,0.4978,0.80989,10222,0
BEATW.US,60,20240718,160000,0.8,0.8,0.8,0.8,100,0
BEATW.US,60,20240719,200000,0.8,0.8,0.8,0.8,200,0
BEATW.US,60,20240722,160000,0.5511,0.7,0.5511,0.7,2198,0
BEATW.US,60,20240722,180000,0.6003,0.6003,0.6,0.6,1000,0
BEATW.US,60,20240722,220000,0.6997,0.7099,0.6997,0.7099,400,0
BEATW.US,60,20240723,170000,0.71,0.71,0.6997,0.71,500,0
BEATW.US,60,20240723,190000,0.8499,0.8499,0.8499,0.8499,100,0
BEATW.US,60,20240723,220000,0.5911,0.6295,0.5911,0.6295,397,0
BEATW.US,60,20240724,160000,0.779899,0.779899,0.779899,0.779899,300,0
BEATW.US,60,20240724,200000,0.7599,0.7599,0.7,0.726,500,0
BEATW.US,60,20240724,220000,0.71,0.71,0.4977,0.5711,834,0
BEATW.US,60,20240725,170000,0.6755,0.6755,0.6755,0.6755,922,0
