<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADUR.US,60,20241107,170000,4.25,4.25,3.975,3.98,151061,0
ADUR.US,60,20241107,180000,4.05,4.21,3.98,4.17,25812,0
ADUR.US,60,20241107,190000,4.18,4.25,4.16,4.25,18444,0
ADUR.US,60,20241107,200000,4.25,4.25,4.16,4.2,15210,0
ADUR.US,60,20241107,210000,4.19,4.19,4.16,4.16,9700,0
ADUR.US,60,20241107,220000,4.22,4.25,4.16,4.25,16904,0
ADUR.US,60,20241108,160000,4.25,4.5748,4.2486,4.4,21938,0
ADUR.US,60,20241108,170000,4.35,4.57,4.33,4.4773,52402,0
ADUR.US,60,20241108,180000,4.44,4.5,4.32,4.32,12515,0
ADUR.US,60,20241108,190000,4.4,4.45,4.31,4.3276,1200,0
ADUR.US,60,20241108,200000,4.3999,4.45,4.29,4.3439,33535,0
ADUR.US,60,20241108,210000,4.29,4.35,4.29,4.35,11670,0
ADUR.US,60,20241108,220000,4.3892,4.45,4.25,4.279,14088,0
ADUR.US,60,20241111,160000,4.59,4.67,4.4,4.6159,33437,0
ADUR.US,60,20241111,170000,4.64,4.71,4.4426,4.5,46777,0
ADUR.US,60,20241111,180000,4.6,4.6936,4.4,4.49,31055,0
ADUR.US,60,20241111,190000,4.48,4.54,4.37,4.4,10404,0
ADUR.US,60,20241111,200000,4.3701,4.4798,4.32,4.4798,9074,0
ADUR.US,60,20241111,210000,4.4745,4.49,4.43,4.465,4361,0
ADUR.US,60,20241111,220000,4.47,4.61,4.47,4.58,7815,0
ADUR.US,60,20241112,160000,4.87,5,4.7,4.9754,37201,0
ADUR.US,60,20241112,170000,4.97,5.12,4.93,5.0048,96975,0
ADUR.US,60,20241112,180000,5.02,5.1799,4.9501,4.97,27654,0
ADUR.US,60,20241112,190000,4.95,5.13,4.93,4.98,14794,0
ADUR.US,60,20241112,200000,5,5.17,4.9881,5.1,20713,0
ADUR.US,60,20241112,210000,5.14,5.249,5.05,5.0702,21099,0
ADUR.US,60,20241112,220000,5.1832,5.1832,5.02,5.07,15733,0
ADUR.US,60,20241113,160000,5.5,5.97,5.5,5.7307,79079,0
ADUR.US,60,20241113,170000,5.72,5.8,5.6,5.76,37451,0
ADUR.US,60,20241113,180000,5.7,5.8528,5.675,5.8,36030,0
ADUR.US,60,20241113,190000,5.78,5.9495,5.78,5.84,37092,0
ADUR.US,60,20241113,200000,5.85,5.94,5.8,5.94,10571,0
ADUR.US,60,20241113,210000,5.9059,6.1647,5.8,5.9272,78266,0
ADUR.US,60,20241113,220000,5.9,5.97,5.9,5.94,16177,0
ADUR.US,60,20241114,160000,6.39,6.6,6.12,6.53,58624,0
ADUR.US,60,20241114,170000,6.65,7,6.3,6.3758,91177,0
ADUR.US,60,20241114,180000,6.386,6.45,6.2,6.4,49946,0
ADUR.US,60,20241114,190000,6.4,6.5856,6.4,6.53,35199,0
ADUR.US,60,20241114,200000,6.5,6.5701,6.5,6.5428,13329,0
ADUR.US,60,20241114,210000,6.55,6.55,6.49,6.5269,23626,0
ADUR.US,60,20241114,220000,6.54,6.55,6.2983,6.4085,18804,0
ADUR.US,60,20241115,160000,6.62,6.62,6.42,6.445,21411,0
ADUR.US,60,20241115,170000,6.3148,6.38,6.04,6.0424,31074,0
ADUR.US,60,20241115,180000,6.27,6.27,6.0228,6.055,5782,0
ADUR.US,60,20241115,190000,6.0447,6.0447,6,6.02,8782,0
ADUR.US,60,20241115,200000,6,6.02,5.68,5.92,61919,0
ADUR.US,60,20241115,210000,5.75,5.9,5.69,5.85,19875,0
ADUR.US,60,20241115,220000,5.9,5.99,5.84,5.86,16389,0
ADUR.US,60,20241118,160000,5.93,6.2437,5.91,6.2,19941,0
ADUR.US,60,20241118,170000,6.2,6.55,6.2,6.5431,55212,0
ADUR.US,60,20241118,180000,6.55,6.6,6.4558,6.5511,21182,0
ADUR.US,60,20241118,190000,6.5,6.55,6.35,6.3922,18891,0
ADUR.US,60,20241118,200000,6.43,6.43,6.2,6.23,11483,0
