<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AEBI.US,60,20250701,220000,83.26,83.26,83.26,83.26,1279,0
AEBI.US,60,20250702,160000,32.94,32.9999,17,17,33468,0
AEBI.US,60,20250702,170000,16.74,17.7799,15.77,17.7799,140350,0
AEBI.US,60,20250702,180000,17.595,17.6293,14.0501,14.15,154890,0
AEBI.US,60,20250702,190000,14.3,14.43,12,12,175974,0
AEBI.US,60,20250702,200000,12.04,12.09,10.1,11.555,474758,0
AEBI.US,60,20250702,210000,11.555,12.5,10.81,11.205,288703,0
AEBI.US,60,20250702,220000,11.39,11.98,11.18,11.18,474691,0
AEBI.US,60,20250703,160000,14.1,14.18,12.99,13.28,306418,0
AEBI.US,60,20250703,170000,13.25,13.25,11.81,12.3502,902048,0
AEBI.US,60,20250703,180000,12.6,13.05,12.33,12.92,279057,0
AEBI.US,60,20250703,190000,12.93,15.01,12.9,13.53,1025051,0
AEBI.US,60,20250703,200000,13.63,13.63,13.54,13.61,128970,0
AEBI.US,60,20250707,160000,12.42,13,12.18,12.62,126564,0
AEBI.US,60,20250707,170000,12.58,13.25,12.5,13.23,105008,0
AEBI.US,60,20250707,180000,13.25,13.4,13.02,13.19,152262,0
AEBI.US,60,20250707,190000,13.21,13.235,12.86,12.89,67555,0
AEBI.US,60,20250707,200000,12.885,13,12.465,12.55,139955,0
AEBI.US,60,20250707,210000,12.555,12.72,12.44,12.685,156264,0
AEBI.US,60,20250707,220000,12.685,12.7,11.43,12.13,863936,0
AEBI.US,60,20250708,160000,12.24,12.24,11.31,11.3705,90750,0
AEBI.US,60,20250708,170000,11.3791,11.39,11.19,11.33,145794,0
AEBI.US,60,20250708,180000,11.33,11.36,11.18,11.205,102099,0
AEBI.US,60,20250708,190000,11.209,11.32,11.14,11.145,45678,0
AEBI.US,60,20250708,200000,11.15,11.23,11.06,11.075,110108,0
AEBI.US,60,20250708,210000,11.07,11.19,11.06,11.19,57823,0
AEBI.US,60,20250708,220000,11.18,11.66,11.1201,11.62,303793,0
AEBI.US,60,20250709,160000,11.37,11.97,11.1,11.11,47989,0
AEBI.US,60,20250709,170000,11.121,11.27,10.8198,11.25,90506,0
AEBI.US,60,20250709,180000,11.255,11.5,11.16,11.325,28320,0
AEBI.US,60,20250709,190000,11.35,11.425,11.32,11.37,21713,0
AEBI.US,60,20250709,200000,11.38,11.56,11.37,11.525,29391,0
AEBI.US,60,20250709,210000,11.53,11.6,11.45,11.51,57789,0
AEBI.US,60,20250709,220000,11.51,11.95,11.49,11.82,266504,0
AEBI.US,60,20250710,160000,11.55,11.76,11.4,11.67,29435,0
AEBI.US,60,20250710,170000,11.67,11.6993,11.47,11.63,40474,0
