<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CME.US,60,20240411,160000,211.61,212.2547,210.44,212.135,42117,0
CME.US,60,20240411,170000,212.09,212.58,210.71,211.7,265299,0
CME.US,60,20240411,180000,211.705,212.485,211.57,212.02,113684,0
CME.US,60,20240411,190000,212.03,213.105,211.875,212.78,110825,0
CME.US,60,20240411,200000,212.75,213.5,212.635,213.19,103804,0
CME.US,60,20240411,210000,213.2,213.805,213.14,213.79,47563,0
CME.US,60,20240411,220000,213.79,213.87,212.76,212.77,436847,0
CME.US,60,20240412,160000,212.4,212.84,211.52,211.9,42776,0
CME.US,60,20240412,170000,211.81,212.79,211.29,212.44,91845,0
CME.US,60,20240412,180000,212.45,212.45,211.81,211.9,106650,0
CME.US,60,20240412,190000,211.86,211.91,210.09,210.34,50878,0
CME.US,60,20240412,200000,210.4,210.66,210.1,210.29,54210,0
CME.US,60,20240412,210000,210.315,210.315,209.68,209.825,75604,0
CME.US,60,20240412,220000,209.82,210.11,209.29,209.49,247923,0
CME.US,60,20240415,160000,211.04,212.1,210.3,211.02,66891,0
CME.US,60,20240415,170000,211.055,211.055,208.94,209.565,126319,0
CME.US,60,20240415,180000,209.55,209.98,208.78,209.5,112670,0
CME.US,60,20240415,190000,209.48,209.535,208.55,208.69,87471,0
CME.US,60,20240415,200000,208.69,208.73,207.32,207.38,104783,0
CME.US,60,20240415,210000,207.42,207.54,206.23,206.57,181468,0
CME.US,60,20240415,220000,206.59,206.865,206.075,206.2,383703,0
CME.US,60,20240416,160000,207.35,208.75,206.855,207.085,61507,0
CME.US,60,20240416,170000,207,207.2299,206.15,206.38,72755,0
CME.US,60,20240416,180000,206.44,206.92,206.29,206.44,64280,0
CME.US,60,20240416,190000,206.46,206.81,206.37,206.615,42083,0
CME.US,60,20240416,200000,206.58,207.16,206.23,207.16,68224,0
CME.US,60,20240416,210000,207.11,207.53,206.53,207.51,69542,0
CME.US,60,20240416,220000,207.57,207.57,206.41,206.43,154136,0
CME.US,60,20240417,160000,208.06,208.42,206.43,206.96,81104,0
CME.US,60,20240417,170000,206.95,207.44,206.62,207.03,119121,0
CME.US,60,20240417,180000,207.04,207.185,206.345,206.65,101984,0
CME.US,60,20240417,190000,206.62,207.04,206.21,206.85,91500,0
CME.US,60,20240417,200000,206.84,207.93,206.835,207.78,121995,0
CME.US,60,20240417,210000,207.83,209.13,207.75,208.4,360977,0
CME.US,60,20240417,220000,208.33,208.9525,207.9,208.31,284795,0
CME.US,60,20240418,160000,210.15,210.245,208.705,210.05,33459,0
CME.US,60,20240418,170000,209.94,210.36,209.14,209.28,62863,0
CME.US,60,20240418,180000,209.22,209.23,208.19,208.565,58761,0
CME.US,60,20240418,190000,208.575,209.01,208.32,208.48,67646,0
CME.US,60,20240418,200000,208.45,208.55,207.77,208.4,42392,0
CME.US,60,20240418,210000,208.33,209.51,208.26,209.42,83082,0
CME.US,60,20240418,220000,209.48,210.11,209.35,209.65,267019,0
CME.US,60,20240419,160000,211.28,211.99,210.27,211.495,95496,0
CME.US,60,20240419,170000,211.495,212.25,211.41,211.89,116426,0
CME.US,60,20240419,180000,211.81,213.05,211.6,212.945,135121,0
CME.US,60,20240419,190000,212.94,213.78,212.61,213.62,177689,0
CME.US,60,20240419,200000,213.5,214.26,213.4,214.06,127549,0
CME.US,60,20240419,210000,214.095,214.3,213.69,214.29,136817,0
CME.US,60,20240419,220000,214.28,214.5,212.96,213.04,365990,0
CME.US,60,20240422,160000,213.3,214.67,212.93,214.61,79220,0
CME.US,60,20240422,170000,214.575,215.48,214.48,214.73,120013,0
CME.US,60,20240422,180000,214.65,215.4,214.36,215.27,68493,0
CME.US,60,20240422,190000,215.37,215.7,215.06,215.7,60185,0
CME.US,60,20240422,200000,215.67,216.68,215.55,216.5,58554,0
CME.US,60,20240422,210000,216.535,216.71,216.18,216.405,82478,0
CME.US,60,20240422,220000,216.37,216.395,215.145,215.48,204481,0
CME.US,60,20240423,160000,215.01,216.7,214.14,214.28,70109,0
CME.US,60,20240423,170000,214.32,215.78,214.155,215.68,91357,0
CME.US,60,20240423,180000,215.58,216.25,215.43,215.97,157602,0
CME.US,60,20240423,190000,216.03,216.66,215.92,216.59,93076,0
CME.US,60,20240423,200000,216.585,216.73,215.855,216.125,167987,0
CME.US,60,20240423,210000,216.105,216.28,215.36,215.63,136653,0
CME.US,60,20240423,220000,215.6,217.45,215.29,216.8,329022,0
CME.US,60,20240424,160000,215.63,216.63,212.06,215.57,121056,0
CME.US,60,20240424,170000,215.57,215.68,209.07,211.89,324321,0
CME.US,60,20240424,180000,211.75,213.37,211.03,213.37,162974,0
CME.US,60,20240424,190000,213.38,214.15,212.65,213.6,94763,0
CME.US,60,20240424,200000,213.53,213.53,212.565,212.895,73286,0
CME.US,60,20240424,210000,212.8875,213.59,212.74,213.135,73553,0
CME.US,60,20240424,220000,213.11,213.725,212.53,212.59,582601,0
CME.US,60,20240425,160000,212.345,216.01,211.19,215.6,90655,0
CME.US,60,20240425,170000,215.215,216.52,212.7411,213.38,189364,0
CME.US,60,20240425,180000,213.2901,214.42,212.935,214.42,102198,0
CME.US,60,20240425,190000,214.29,214.97,213.24,213.92,83608,0
CME.US,60,20240425,200000,213.92,213.92,212.725,213.535,64242,0
CME.US,60,20240425,210000,213.535,213.93,213.27,213.835,116217,0
CME.US,60,20240425,220000,213.845,214.37,212.06,212.54,558854,0
CME.US,60,20240426,160000,211.92,212.4,210.45,210.78,75315,0
CME.US,60,20240426,170000,210.84,212.03,209.635,211.435,112933,0
CME.US,60,20240426,180000,211.505,211.58,210.58,210.615,57244,0
CME.US,60,20240426,190000,210.61,211.345,210.19,210.275,79375,0
CME.US,60,20240426,200000,210.48,211.08,210.36,210.84,44564,0
CME.US,60,20240426,210000,210.9,211.47,210.83,211.19,34996,0
CME.US,60,20240426,220000,211.2299,211.27,210.47,210.94,320541,0
CME.US,60,20240429,160000,209.69,213.135,209.69,212.79,44940,0
CME.US,60,20240429,170000,212.8,212.925,211.32,211.915,54097,0
CME.US,60,20240429,180000,211.85,212.16,211.36,211.87,55593,0
CME.US,60,20240429,190000,211.77,211.91,211.195,211.4066,48460,0
CME.US,60,20240429,200000,211.28,211.355,210.36,210.36,64738,0
CME.US,60,20240429,210000,210.4,210.8379,209.75,209.855,83856,0
CME.US,60,20240429,220000,209.79,209.86,209.195,209.62,393327,0
CME.US,60,20240430,160000,209.57,209.57,208.18,208.875,117589,0
CME.US,60,20240430,170000,208.71,209.34,207.685,209.305,98901,0
CME.US,60,20240430,180000,209.3,209.32,208.28,208.28,40580,0
CME.US,60,20240430,190000,208.28,209.34,208.25,208.63,112509,0
CME.US,60,20240430,200000,208.65,209.56,208.59,209.56,31893,0
CME.US,60,20240430,210000,209.5,210.14,209.2607,209.77,65169,0
CME.US,60,20240430,220000,209.81,209.95,209.21,209.61,79820,0
CME.US,60,20240501,160000,209.05,209.59,207.55,208.225,64236,0
CME.US,60,20240501,170000,208.34,209.56,208.12,208.94,99934,0
CME.US,60,20240501,180000,209.01,210.18,209.01,209.88,160487,0
CME.US,60,20240501,190000,209.894,210.51,209.74,210.5,56911,0
CME.US,60,20240501,200000,210.475,210.475,209.74,209.95,74043,0
CME.US,60,20240501,210000,210.1,210.43,209.33,209.4,154560,0
CME.US,60,20240501,220000,209.48,209.63,207.99,207.99,277039,0
CME.US,60,20240502,160000,209.37,209.74,207.16,207.535,74048,0
CME.US,60,20240502,170000,207.555,208.18,206.91,208.05,136023,0
CME.US,60,20240502,180000,208.05,208.82,207.59,208.16,142924,0
CME.US,60,20240502,190000,208.28,208.295,207.08,207.27,62988,0
CME.US,60,20240502,200000,207.27,207.9986,207.2,207.545,77436,0
CME.US,60,20240502,210000,207.545,207.78,207.33,207.57,128837,0
CME.US,60,20240502,220000,207.605,207.96,206.85,207.48,618181,0
