<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FERAR.US,60,20250421,160000,0.2,0.2,0.2,0.2,20000,0
FERAR.US,60,20250421,170000,0.2,0.2,0.19,0.2,380000,0
FERAR.US,60,20250421,180000,0.19,0.19,0.19,0.19,15000,0
FERAR.US,60,20250422,190000,0.188,0.188,0.18,0.18,300,0
FERAR.US,60,20250423,160000,0.18,0.18,0.18,0.18,200,0
FERAR.US,60,20250423,180000,0.18,0.18,0.17,0.17,725000,0
FERAR.US,60,20250423,190000,0.19,0.19,0.19,0.19,100,0
FERAR.US,60,20250423,200000,0.18,0.18,0.17,0.17,126000,0
FERAR.US,60,20250424,190000,0.19,0.19,0.19,0.19,10000,0
FERAR.US,60,20250424,200000,0.19,0.19,0.19,0.19,15000,0
FERAR.US,60,20250424,210000,0.19,0.19,0.19,0.19,45104,0
FERAR.US,60,20250424,220000,0.1913,0.1913,0.1913,0.1913,200,0
FERAR.US,60,20250425,210000,0.19,0.19,0.19,0.19,150000,0
FERAR.US,60,20250430,190000,0.18,0.18,0.18,0.18,9000,0
FERAR.US,60,20250430,200000,0.18,0.18,0.18,0.18,50000,0
FERAR.US,60,20250502,210000,0.18,0.18,0.18,0.18,1000,0
FERAR.US,60,20250507,190000,0.19,0.19,0.19,0.19,100000,0
FERAR.US,60,20250508,160000,0.18,0.18,0.18,0.18,14696,0
FERAR.US,60,20250508,200000,0.188,0.19,0.188,0.19,5400,0
FERAR.US,60,20250508,210000,0.19,0.19,0.19,0.19,14696,0
FERAR.US,60,20250514,220000,0.19,0.19,0.19,0.19,100000,0
FERAR.US,60,20250515,170000,0.19,0.19,0.19,0.19,600,0
FERAR.US,60,20250519,220000,0.2,0.2,0.2,0.2,253000,0
FERAR.US,60,20250521,190000,0.2,0.2,0.2,0.2,50000,0
FERAR.US,60,20250521,210000,0.2,0.2,0.2,0.2,50000,0
FERAR.US,60,20250522,190000,0.21,0.21,0.21,0.21,150000,0
FERAR.US,60,20250527,180000,0.234,0.24,0.234,0.24,17100,0
FERAR.US,60,20250527,220000,0.219999,0.22,0.215,0.215,80400,0
FERAR.US,60,20250528,170000,0.22,0.22,0.22,0.22,305100,0
FERAR.US,60,20250528,190000,0.21,0.21,0.21,0.21,100000,0
FERAR.US,60,20250528,210000,0.2275,0.2275,0.2275,0.2275,108,0
FERAR.US,60,20250529,180000,0.23,0.23,0.23,0.23,1113,0
FERAR.US,60,20250530,160000,0.226,0.2278,0.226,0.2261,400,0
FERAR.US,60,20250530,170000,0.2295,0.23,0.2295,0.23,600,0
FERAR.US,60,20250530,180000,0.23,0.2447,0.23,0.2447,800,0
FERAR.US,60,20250530,190000,0.2469,0.2494,0.2469,0.2494,600,0
FERAR.US,60,20250530,200000,0.25,0.25,0.25,0.25,500,0
FERAR.US,60,20250530,210000,0.25,0.25,0.25,0.25,700,0
FERAR.US,60,20250603,160000,0.25,0.25,0.2499,0.2499,572,0
FERAR.US,60,20250603,170000,0.21001,0.21001,0.21001,0.21001,1113,0
FERAR.US,60,20250604,160000,0.218686,0.218686,0.218686,0.218686,342,0
FERAR.US,60,20250605,190000,0.24,0.24,0.2283,0.2399,19000,0
FERAR.US,60,20250605,210000,0.238,0.24,0.230001,0.24,2100,0
FERAR.US,60,20250606,160000,0.24,0.24,0.24,0.24,10000,0
FERAR.US,60,20250606,170000,0.24,0.2499,0.24,0.2499,32100,0
FERAR.US,60,20250609,220000,0.25,0.25,0.25,0.25,102900,0
FERAR.US,60,20250610,200000,0.2501,0.2501,0.2501,0.2501,200,0
FERAR.US,60,20250617,220000,0.26,0.2772,0.251,0.251,29338,0
FERAR.US,60,20250618,190000,0.2511,0.2511,0.251,0.251,11562,0
FERAR.US,60,20250620,210000,0.2663,0.27,0.2663,0.27,4900,0
FERAR.US,60,20250624,220000,0.2709,0.32,0.27,0.27,194100,0
FERAR.US,60,20250625,170000,0.275,0.2785,0.275,0.275,13400,0
FERAR.US,60,20250625,210000,0.275,0.2775,0.275,0.2775,6024,0
FERAR.US,60,20250626,220000,0.28,0.3,0.28,0.2813,113700,0
FERAR.US,60,20250703,170000,0.2593,0.2593,0.2593,0.2593,3836,0
FERAR.US,60,20250703,180000,0.27,0.27,0.27,0.27,2000,0
FERAR.US,60,20250703,190000,0.27,0.27,0.27,0.27,6200,0
FERAR.US,60,20250707,180000,0.2798,0.28,0.2704,0.28,62262,0
FERAR.US,60,20250708,190000,0.2533,0.265,0.2532,0.2591,52053,0
FERAR.US,60,20250708,210000,0.2566,0.265,0.2558,0.2616,65900,0
FERAR.US,60,20250711,180000,0.27,0.27,0.27,0.27,200,0
FERAR.US,60,20250711,190000,0.27,0.27,0.27,0.27,1100,0
FERAR.US,60,20250711,200000,0.27,0.27,0.27,0.27,700,0
FERAR.US,60,20250711,210000,0.2747,0.29,0.2747,0.29,600,0
FERAR.US,60,20250711,220000,0.29,0.29,0.29,0.29,1700,0
FERAR.US,60,20250714,160000,0.30999,0.30999,0.30999,0.30999,105,0
FERAR.US,60,20250714,200000,0.2827,0.286,0.2827,0.2827,1000,0
FERAR.US,60,20250715,160000,0.2643,0.2643,0.2643,0.2643,105,0
FERAR.US,60,20250716,210000,0.2656,0.28,0.26,0.28,857,0
FERAR.US,60,20250717,220000,0.2532,0.28,0.2532,0.28,585,0
FERAR.US,60,20250718,190000,0.26,0.28,0.2532,0.26,3582,0
FERAR.US,60,20250718,200000,0.278,0.278,0.278,0.278,100,0
