<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GCL.US,60,20250214,160000,3.05,3.5,2.6,2.75,247619,0
GCL.US,60,20250214,170000,2.72,3.1,2.6,3.06,191320,0
GCL.US,60,20250214,180000,3.02,3.17,2.8,3.05,131034,0
GCL.US,60,20250214,190000,2.99,3.5,2.86,3.25,97665,0
GCL.US,60,20250214,200000,3.11,3.27,2.9,3.2399,51738,0
GCL.US,60,20250214,210000,3.2465,3.7,3.1,3.24,103089,0
GCL.US,60,20250214,220000,3.24,3.28,2.95,3.0492,46975,0
GCL.US,60,20250218,160000,4.32,5.3532,4.1,5.24,1848321,0
GCL.US,60,20250218,170000,5.13,7.34,4.9,6.94,13461135,0
GCL.US,60,20250218,180000,6.932,9.89,6.84,8.26,20764341,0
GCL.US,60,20250218,190000,8.27,8.5699,6.7601,6.98,4322915,0
GCL.US,60,20250218,200000,6.97,7.47,6.85,6.99,1493615,0
GCL.US,60,20250218,210000,6.98,8.6699,6.84,6.99,4360386,0
GCL.US,60,20250218,220000,7,7.629,6.94,7.5,1549482,0
GCL.US,60,20250219,160000,6.5,7.77,6.3,7,389791,0
GCL.US,60,20250219,170000,7,7.27,6.52,6.55,269232,0
GCL.US,60,20250219,180000,6.565,6.58,6.21,6.4515,144590,0
GCL.US,60,20250219,190000,6.465,6.9916,6.31,6.789,80462,0
GCL.US,60,20250219,200000,6.75,6.94,6.2,6.2797,95932,0
GCL.US,60,20250219,210000,6.28,6.4274,6.1,6.12,75336,0
GCL.US,60,20250219,220000,6.14,6.37,6.12,6.15,127482,0
GCL.US,60,20250220,160000,6,6,5.41,5.51,84450,0
GCL.US,60,20250220,170000,5.5,5.59,5.4,5.56,83021,0
GCL.US,60,20250220,180000,5.577,6.4,5.45,5.759,98427,0
GCL.US,60,20250220,190000,5.61,5.759,5.4525,5.5493,11918,0
GCL.US,60,20250220,200000,5.55,5.69,5.4801,5.69,40606,0
GCL.US,60,20250220,210000,5.6802,5.85,5.65,5.68,39696,0
