<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOEG.US,60,20250613,160000,14.16,14.19,14.16,14.19,1100,0
BOEG.US,60,20250613,210000,14.41,14.41,14.3496,14.3496,1850,0
BOEG.US,60,20250613,220000,14.45,14.45,14.16,14.16,2350,0
BOEG.US,60,20250616,160000,14.84,14.84,14.84,14.84,123,0
BOEG.US,60,20250616,170000,14.76,14.88,14.76,14.869,1279,0
BOEG.US,60,20250616,180000,14.8,14.8,14.8,14.8,100,0
BOEG.US,60,20250616,220000,14.65,14.65,14.65,14.65,200,0
BOEG.US,60,20250617,180000,14.58,14.58,14.58,14.58,1000,0
BOEG.US,60,20250617,220000,14.38,14.3832,14.37,14.38,1000,0
BOEG.US,60,20250618,160000,14.349,14.349,14.249,14.289,500,0
BOEG.US,60,20250618,190000,14.3,14.3,14.2,14.2,2100,0
BOEG.US,60,20250618,220000,14.14,14.14,13.78,13.78,300,0
BOEG.US,60,20250620,160000,14.47,14.47,14.47,14.47,1000,0
BOEG.US,60,20250620,170000,14.28,14.28,14.28,14.28,202,0
BOEG.US,60,20250620,180000,14.35,14.35,14.23,14.23,500,0
BOEG.US,60,20250620,190000,14.26,14.26,14.26,14.26,500,0
BOEG.US,60,20250620,210000,14.19,14.19,14.15,14.15,200,0
BOEG.US,60,20250620,220000,14.14,14.14,14.14,14.14,100,0
BOEG.US,60,20250623,160000,14.2,14.271,14.2,14.271,600,0
BOEG.US,60,20250623,170000,14.46,14.63,14.46,14.57,2878,0
BOEG.US,60,20250623,180000,14.57,14.57,14.57,14.57,150,0
BOEG.US,60,20250623,200000,14.67,14.67,14.67,14.67,250,0
BOEG.US,60,20250624,160000,14.75,14.75,14.75,14.75,500,0
BOEG.US,60,20250624,170000,14.5607,14.5672,14.56,14.56,500,0
BOEG.US,60,20250624,190000,14.48,14.48,14.48,14.48,200,0
BOEG.US,60,20250625,210000,14.5097,14.5097,14.2,14.2,300,0
BOEG.US,60,20250626,170000,14.721,14.89,14.721,14.89,1900,0
BOEG.US,60,20250626,180000,14.891,14.891,14.891,14.891,499,0
BOEG.US,60,20250627,170000,15.765,15.765,15.5976,15.65,500,0
BOEG.US,60,20250627,180000,15.6518,15.91,15.6518,15.91,862,0
BOEG.US,60,20250627,190000,16.0076,16.0122,16.0076,16.0122,200,0
BOEG.US,60,20250627,200000,15.9745,16.019,15.9745,16.01,2401,0
BOEG.US,60,20250627,210000,16.04,16.06,16,16.01,500,0
BOEG.US,60,20250627,220000,15.91,16.42,15.91,16.42,1100,0
BOEG.US,60,20250630,160000,16.299,16.299,16.1,16.1,1300,0
BOEG.US,60,20250630,170000,16.0287,16.0287,15.85,15.86,1000,0
BOEG.US,60,20250630,180000,15.88,15.99,15.88,15.99,400,0
BOEG.US,60,20250630,190000,15.74,15.74,15.6876,15.6876,550,0
BOEG.US,60,20250630,200000,15.71,15.71,15.519,15.519,1677,0
BOEG.US,60,20250630,210000,15.48,15.58,15.48,15.58,900,0
BOEG.US,60,20250630,220000,15.57,15.83,15.57,15.62,550,0
BOEG.US,60,20250701,160000,15.985,15.985,15.915,15.915,800,0
BOEG.US,60,20250701,170000,15.92,15.92,15.56,15.56,3400,0
BOEG.US,60,20250701,180000,15.529,15.55,15.529,15.55,600,0
BOEG.US,60,20250701,190000,15.6299,15.7,15.62,15.7,485,0
BOEG.US,60,20250701,200000,15.829,15.829,15.829,15.829,100,0
BOEG.US,60,20250701,210000,15.85,15.889,15.81,15.85,400,0
BOEG.US,60,20250701,220000,15.78,15.78,15.78,15.78,100,0
BOEG.US,60,20250702,170000,15.81,15.96,15.79,15.96,965,0
BOEG.US,60,20250702,180000,15.93,16.11,15.93,16.11,200,0
BOEG.US,60,20250702,190000,16.147,16.26,16.147,16.2299,500,0
BOEG.US,60,20250702,210000,15.8825,15.8825,15.85,15.85,599,0
BOEG.US,60,20250703,160000,16.39,16.49,16.39,16.49,1403,0
BOEG.US,60,20250703,170000,16.611,16.83,16.611,16.7,4236,0
BOEG.US,60,20250703,180000,16.665,16.665,16.5901,16.62,614,0
BOEG.US,60,20250703,190000,17.0347,17.0347,17.0347,17.0347,100,0
BOEG.US,60,20250707,160000,16.619,16.64,16.5892,16.64,1008,0
BOEG.US,60,20250707,170000,16.54,16.59,16.51,16.51,1413,0
BOEG.US,60,20250707,180000,16.4,16.4122,16.4,16.4122,200,0
BOEG.US,60,20250707,190000,16.58,16.58,16.58,16.58,100,0
BOEG.US,60,20250707,210000,16.64,16.8,16.64,16.8,600,0
BOEG.US,60,20250708,160000,17.059,17.14,17.025,17.1,4076,0
BOEG.US,60,20250708,170000,16.85,16.85,16.5098,16.51,2100,0
BOEG.US,60,20250708,180000,16.639,16.6622,16.59,16.6622,994,0
BOEG.US,60,20250708,200000,17.05,17.05,17.05,17.05,1000,0
BOEG.US,60,20250708,210000,17.0269,17.0269,17.0269,17.0269,300,0
BOEG.US,60,20250708,220000,17.069,17.0783,17.02,17.03,2900,0
BOEG.US,60,20250709,170000,18.0689,18.09,18.021,18.09,1026,0
BOEG.US,60,20250709,180000,18.38,18.38,18.38,18.38,100,0
BOEG.US,60,20250709,190000,18.42,18.5,18.4,18.5,1200,0
BOEG.US,60,20250709,200000,18.63,18.66,18.63,18.66,900,0
BOEG.US,60,20250709,210000,18.3,18.3,18.3,18.3,100,0
BOEG.US,60,20250709,220000,18.2976,18.2976,18.2477,18.2477,3881,0
BOEG.US,60,20250710,160000,18.38,18.4178,18.3,18.4178,2466,0
BOEG.US,60,20250710,170000,18.21,18.2147,18.139,18.2,5992,0
BOEG.US,60,20250710,180000,18.03,18.03,18.02,18.02,200,0
BOEG.US,60,20250711,190000,17.855,18.24,17.82,18.24,962,0
BOEG.US,60,20250711,200000,18.39,18.45,18.39,18.45,200,0
BOEG.US,60,20250711,210000,18.35,18.35,18.35,18.35,150,0
BOEG.US,60,20250711,220000,18.3,18.3,18.21,18.21,200,0
BOEG.US,60,20250714,160000,19.08,19.21,19.08,19.21,2253,0
BOEG.US,60,20250714,170000,18.539,18.5661,18.47,18.47,6098,0
BOEG.US,60,20250714,190000,18.75,18.75,18.75,18.75,300,0
BOEG.US,60,20250714,200000,18.77,18.77,18.77,18.77,250,0
BOEG.US,60,20250714,210000,18.81,18.81,18.755,18.755,1250,0
BOEG.US,60,20250714,220000,18.7905,18.899,18.7905,18.85,1782,0
BOEG.US,60,20250715,160000,18.6,18.635,18.6,18.635,425,0
BOEG.US,60,20250715,170000,18.72,18.8938,18.72,18.8938,400,0
BOEG.US,60,20250715,180000,18.8103,18.8103,18.81,18.81,400,0
BOEG.US,60,20250715,190000,18.85,18.85,18.85,18.85,200,0
BOEG.US,60,20250715,200000,18.7017,18.7017,18.7017,18.7017,268,0
BOEG.US,60,20250715,210000,19.17,19.17,19.08,19.08,200,0
BOEG.US,60,20250715,220000,18.785,18.85,18.785,18.85,207,0
BOEG.US,60,20250716,160000,18.83,18.8336,18.811,18.8292,5116,0
BOEG.US,60,20250716,180000,18.69,18.69,18.461,18.461,989,0
BOEG.US,60,20250716,200000,18.59,18.65,18.56,18.65,1200,0
BOEG.US,60,20250716,220000,18.661,18.7202,18.6355,18.701,719,0
BOEG.US,60,20250717,180000,18.5931,18.5931,18.5931,18.5931,200,0
BOEG.US,60,20250717,190000,18.54,18.54,18.54,18.54,100,0
BOEG.US,60,20250717,200000,18.511,18.71,18.511,18.71,200,0
BOEG.US,60,20250717,210000,18.94,19.02,18.94,19.02,246,0
BOEG.US,60,20250717,220000,19.0488,19.0488,19.0488,19.0488,144,0
BOEG.US,60,20250718,160000,18.8871,18.8871,18.8871,18.8871,300,0
BOEG.US,60,20250718,170000,18.88,18.88,18.88,18.88,2300,0
BOEG.US,60,20250718,190000,18.52,18.52,18.5,18.5,677,0
BOEG.US,60,20250718,210000,18.57,18.57,18.57,18.57,100,0
BOEG.US,60,20250718,220000,18.5624,18.5624,18.521,18.521,600,0
BOEG.US,60,20250721,160000,18.75,18.75,18.69,18.7191,657,0
BOEG.US,60,20250721,180000,19.0015,19.0369,18.9869,18.9869,1100,0
BOEG.US,60,20250721,200000,18.821,18.821,18.821,18.821,100,0
BOEG.US,60,20250721,210000,18.871,18.871,18.871,18.871,100,0
BOEG.US,60,20250721,220000,18.7181,18.7181,18.7181,18.7181,100,0
