<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGH.US,60,20250212,180000,4.37,4.48,3.85,4.05,765399,0
AGH.US,60,20250212,190000,4.0644,4.1,4,4.03,455338,0
AGH.US,60,20250212,200000,4.03,4.195,4.01,4.15,235400,0
AGH.US,60,20250212,210000,4.125,4.19,4.03,4.06,159035,0
AGH.US,60,20250212,220000,4.07,4.09,3.72,3.88,610941,0
AGH.US,60,20250213,160000,3.5,3.94,3.07,3.5942,122048,0
AGH.US,60,20250213,170000,3.53,4.21,3.5,4.06,891174,0
AGH.US,60,20250213,180000,4.0128,4.1,3.47,3.549,225711,0
AGH.US,60,20250213,190000,3.6,3.6,3.1,3.22,219643,0
AGH.US,60,20250213,200000,3.22,3.5,3.0221,3.0829,83357,0
AGH.US,60,20250213,210000,3.3109,3.3609,3.15,3.35,20565,0
AGH.US,60,20250213,220000,3.281,3.6,3.281,3.47,33267,0
AGH.US,60,20250214,160000,3.35,3.38,3.06,3.27,16824,0
AGH.US,60,20250214,170000,3.2,3.3459,3.02,3.15,73896,0
AGH.US,60,20250214,180000,3.175,3.4961,3.1505,3.4,35202,0
AGH.US,60,20250214,190000,3.38,3.47,3.13,3.23,7819,0
AGH.US,60,20250214,200000,3.25,3.27,3.14,3.14,11665,0
AGH.US,60,20250214,210000,3.2,3.3321,3.1211,3.235,3418,0
AGH.US,60,20250214,220000,3.15,3.17,3.12,3.15,5171,0
AGH.US,60,20250218,160000,3.08,3.25,3.07,3.25,15630,0
AGH.US,60,20250218,170000,3.25,3.6,3.111,3.37,133426,0
AGH.US,60,20250218,180000,3.3401,3.37,2.75,2.8,215746,0
AGH.US,60,20250218,190000,2.805,2.805,2.51,2.59,70348,0
AGH.US,60,20250218,200000,2.55,3.08,2.3,2.65,88030,0
AGH.US,60,20250218,210000,2.775,2.89,2.63,2.7828,67161,0
AGH.US,60,20250218,220000,2.7405,3.01,2.71,2.71,46004,0
AGH.US,60,20250219,160000,2.93,2.9811,2.7512,2.85,13515,0
AGH.US,60,20250219,170000,2.95,3.16,2.86,3.108,24534,0
AGH.US,60,20250219,180000,3,3.19,2.93,2.9657,27869,0
AGH.US,60,20250219,190000,3.1,3.1799,3.018,3.1363,41191,0
AGH.US,60,20250219,200000,3.07,3.25,3.07,3.25,54999,0
AGH.US,60,20250219,210000,3.36,3.85,3.3,3.7821,223392,0
AGH.US,60,20250219,220000,3.78,4.4799,3.74,3.86,511107,0
AGH.US,60,20250220,160000,3.73,4.7,3.71,4.3512,125537,0
AGH.US,60,20250220,170000,4.23,4.96,4,4.48,199513,0
AGH.US,60,20250220,180000,4.5592,5.76,4.5168,5.592,424591,0
AGH.US,60,20250220,190000,5.6,5.7,4.79,5.0677,255880,0
AGH.US,60,20250220,200000,5.09,5.6,5.002,5.52,133124,0
AGH.US,60,20250220,210000,5.51,7.22,5.28,6.1,728283,0
AGH.US,60,20250220,220000,6.15,6.19,5.01,5.47,332583,0
AGH.US,60,20250221,160000,5.18,5.44,4.8001,5.0079,33641,0
AGH.US,60,20250221,170000,5.1,5.11,4.68,5.08,33491,0
AGH.US,60,20250221,180000,5.085,5.2133,4.8532,5.07,21827,0
