<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GEOS.US,60,20240411,160000,12.67,12.975,12.64,12.975,9006,0
GEOS.US,60,20240411,170000,12.96,13.03,12.9301,13.03,600,0
GEOS.US,60,20240411,180000,13.1,13.24,13.1,13.24,1873,0
GEOS.US,60,20240411,190000,13.245,13.4,13.245,13.25,2945,0
GEOS.US,60,20240411,200000,13.2501,13.37,13.2501,13.33,745,0
GEOS.US,60,20240411,210000,13.33,13.39,13.26,13.355,2619,0
GEOS.US,60,20240411,220000,13.37,13.45,13.31,13.45,6966,0
GEOS.US,60,20240412,160000,13.54,13.72,13.54,13.58,1067,0
GEOS.US,60,20240412,170000,13.5001,13.51,13.34,13.36,2100,0
GEOS.US,60,20240412,180000,13.3,13.355,13.16,13.16,899,0
GEOS.US,60,20240412,190000,13.15,13.15,13.0601,13.0601,400,0
GEOS.US,60,20240412,200000,13.06,13.06,13.01,13.02,2810,0
GEOS.US,60,20240412,210000,12.98,13.1299,12.9399,12.9796,4689,0
GEOS.US,60,20240412,220000,12.93,13.16,12.93,13.15,11467,0
GEOS.US,60,20240415,160000,13.06,13.34,12.92,12.9201,8240,0
GEOS.US,60,20240415,170000,12.97,12.97,12.9,12.9505,1430,0
GEOS.US,60,20240415,180000,12.96,12.98,12.87,12.91,2728,0
GEOS.US,60,20240415,190000,12.91,13.04,12.91,13.02,1824,0
GEOS.US,60,20240415,200000,13,13.03,12.87,12.9,2769,0
GEOS.US,60,20240415,210000,12.93,12.96,12.53,12.88,11286,0
GEOS.US,60,20240415,220000,12.9,12.9,12.7,12.8,8983,0
GEOS.US,60,20240416,160000,12.85,12.85,12.269,12.31,6483,0
GEOS.US,60,20240416,170000,12.36,12.44,12.2701,12.36,2900,0
GEOS.US,60,20240416,180000,12.39,12.43,12.17,12.2,2799,0
GEOS.US,60,20240416,190000,12.25,12.2721,12.19,12.25,2317,0
GEOS.US,60,20240416,200000,12.28,12.29,12.2044,12.2044,686,0
GEOS.US,60,20240416,210000,12.22,12.46,12.21,12.445,8433,0
GEOS.US,60,20240416,220000,12.52,12.52,12.385,12.421,3708,0
GEOS.US,60,20240417,160000,12.5,12.64,12.5,12.55,1487,0
GEOS.US,60,20240417,170000,12.672,12.672,12.2257,12.285,2161,0
GEOS.US,60,20240417,180000,12.322,12.34,12.12,12.2,1721,0
GEOS.US,60,20240417,190000,12.12,12.24,12.105,12.24,1901,0
GEOS.US,60,20240417,200000,12.4,12.4,12.35,12.35,500,0
GEOS.US,60,20240417,210000,12.32,12.32,12.23,12.25,1623,0
GEOS.US,60,20240417,220000,12.245,12.25,12.18,12.25,5354,0
GEOS.US,60,20240418,160000,12.35,12.35,12.35,12.35,606,0
GEOS.US,60,20240418,170000,12.38,12.5599,12.33,12.37,2189,0
GEOS.US,60,20240418,180000,12.32,12.32,12.215,12.255,5700,0
GEOS.US,60,20240418,190000,12.28,12.34,12.28,12.2988,1115,0
GEOS.US,60,20240418,200000,12.265,12.27,12.23,12.23,1215,0
GEOS.US,60,20240418,210000,12.17,12.23,12.15,12.23,4091,0
GEOS.US,60,20240418,220000,12.24,12.27,12.23,12.26,3750,0
GEOS.US,60,20240419,160000,12.22,12.43,12.22,12.43,509,0
GEOS.US,60,20240419,170000,12.35,12.38,12.265,12.37,1297,0
GEOS.US,60,20240419,180000,12.31,12.34,12.31,12.34,845,0
GEOS.US,60,20240419,190000,12.37,12.395,12.34,12.395,1887,0
GEOS.US,60,20240419,200000,12.41,12.49,12.375,12.47,3600,0
GEOS.US,60,20240419,210000,12.45,12.48,12.445,12.46,1622,0
GEOS.US,60,20240419,220000,12.48,12.56,12.4746,12.52,3915,0
GEOS.US,60,20240422,160000,12.52,13.068,12.42,12.425,6418,0
GEOS.US,60,20240422,170000,12.43,12.615,12.43,12.59,9919,0
GEOS.US,60,20240422,180000,12.5,12.5,12.33,12.43,1350,0
GEOS.US,60,20240422,190000,12.423,12.48,12.38,12.405,1506,0
GEOS.US,60,20240422,200000,12.39,12.43,12.34,12.34,3020,0
GEOS.US,60,20240422,210000,12.385,12.385,12.18,12.23,2900,0
GEOS.US,60,20240422,220000,12.22,12.45,12.22,12.275,14948,0
GEOS.US,60,20240423,160000,12.1,12.1,11.79,12.1,4078,0
GEOS.US,60,20240423,170000,12.1,12.42,12.1,12.42,2425,0
GEOS.US,60,20240423,180000,12.39,12.65,12.39,12.6,6407,0
GEOS.US,60,20240423,190000,12.59,12.63,12.5,12.58,1300,0
GEOS.US,60,20240423,200000,12.66,12.73,12.58,12.695,1259,0
GEOS.US,60,20240423,210000,12.69,12.7073,12.57,12.57,2957,0
GEOS.US,60,20240423,220000,12.47,12.6,12.47,12.575,2452,0
GEOS.US,60,20240424,160000,12.31,12.52,12.13,12.52,6423,0
GEOS.US,60,20240424,170000,12.51,12.635,12.48,12.48,1500,0
GEOS.US,60,20240424,180000,12.43,12.43,12.3046,12.3046,300,0
GEOS.US,60,20240424,190000,12.43,12.46,12.42,12.45,1200,0
GEOS.US,60,20240424,200000,12.48,12.6,12.48,12.56,2680,0
GEOS.US,60,20240424,210000,12.52,12.55,12.42,12.54,2102,0
GEOS.US,60,20240424,220000,12.5,12.5,12.44,12.48,6224,0
GEOS.US,60,20240425,160000,12.3,12.42,12.3,12.32,300,0
GEOS.US,60,20240425,170000,12.44,12.44,12.26,12.28,1055,0
GEOS.US,60,20240425,180000,12.24,12.3,12.24,12.3,402,0
GEOS.US,60,20240425,190000,12.3,12.45,12.3,12.45,900,0
GEOS.US,60,20240425,200000,12.4,12.415,12.4,12.415,200,0
GEOS.US,60,20240425,210000,12.43,12.49,12.425,12.46,600,0
GEOS.US,60,20240425,220000,12.48,12.65,12.45,12.52,15394,0
GEOS.US,60,20240426,160000,12.55,12.816,12.545,12.58,856,0
