<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AGAE.US,60,20240411,160000,0.96,0.96,0.96,0.96,268,0
AGAE.US,60,20240411,180000,0.95,0.95,0.95,0.95,474,0
AGAE.US,60,20240411,190000,0.94,0.94,0.94,0.94,100,0
AGAE.US,60,20240411,200000,0.94,0.9495,0.92,0.9495,10561,0
AGAE.US,60,20240411,210000,0.92,0.92,0.92,0.92,100,0
AGAE.US,60,20240412,160000,0.9101,0.9101,0.9101,0.9101,140,0
AGAE.US,60,20240412,170000,0.9102,0.9102,0.9102,0.9102,3700,0
AGAE.US,60,20240412,200000,0.9251,0.94,0.9109,0.9251,1361,0
AGAE.US,60,20240412,210000,0.9102,0.9102,0.9102,0.9102,428,0
AGAE.US,60,20240412,220000,0.92,0.92,0.9102,0.9102,262,0
AGAE.US,60,20240415,160000,0.92,0.92,0.901,0.901,12113,0
AGAE.US,60,20240415,170000,0.901,0.901001,0.9,0.9,1644,0
AGAE.US,60,20240415,180000,0.8975,0.8975,0.88,0.8801,3470,0
AGAE.US,60,20240415,190000,0.8899,0.8899,0.8899,0.8899,500,0
AGAE.US,60,20240415,200000,0.89,0.89,0.89,0.89,1755,0
AGAE.US,60,20240415,210000,0.8997,0.8997,0.89,0.89,647,0
AGAE.US,60,20240416,160000,0.89,0.89,0.8801,0.8801,1693,0
AGAE.US,60,20240416,180000,0.94,0.94,0.94,0.94,400,0
AGAE.US,60,20240416,190000,0.8801,0.8801,0.8801,0.8801,100,0
AGAE.US,60,20240416,200000,0.8801,0.889,0.88,0.88,3535,0
AGAE.US,60,20240416,220000,0.94,0.94,0.94,0.94,337,0
AGAE.US,60,20240417,160000,0.89,0.89,0.87,0.88,4105,0
AGAE.US,60,20240417,170000,0.88495,0.8899,0.88495,0.8899,1600,0
AGAE.US,60,20240417,180000,0.8899,0.8899,0.85,0.87,9319,0
AGAE.US,60,20240417,190000,0.8601,0.8601,0.8601,0.8601,285,0
AGAE.US,60,20240417,200000,0.87,0.8705,0.85,0.86,11747,0
AGAE.US,60,20240417,210000,0.8599,0.8599,0.85,0.85,494,0
AGAE.US,60,20240417,220000,0.86,0.86,0.8322,0.84,5130,0
AGAE.US,60,20240418,160000,0.84,0.84,0.8,0.8001,5883,0
AGAE.US,60,20240418,170000,0.8,0.8,0.78,0.792501,3691,0
AGAE.US,60,20240418,180000,0.786,0.8399,0.785,0.8399,21990,0
AGAE.US,60,20240418,190000,0.799433,0.799433,0.799433,0.799433,177,0
AGAE.US,60,20240418,220000,0.7902,0.7902,0.7902,0.7902,100,0
AGAE.US,60,20240419,160000,0.782,0.786,0.782,0.786,3824,0
AGAE.US,60,20240419,170000,0.7856,0.79,0.7856,0.79,800,0
AGAE.US,60,20240419,180000,0.8298,0.8298,0.8001,0.8001,5688,0
AGAE.US,60,20240419,190000,0.86,0.86,0.86,0.86,300,0
AGAE.US,60,20240419,200000,0.825,0.825,0.825,0.825,100,0
AGAE.US,60,20240419,220000,0.8663,0.8663,0.8663,0.8663,100,0
AGAE.US,60,20240422,160000,0.99,0.99,0.8663,0.866301,13214,0
AGAE.US,60,20240422,170000,0.8662,0.8663,0.8631,0.8661,1375,0
AGAE.US,60,20240422,180000,0.86,0.86,0.8281,0.8481,2969,0
AGAE.US,60,20240422,190000,0.8662,0.8662,0.8662,0.8662,400,0
