<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNFR.US,60,20240411,160000,0.9501,0.9525,0.95,0.9525,9900,0
CNFR.US,60,20240412,170000,0.9,0.98,0.9,0.9102,950,0
CNFR.US,60,20240412,180000,0.91,0.9101,0.91,0.9101,792,0
CNFR.US,60,20240412,200000,0.9,0.9,0.9,0.9,157,0
CNFR.US,60,20240415,160000,0.8901,0.8918,0.883,0.8918,2214,0
CNFR.US,60,20240415,170000,0.89189,0.8929,0.88725,0.8929,3620,0
CNFR.US,60,20240415,180000,0.91,0.91,0.91,0.91,100,0
CNFR.US,60,20240415,220000,0.8817,0.9395,0.8817,0.9395,320,0
CNFR.US,60,20240419,180000,1.05,1.05,0.9661,0.9661,303,0
CNFR.US,60,20240423,170000,0.9341,0.9341,0.9341,0.9341,100,0
CNFR.US,60,20240423,210000,0.965899,0.966,0.965899,0.966,5382,0
CNFR.US,60,20240425,180000,0.966,0.966,0.966,0.966,208,0
CNFR.US,60,20240425,210000,0.966,0.966,0.966,0.966,100,0
CNFR.US,60,20240426,160000,0.9022,0.9022,0.9022,0.9022,199,0
CNFR.US,60,20240426,170000,0.95,0.95,0.95,0.95,100,0
CNFR.US,60,20240426,220000,0.966,1.01,0.96,1,4064,0
CNFR.US,60,20240429,160000,0.9,1.02,0.9,0.9682,890,0
CNFR.US,60,20240429,170000,1.02,1.02,1.02,1.02,200,0
CNFR.US,60,20240429,180000,1.02,1.0299,0.9,0.9,15457,0
CNFR.US,60,20240429,190000,0.9,0.9,0.9,0.9,200,0
CNFR.US,60,20240429,210000,0.9,0.9,0.9,0.9,131,0
CNFR.US,60,20240429,220000,0.91,0.91,0.89,0.89,309,0
CNFR.US,60,20240430,160000,0.8899,0.8899,0.8899,0.8899,603,0
CNFR.US,60,20240430,170000,0.8816,0.9799,0.8816,0.9799,650,0
CNFR.US,60,20240430,200000,0.9235,0.9235,0.9,0.9,400,0
CNFR.US,60,20240502,160000,0.9,0.91,0.9,0.91,1300,0
CNFR.US,60,20240502,220000,0.91,0.91,0.91,0.91,100,0
CNFR.US,60,20240506,170000,0.949899,0.95,0.9465,0.9465,9080,0
CNFR.US,60,20240506,220000,0.87,0.87,0.87,0.87,175,0
CNFR.US,60,20240507,160000,0.9788,1,0.919399,0.9629,2567,0
CNFR.US,60,20240507,170000,1.0299,1.0299,1.0299,1.0299,300,0
