<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOTT.US,60,20240424,170000,25.91,25.91,25.91,25.91,100,0
BOTT.US,60,20240424,180000,25.68,25.68,25.67,25.67,294,0
BOTT.US,60,20240425,160000,25.26,25.26,25.26,25.26,105,0
BOTT.US,60,20240425,180000,25.24,25.24,25.24,25.24,100,0
BOTT.US,60,20240430,160000,25.95,26.12,25.95,26.12,250,0
BOTT.US,60,20240430,170000,26.1643,26.1643,26.1643,26.1643,100,0
BOTT.US,60,20240501,160000,25.64,25.64,25.64,25.64,100,0
BOTT.US,60,20240501,170000,25.57,25.57,25.57,25.57,100,0
BOTT.US,60,20240501,190000,25.37,25.37,25.37,25.37,100,0
BOTT.US,60,20240507,160000,25.85,26.86,25.85,26.86,450,0
BOTT.US,60,20240507,200000,27,27,26.9999,26.9999,325,0
BOTT.US,60,20240508,160000,26.76,26.76,26.76,26.76,220,0
BOTT.US,60,20240508,220000,26.96,26.96,26.96,26.96,100,0
BOTT.US,60,20240509,160000,27.04,27.04,26.95,26.9599,1300,0
BOTT.US,60,20240509,170000,26.96,26.96,26.96,26.96,100,0
BOTT.US,60,20240509,190000,26.95,26.95,26.95,26.95,400,0
BOTT.US,60,20240509,210000,26.94,26.96,26.9385,26.96,376,0
BOTT.US,60,20240510,160000,27.09,27.09,27.09,27.09,101,0
BOTT.US,60,20240510,170000,26.93,27,26.93,26.9667,800,0
BOTT.US,60,20240513,160000,27.04,27.04,26.941,26.941,600,0
BOTT.US,60,20240513,220000,26.88,26.88,26.88,26.88,148,0
BOTT.US,60,20240514,170000,26.94,26.94,26.94,26.94,100,0
BOTT.US,60,20240514,190000,26.96,26.96,26.96,26.96,450,0
BOTT.US,60,20240516,160000,27.285,27.59,27.285,27.59,200,0
BOTT.US,60,20240516,220000,27.49,27.49,27.49,27.49,100,0
BOTT.US,60,20240520,160000,27.48,27.48,27.48,27.48,200,0
BOTT.US,60,20240520,210000,27.53,27.53,27.53,27.53,110,0
BOTT.US,60,20240522,160000,27.45,27.45,27.45,27.45,213,0
BOTT.US,60,20240522,210000,27.2097,27.2097,27.2097,27.2097,100,0
BOTT.US,60,20240522,220000,27.32,27.32,27.32,27.32,200,0
BOTT.US,60,20240523,160000,27.7,27.7,27.62,27.62,800,0
BOTT.US,60,20240523,170000,27.43,27.44,27.33,27.38,4705,0
BOTT.US,60,20240524,160000,27.31,27.33,27.31,27.33,500,0
BOTT.US,60,20240524,170000,27.439,27.439,27.4,27.4,200,0
BOTT.US,60,20240528,160000,27.65,27.65,27.525,27.525,299,0
BOTT.US,60,20240528,190000,27.72,27.72,27.72,27.72,180,0
BOTT.US,60,20240529,160000,27.12,27.12,27.12,27.12,181,0
BOTT.US,60,20240529,210000,27.11,27.11,27.11,27.11,100,0
BOTT.US,60,20240530,180000,27.2857,27.2857,27.2857,27.2857,500,0
BOTT.US,60,20240530,210000,27.31,27.31,27.31,27.31,100,0
BOTT.US,60,20240530,220000,27.29,27.29,27.29,27.29,100,0
BOTT.US,60,20240531,180000,27.04,27.04,27,27,451,0
BOTT.US,60,20240603,190000,27,27,27,27,850,0
BOTT.US,60,20240603,200000,26.87,26.98,26.87,26.98,1500,0
BOTT.US,60,20240603,210000,27.06,27.06,27.06,27.06,500,0
BOTT.US,60,20240604,160000,27.1,27.1,27.1,27.1,600,0
BOTT.US,60,20240606,180000,27.37,27.37,27.37,27.37,100,0
BOTT.US,60,20240610,160000,26.85,26.85,26.85,26.85,100,0
BOTT.US,60,20240611,180000,26.84,26.84,26.84,26.84,100,0
BOTT.US,60,20240614,160000,27.68,27.68,27.07,27.07,1000,0
BOTT.US,60,20240614,170000,26.98,26.98,26.98,26.98,100,0
BOTT.US,60,20240614,190000,26.9101,26.9101,26.9101,26.9101,100,0
BOTT.US,60,20240614,220000,27.04,27.08,27,27,3199,0
BOTT.US,60,20240620,160000,27.25,27.41,27.25,27.41,200,0
BOTT.US,60,20240620,170000,27.4,27.4,27.4,27.4,255,0
BOTT.US,60,20240620,210000,27.12,27.12,27.12,27.12,169,0
BOTT.US,60,20240621,160000,26.91,26.91,26.676,26.74,700,0
BOTT.US,60,20240621,170000,26.74,26.74,26.74,26.74,110,0
BOTT.US,60,20240624,160000,26.78,26.78,26.78,26.78,100,0
BOTT.US,60,20240624,210000,26.64,26.72,26.64,26.6871,1510,0
BOTT.US,60,20240625,160000,26.65,26.65,26.65,26.65,100,0
BOTT.US,60,20240625,210000,26.75,26.75,26.712,26.712,450,0
BOTT.US,60,20240626,160000,26.56,26.56,26.56,26.56,800,0
BOTT.US,60,20240626,180000,26.65,26.65,26.65,26.65,113,0
BOTT.US,60,20240627,210000,26.85,26.86,26.85,26.86,211,0
BOTT.US,60,20240701,160000,27.18,27.21,27.18,27.21,200,0
BOTT.US,60,20240701,170000,26.83,26.83,26.83,26.83,100,0
BOTT.US,60,20240708,160000,27.01,27.7,27.01,27.7,1401,0
BOTT.US,60,20240708,190000,27.77,27.77,27.77,27.77,108,0
BOTT.US,60,20240711,160000,27.83,28.16,27.82,28.16,311,0
BOTT.US,60,20240712,170000,28.32,28.32,28.32,28.32,100,0
BOTT.US,60,20240715,160000,28.18,28.18,28.18,28.18,100,0
BOTT.US,60,20240715,180000,28.2801,28.2801,28.28,28.28,282,0
BOTT.US,60,20240715,200000,28.14,28.14,28.14,28.14,1000,0
BOTT.US,60,20240722,160000,28.26,28.26,27.31,27.39,1066,0
BOTT.US,60,20240722,170000,27.2403,27.2403,27.24,27.24,300,0
BOTT.US,60,20240725,160000,27.47,27.47,26.17,26.17,541,0
BOTT.US,60,20240725,220000,25.96,25.96,25.94,25.94,1000,0
BOTT.US,60,20240726,210000,26.42,26.42,26.42,26.42,100,0
BOTT.US,60,20240730,160000,26.45,26.55,26.45,26.55,606,0
BOTT.US,60,20240730,190000,26.16,26.16,26.16,26.16,500,0
BOTT.US,60,20240801,160000,26.91,26.91,26.33,26.42,700,0
BOTT.US,60,20240801,190000,25.855,25.855,25.855,25.855,100,0
BOTT.US,60,20240802,160000,24.64,24.64,24.5,24.54,3010,0
BOTT.US,60,20240802,170000,24.325,24.325,24.28,24.28,817,0
BOTT.US,60,20240805,220000,23.7,23.7,23.7,23.7,150,0
BOTT.US,60,20240806,160000,23.99,23.99,23.99,23.99,110,0
BOTT.US,60,20240806,210000,24.2699,24.2699,24.2699,24.2699,200,0
BOTT.US,60,20240806,220000,24.08,24.08,24.08,24.08,100,0
BOTT.US,60,20240807,160000,24.89,24.89,24.89,24.89,100,0
