<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ATII.US,60,20250403,170000,10,10,9.97,9.97,5750,0
ATII.US,60,20250403,180000,9.98,9.98,9.97,9.97,456100,0
ATII.US,60,20250403,190000,9.98,9.985,9.97,9.98,224400,0
ATII.US,60,20250403,200000,9.9797,9.98,9.9703,9.9703,2055,0
ATII.US,60,20250403,220000,9.98,9.98,9.97,9.97,7472,0
ATII.US,60,20250404,170000,9.97,9.97,9.97,9.97,4800,0
ATII.US,60,20250404,180000,9.97,9.97,9.96,9.96,148416,0
ATII.US,60,20250404,190000,9.96,9.96,9.96,9.96,72447,0
ATII.US,60,20250404,200000,9.97,9.97,9.97,9.97,400,0
ATII.US,60,20250404,210000,9.96,9.96,9.96,9.96,18647,0
ATII.US,60,20250404,220000,9.96,9.97,9.96,9.965,4000,0
ATII.US,60,20250407,180000,9.96,9.96,9.96,9.96,200,0
ATII.US,60,20250407,190000,9.96,9.96,9.96,9.96,5000,0
ATII.US,60,20250407,200000,9.96,9.96,9.96,9.96,170600,0
ATII.US,60,20250407,220000,9.97,9.97,9.97,9.97,707,0
ATII.US,60,20250408,190000,9.97,9.97,9.97,9.97,125000,0
ATII.US,60,20250408,210000,9.97,9.97,9.97,9.97,100,0
ATII.US,60,20250408,220000,9.97,9.97,9.97,9.97,100,0
ATII.US,60,20250409,160000,9.96,9.97,9.96,9.97,900,0
ATII.US,60,20250411,220000,9.97,9.97,9.96,9.97,626313,0
ATII.US,60,20250414,200000,9.97,9.97,9.97,9.97,100,0
ATII.US,60,20250414,210000,9.965,9.97,9.965,9.97,2631,0
ATII.US,60,20250415,160000,9.96,9.96,9.96,9.96,2000,0
ATII.US,60,20250415,220000,9.965,9.965,9.965,9.965,1100,0
ATII.US,60,20250416,170000,9.97,9.97,9.96,9.96,55246,0
ATII.US,60,20250416,180000,9.96,9.96,9.96,9.96,100,0
ATII.US,60,20250416,220000,9.965,9.965,9.965,9.965,100,0
ATII.US,60,20250421,170000,9.96,9.96,9.96,9.96,230,0
ATII.US,60,20250421,180000,9.97,9.97,9.97,9.97,1000,0
ATII.US,60,20250421,220000,9.97,9.97,9.97,9.97,2000,0
ATII.US,60,20250422,160000,9.97,9.97,9.97,9.97,12592,0
ATII.US,60,20250422,170000,9.96,9.98,9.96,9.98,278989,0
ATII.US,60,20250422,180000,9.97,9.9902,9.97,9.97,609853,0
ATII.US,60,20250422,190000,9.97,9.97,9.97,9.97,52068,0
ATII.US,60,20250422,200000,9.97,9.97,9.97,9.97,900,0
ATII.US,60,20250422,210000,9.97,9.97,9.97,9.97,16416,0
ATII.US,60,20250423,220000,9.97,9.98,9.97,9.98,37033,0
ATII.US,60,20250424,180000,9.97,9.97,9.97,9.97,152,0
ATII.US,60,20250424,200000,9.97,9.97,9.97,9.97,10800,0
ATII.US,60,20250424,220000,9.975,9.98,9.97,9.975,84061,0
ATII.US,60,20250425,160000,9.98,9.98,9.98,9.98,195988,0
ATII.US,60,20250425,170000,9.97,9.98,9.97,9.98,105800,0
ATII.US,60,20250425,180000,9.98,9.9801,9.98,9.98,102490,0
ATII.US,60,20250425,190000,9.98,9.99,9.98,9.98,350832,0
ATII.US,60,20250425,200000,9.98,9.98,9.98,9.98,100,0
ATII.US,60,20250425,210000,9.985,9.99,9.985,9.99,56509,0
ATII.US,60,20250425,220000,9.999,10,9.995,10,45513,0
ATII.US,60,20250428,160000,10,10,10,10,273,0
ATII.US,60,20250428,170000,10,10,10,10,68227,0
ATII.US,60,20250429,160000,10,10,10,10,100,0
ATII.US,60,20250429,170000,10.02,10.02,10.02,10.02,150000,0
ATII.US,60,20250429,180000,10.01,10.01,10.01,10.01,239,0
ATII.US,60,20250429,190000,10.02,10.02,10.015,10.015,5900,0
ATII.US,60,20250429,220000,10.03,10.03,10.0299,10.0299,1800,0
ATII.US,60,20250430,200000,10.03,10.04,10.03,10.04,210400,0
ATII.US,60,20250430,220000,10.04,10.05,10.04,10.05,115544,0
ATII.US,60,20250501,180000,10.04,10.04,10.04,10.04,500,0
ATII.US,60,20250501,190000,10.04,10.05,10.04,10.05,325250,0
ATII.US,60,20250501,200000,10.055,10.055,10.055,10.055,100,0
ATII.US,60,20250501,220000,10.06,10.06,10.06,10.06,113,0
ATII.US,60,20250502,160000,10.06,10.06,10.06,10.06,374,0
ATII.US,60,20250502,170000,10.0508,10.0508,10.05,10.05,2100,0
ATII.US,60,20250502,210000,10.06,10.06,10.05,10.05,175826,0
ATII.US,60,20250502,220000,10.06,10.06,10.04,10.05,184687,0
ATII.US,60,20250505,160000,10.05,10.05,10.05,10.05,100,0
ATII.US,60,20250505,170000,10.05,10.05,10.05,10.05,1100,0
ATII.US,60,20250505,180000,10.05,10.05,10.05,10.05,1343,0
ATII.US,60,20250505,190000,10.05,10.05,10.05,10.05,1000,0
ATII.US,60,20250505,200000,10.05,10.05,10.0401,10.0401,17400,0
ATII.US,60,20250505,210000,10.045,10.045,10.04,10.0401,35025,0
ATII.US,60,20250505,220000,10.04,10.05,10.04,10.05,2980,0
ATII.US,60,20250506,160000,10.045,10.05,10.045,10.05,17224,0
ATII.US,60,20250506,170000,10.05,10.05,10.05,10.05,86390,0
ATII.US,60,20250506,220000,10.05,10.05,10.05,10.05,557,0
ATII.US,60,20250507,160000,10.06,10.06,10.06,10.06,3000,0
ATII.US,60,20250507,190000,10.06,10.06,10.06,10.06,3315,0
ATII.US,60,20250507,220000,10.07,10.07,10.07,10.07,473,0
ATII.US,60,20250508,160000,10.07,10.07,10.07,10.07,682,0
ATII.US,60,20250508,180000,10.06,10.06,10.06,10.06,1839,0
ATII.US,60,20250508,190000,10.06,10.06,10.06,10.06,50000,0
ATII.US,60,20250508,200000,10.06,10.06,10.06,10.06,408,0
ATII.US,60,20250508,210000,10.06,10.06,10.06,10.06,150000,0
ATII.US,60,20250508,220000,10.06,10.06,10.06,10.06,679,0
ATII.US,60,20250509,170000,10.07,10.07,10.07,10.07,165,0
ATII.US,60,20250509,220000,10.07,10.07,10.06,10.06,1316,0
ATII.US,60,20250512,170000,10.05,10.05,10.05,10.05,200,0
ATII.US,60,20250512,220000,10.06,10.06,10.06,10.06,5932,0
ATII.US,60,20250513,160000,10.09,10.09,10.06,10.06,78802,0
ATII.US,60,20250513,190000,10.06,10.06,10.06,10.06,17312,0
ATII.US,60,20250513,220000,10.05,10.08,10.05,10.08,632,0
ATII.US,60,20250514,170000,10.05,10.06,10.05,10.05,3408,0
ATII.US,60,20250514,180000,10.06,10.06,10.06,10.06,100,0
ATII.US,60,20250519,220000,10.06,10.08,10.055,10.08,139455,0
ATII.US,60,20250520,190000,10.06,10.06,10.06,10.06,100,0
ATII.US,60,20250520,220000,10.06,10.06,10.06,10.06,988,0
ATII.US,60,20250521,170000,10.06,10.06,10.06,10.06,57000,0
ATII.US,60,20250522,220000,10.07,10.07,10.07,10.07,1192,0
ATII.US,60,20250523,180000,10.08,10.09,10.08,10.085,15394,0
ATII.US,60,20250523,220000,10.08,10.08,10.08,10.08,1220,0
ATII.US,60,20250527,210000,10.07,10.07,10.07,10.07,100,0
ATII.US,60,20250527,220000,10.09,10.09,10.09,10.09,257,0
ATII.US,60,20250528,170000,10.09,10.1,10.09,10.1,53308,0
ATII.US,60,20250528,210000,10.11,10.11,10.11,10.11,100,0
ATII.US,60,20250528,220000,10.1,10.1,10.09,10.09,58259,0
ATII.US,60,20250529,160000,10.11,10.11,10.11,10.11,6100,0
ATII.US,60,20250529,200000,10.11,10.11,10.11,10.11,19145,0
ATII.US,60,20250529,220000,10.11,10.12,10.11,10.12,7446,0
ATII.US,60,20250530,180000,10.11,10.11,10.11,10.11,215,0
ATII.US,60,20250602,220000,10.12,10.12,10.12,10.12,100,0
ATII.US,60,20250603,210000,10.15,10.15,10.15,10.15,9707,0
ATII.US,60,20250604,160000,10.1501,10.1501,10.1501,10.1501,5000,0
ATII.US,60,20250604,170000,10.16,10.16,10.16,10.16,203,0
ATII.US,60,20250605,180000,10.15,10.15,10.15,10.15,100,0
ATII.US,60,20250605,210000,10.16,10.16,10.16,10.16,23000,0
ATII.US,60,20250605,220000,10.16,10.165,10.16,10.1604,3000,0
ATII.US,60,20250606,190000,10.16,10.16,10.16,10.16,125,0
ATII.US,60,20250606,220000,10.17,10.17,10.17,10.17,10800,0
ATII.US,60,20250609,160000,10.179,10.18,10.179,10.1799,6822,0
ATII.US,60,20250609,170000,10.18,10.19,10.18,10.19,43100,0
ATII.US,60,20250609,180000,10.19,10.19,10.19,10.19,1402,0
ATII.US,60,20250609,200000,10.19,10.19,10.19,10.19,6298,0
ATII.US,60,20250609,220000,10.185,10.19,10.18,10.18,229281,0
