<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BITF.US,60,20240411,160000,1.97,1.98,1.92,1.945,1677760,0
BITF.US,60,20240411,170000,1.945,1.945,1.85,1.86,3027549,0
BITF.US,60,20240411,180000,1.856,1.9,1.85,1.895,2203743,0
BITF.US,60,20240411,190000,1.895,1.91,1.88,1.89,1192306,0
BITF.US,60,20240411,200000,1.895,1.9299,1.89,1.915,1821312,0
BITF.US,60,20240411,210000,1.92,1.92,1.9,1.9,1036391,0
BITF.US,60,20240411,220000,1.9,1.92,1.89,1.91,1406049,0
BITF.US,60,20240412,160000,1.87,1.885,1.83,1.85,1302700,0
BITF.US,60,20240412,170000,1.86,1.86,1.82,1.84,2303404,0
BITF.US,60,20240412,180000,1.84,1.8699,1.83,1.83,1193215,0
BITF.US,60,20240412,190000,1.83,1.85,1.8,1.81,1604005,0
BITF.US,60,20240412,200000,1.81,1.83,1.7901,1.82,1898865,0
BITF.US,60,20240412,210000,1.825,1.83,1.79,1.8,1467132,0
BITF.US,60,20240412,220000,1.8016,1.82,1.79,1.81,2168738,0
BITF.US,60,20240415,160000,1.78,1.85,1.77,1.81,2307865,0
BITF.US,60,20240415,170000,1.8125,1.82,1.78,1.785,1656798,0
BITF.US,60,20240415,180000,1.785,1.82,1.78,1.816,1281738,0
BITF.US,60,20240415,190000,1.82,1.83,1.785,1.795,1276580,0
BITF.US,60,20240415,200000,1.8,1.8,1.75,1.75,2363260,0
BITF.US,60,20240415,210000,1.765,1.77,1.74,1.74,1775251,0
BITF.US,60,20240415,220000,1.745,1.75,1.725,1.735,1932065,0
BITF.US,60,20240416,160000,1.69,1.708,1.66,1.695,2125360,0
BITF.US,60,20240416,170000,1.695,1.73,1.68,1.685,2232597,0
BITF.US,60,20240416,180000,1.6802,1.71,1.68,1.7,2217673,0
BITF.US,60,20240416,190000,1.71,1.73,1.69,1.72,2567087,0
BITF.US,60,20240416,200000,1.725,1.75,1.71,1.725,2997233,0
BITF.US,60,20240416,210000,1.725,1.75,1.71,1.72,3599330,0
BITF.US,60,20240416,220000,1.728,1.75,1.7,1.71,3085828,0
BITF.US,60,20240417,160000,1.75,1.8,1.73,1.745,2112837,0
BITF.US,60,20240417,170000,1.745,1.745,1.7,1.72,2804851,0
BITF.US,60,20240417,180000,1.725,1.75,1.71,1.74,3204415,0
BITF.US,60,20240417,190000,1.74,1.745,1.71,1.735,2668858,0
BITF.US,60,20240417,200000,1.735,1.82,1.73,1.81,3233432,0
BITF.US,60,20240417,210000,1.81,1.83,1.79,1.79,2649204,0
BITF.US,60,20240417,220000,1.79,1.7999,1.77,1.785,2851174,0
BITF.US,60,20240418,160000,1.84,1.8697,1.79,1.858,2470320,0
BITF.US,60,20240418,170000,1.8599,1.95,1.83,1.94,6825887,0
BITF.US,60,20240418,180000,1.945,1.965,1.91,1.93,3949633,0
BITF.US,60,20240418,190000,1.935,1.96,1.91,1.91,3453107,0
BITF.US,60,20240418,200000,1.915,1.93,1.87,1.875,3115809,0
BITF.US,60,20240418,210000,1.88,1.89,1.86,1.86,1986895,0
BITF.US,60,20240418,220000,1.87,1.91,1.86,1.9,3228791,0
BITF.US,60,20240419,160000,1.95,1.95,1.86,1.905,2934936,0
BITF.US,60,20240419,170000,1.91,1.93,1.86,1.905,4819094,0
BITF.US,60,20240419,180000,1.905,1.97,1.89,1.96,5652284,0
BITF.US,60,20240419,190000,1.965,1.97,1.9,1.9265,4611972,0
BITF.US,60,20240419,200000,1.925,1.96,1.92,1.9599,2841325,0
BITF.US,60,20240419,210000,1.955,1.96,1.89,1.905,2866249,0
BITF.US,60,20240419,220000,1.9,1.9279,1.89,1.92,3327082,0
BITF.US,60,20240422,160000,1.97,2,1.92,1.975,3045725,0
BITF.US,60,20240422,170000,1.9701,2.01,1.93,1.95,5245164,0
BITF.US,60,20240422,180000,1.955,1.96,1.88,1.935,4729449,0
BITF.US,60,20240422,190000,1.9399,2.015,1.93,2.0097,4584170,0
BITF.US,60,20240422,200000,2.0025,2.065,2,2.0458,4122594,0
BITF.US,60,20240422,210000,2.045,2.075,2.03,2.0416,2493646,0
BITF.US,60,20240422,220000,2.045,2.06,2.03,2.055,2748199,0
BITF.US,60,20240423,160000,2.03,2.135,2.02,2.13,5105126,0
BITF.US,60,20240423,170000,2.13,2.14,2.0815,2.125,3356002,0
BITF.US,60,20240423,180000,2.125,2.135,2.07,2.07,1963483,0
BITF.US,60,20240423,190000,2.07,2.118,2.07,2.095,2260547,0
BITF.US,60,20240423,200000,2.1,2.1295,2.0991,2.115,720390,0
BITF.US,60,20240423,210000,2.115,2.13,2.11,2.125,1415485,0
BITF.US,60,20240423,220000,2.125,2.13,2.1,2.1089,2350152,0
BITF.US,60,20240424,160000,2.11,2.12,2.064,2.075,2400123,0
BITF.US,60,20240424,170000,2.075,2.1175,2,2.025,4816380,0
BITF.US,60,20240424,180000,2.03,2.05,2,2.02,3497766,0
BITF.US,60,20240424,190000,2.0234,2.07,2.02,2.065,1314847,0
BITF.US,60,20240424,200000,2.07,2.11,2.06,2.08,2176369,0
BITF.US,60,20240424,210000,2.085,2.085,2.0412,2.045,1486354,0
BITF.US,60,20240424,220000,2.045,2.06,2.04,2.06,1859336,0
BITF.US,60,20240425,160000,1.95,1.995,1.91,1.98,2092037,0
BITF.US,60,20240425,170000,1.98,2.02,1.965,1.975,2197941,0
BITF.US,60,20240425,180000,1.975,2.005,1.96,2.005,1810577,0
BITF.US,60,20240425,190000,2.005,2.02,1.99,2.02,1284931,0
BITF.US,60,20240425,200000,2.015,2.03,2.01,2.02,1264961,0
BITF.US,60,20240425,210000,2.02,2.04,2,2,778900,0
BITF.US,60,20240425,220000,2.005,2.02,2,2.005,1292718,0
BITF.US,60,20240426,160000,1.97,2.02,1.948,2.015,1646967,0
BITF.US,60,20240426,170000,2.01,2.0369,1.97,1.985,1946313,0
BITF.US,60,20240426,180000,1.985,2,1.96,1.965,1084238,0
