<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VCRM.US,D,20241122,000000,75.32,75.42,75.18,75.2821,38204,0
VCRM.US,D,20241125,000000,75.5,75.68,75.45,75.48,46596,0
VCRM.US,D,20241126,000000,75.49,75.83,75.375,75.49,53218,0
VCRM.US,D,20241127,000000,75.72,75.94,75.695,75.76,42942,0
VCRM.US,D,20241129,000000,76,76.19,75.9,75.9802,21936,0
VCRM.US,D,20241202,000000,75.98,76.27,75.915,76.11,29411,0
VCRM.US,D,20241203,000000,76.18,76.37,76,76.02,24982,0
VCRM.US,D,20241204,000000,75.97,76.19,75.94,76.11,15799,0
VCRM.US,D,20241205,000000,76.02,76.14,76.01,76.01,15648,0
VCRM.US,D,20241206,000000,76.185,76.55,76.105,76.17,34301,0
VCRM.US,D,20241209,000000,76.09,76.2,76.06,76.06,23550,0
VCRM.US,D,20241210,000000,76.02,76.4,75.955,75.96,13171,0
VCRM.US,D,20241211,000000,76.005,76.03,75.77,75.77,11886,0
VCRM.US,D,20241212,000000,75.72,75.72,75.44,75.6,14480,0
VCRM.US,D,20241213,000000,75.45,75.52,75.345,75.475,38562,0
VCRM.US,D,20241216,000000,75.55,75.95,75.465,75.51,27675,0
VCRM.US,D,20241217,000000,75.385,75.81,75.26,75.27,19277,0
VCRM.US,D,20241218,000000,75.25,75.29,74.795,74.8,30957,0
VCRM.US,D,20241219,000000,74.385,74.54,74.1612,74.37,76629,0
VCRM.US,D,20241220,000000,74.615,74.78,74.51,74.66,14515,0
VCRM.US,D,20241223,000000,74.62,74.76,74.62,74.66,22648,0
VCRM.US,D,20241224,000000,74.28,74.51,74.235,74.29,28275,0
VCRM.US,D,20241226,000000,74.285,74.66,74.28,74.445,183283,0
VCRM.US,D,20241227,000000,74.43,74.6199,74.38,74.4233,93452,0
VCRM.US,D,20241230,000000,74.505,74.78,74.4938,74.53,35111,0
VCRM.US,D,20241231,000000,74.63,74.672,74.535,74.5798,22292,0
VCRM.US,D,20250102,000000,74.71,74.88,74.7,74.75,22969,0
VCRM.US,D,20250103,000000,74.7,75.12,74.6301,74.67,54129,0
VCRM.US,D,20250106,000000,74.71,74.77,74.655,74.73,16897,0
VCRM.US,D,20250107,000000,74.72,74.72,74.56,74.61,13388,0
VCRM.US,D,20250108,000000,74.475,74.5,74.28,74.38,19015,0
VCRM.US,D,20250110,000000,74.24,74.24,74.065,74.08,26756,0
VCRM.US,D,20250113,000000,74.04,74.0457,73.88,73.92,29312,0
VCRM.US,D,20250114,000000,73.885,73.9,73.77,73.86,13313,0
VCRM.US,D,20250115,000000,74.21,74.45,74.1945,74.27,33394,0
VCRM.US,D,20250116,000000,74.21,74.71,74.165,74.3098,18331,0
VCRM.US,D,20250117,000000,74.395,74.58,74.395,74.46,12864,0
VCRM.US,D,20250121,000000,74.65,74.71,74.61,74.68,39363,0
VCRM.US,D,20250122,000000,74.705,74.76,74.69,74.72,41366,0
VCRM.US,D,20250123,000000,74.62,74.735,74.51,74.545,38332,0
VCRM.US,D,20250124,000000,74.51,74.67,74.51,74.6626,18836,0
VCRM.US,D,20250127,000000,74.9,75.07,74.89,75.05,4721,0
VCRM.US,D,20250128,000000,74.94,74.97,74.88,74.95,20756,0
VCRM.US,D,20250129,000000,74.9399,74.9399,74.77,74.85,13056,0
VCRM.US,D,20250130,000000,74.965,75.1,74.965,75.015,11957,0
VCRM.US,D,20250131,000000,75.04,75.4,74.86,74.93,33786,0
VCRM.US,D,20250203,000000,74.9,74.97,74.64,74.86,64837,0
VCRM.US,D,20250204,000000,74.79,75.0395,74.7757,74.97,64643,0
VCRM.US,D,20250205,000000,75.17,75.2475,75.11,75.12,23256,0
VCRM.US,D,20250206,000000,75.25,75.29,75.22,75.22,17064,0
VCRM.US,D,20250207,000000,75.165,75.165,75.08,75.1,16907,0
VCRM.US,D,20250210,000000,75.19,75.2281,75.12,75.15,76298,0
VCRM.US,D,20250211,000000,75.05,75.08,75,75.01,37457,0
VCRM.US,D,20250212,000000,74.71,74.72,74.55,74.58,51370,0
VCRM.US,D,20250213,000000,74.785,75.1,74.785,74.89,99563,0
VCRM.US,D,20250214,000000,75.07,75.25,75.04,75.04,51660,0
VCRM.US,D,20250218,000000,74.97,75.06,74.8878,74.9,57722,0
VCRM.US,D,20250219,000000,74.89,75.14,74.84,74.93,65534,0
VCRM.US,D,20250220,000000,75.15,75.17,75.025,75.06,20966,0
VCRM.US,D,20250221,000000,75.085,75.365,75.08,75.24,54591,0
VCRM.US,D,20250224,000000,75.32,75.398,75.26,75.315,22534,0
VCRM.US,D,20250225,000000,75.64,75.7399,75.6,75.6,46188,0
