<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSTU.US,D,20240919,000000,2.884,3.17799,2.831,3.059,12397580,0
MSTU.US,D,20240920,000000,3.01,3.146,2.888,3.00737,3245950,0
MSTU.US,D,20240923,000000,3.121,3.29599,3.034,3.23,7929400,0
MSTU.US,D,20240924,000000,3.2265,3.401,3.10155,3.392,3899350,0
MSTU.US,D,20240925,000000,3.3165,3.567,3.287,3.305,4898460,0
MSTU.US,D,20240926,000000,3.528,3.97,3.495,3.906,13120340,0
MSTU.US,D,20240927,000000,4.121,4.549,4.017,4.392,14151790,0
MSTU.US,D,20240930,000000,3.99608,4.353,3.951,4.01,28188870,0
MSTU.US,D,20241001,000000,4.033,4.041,3.46,3.728,22896570,0
MSTU.US,D,20241002,000000,3.673,4.23,3.572,3.801,22992070,0
MSTU.US,D,20241003,000000,3.746,3.86,3.48602,3.755,17027620,0
MSTU.US,D,20241004,000000,3.916,4.349,3.774,4.349,34093570,0
MSTU.US,D,20241007,000000,4.518,5.096,4.468,4.81,50829440,0
MSTU.US,D,20241008,000000,4.824,5.44099,4.7335,5.122,47408660,0
MSTU.US,D,20241009,000000,5.005,5.44,4.74072,4.953,35307210,0
MSTU.US,D,20241010,000000,5.113,5.113,4.37,4.677,37240010,0
MSTU.US,D,20241011,000000,4.9,6.129,4.865,6.124,51586000,0
MSTU.US,D,20241014,000000,6.828,6.95,5.48,5.497,63604330,0
MSTU.US,D,20241015,000000,5.77,5.995,4.83776,5.058,70989610,0
MSTU.US,D,20241016,000000,5.397,5.415,4.951,5.088,31976730,0
MSTU.US,D,20241017,000000,4.972,5.312,4.633,5.033,30406340,0
MSTU.US,D,20241018,000000,5.254,6.33695,5.23341,6.185,58232510,0
MSTU.US,D,20241021,000000,6.109,6.596,5.766,6.36,60044760,0
MSTU.US,D,20241022,000000,6.236,6.492,5.98,6.347,33324000,0
MSTU.US,D,20241023,000000,6.1,6.55,5.531,6.012,50284690,0
MSTU.US,D,20241024,000000,6.364,7.299,6.287,7.299,72115840,0
MSTU.US,D,20241025,000000,7.3,7.87,6.788,7.169,87340270,0
MSTU.US,D,20241028,000000,7.8,8.708,7.701,8.454,68638310,0
MSTU.US,D,20241029,000000,9.038,9.28,8.168,8.61,98821880,0
MSTU.US,D,20241030,000000,7.828,8.461,7.35,7.9,71727920,0
MSTU.US,D,20241031,000000,8.16,8.23,7.242,7.669,71036480,0
MSTU.US,D,20241101,000000,7.735,8.38109,6.516,6.74,72466980,0
MSTU.US,D,20241104,000000,6.566,6.842,6.216,6.35,38847760,0
MSTU.US,D,20241105,000000,6.906,7.49,6.47722,6.6,51252770,0
MSTU.US,D,20241106,000000,8.513,8.527,7.455,8.29,76590550,0
MSTU.US,D,20241107,000000,8.197,9.8,8,9.156,64687280,0
MSTU.US,D,20241108,000000,9.518,9.74,8.603,9.149,59391700,0
MSTU.US,D,20241111,000000,10.8827,14.572,10.654,13.807,102872110,0
MSTU.US,D,20241112,000000,13.3809,15.39,12.685,15.047,112246010,0
MSTU.US,D,20241113,000000,15.964,17.38,12.151,12.66,109247290,0
MSTU.US,D,20241114,000000,13.722,14.18,11.86,12.59,55086270,0
MSTU.US,D,20241115,000000,13.201,14.217,12.25,13.51,50497200,0
MSTU.US,D,20241118,000000,13.919,17.25,13.406,16.984,84374480,0
MSTU.US,D,20241119,000000,17.53,22.794,16.72,21.05,109342400,0
MSTU.US,D,20241120,000000,24.2722,28.222,23.695,25.673,124528280,0
MSTU.US,D,20241121,000000,31.222,31.5,16.5,18.451,183560300,0
MSTU.US,D,20241122,000000,19.11,23.945,18.2,20.92,104275750,0
MSTU.US,D,20241125,000000,22.5282,22.6,17.164,18.673,98757610,0
MSTU.US,D,20241126,000000,16.7,18.272,12.75,14.132,135113550,0
MSTU.US,D,20241127,000000,16.2207,16.82,15.03,16.1,79281370,0
MSTU.US,D,20241129,000000,17.594,18.498,15.417,15.861,45960460,0
MSTU.US,D,20241202,000000,16.4,16.7,14.475,14.879,62669960,0
MSTU.US,D,20241203,000000,13.874,15.8393,13.501,14.251,50943980,0
MSTU.US,D,20241204,000000,14.7515,16.94,13.58,16.7,57256800,0
MSTU.US,D,20241205,000000,19.3948,19.829,14.7,15.293,88431130,0
MSTU.US,D,20241206,000000,15.9201,16.577,15,15.9,47766830,0
MSTU.US,D,20241209,000000,15.7372,16.123,13.25,13.422,42851660,0
MSTU.US,D,20241210,000000,13.904,14.2973,12.579,14.162,38292690,0
MSTU.US,D,20241211,000000,14.831,16.8,14.78,16.674,45475760,0
MSTU.US,D,20241212,000000,16.9558,17.091,14.745,15.359,40377640,0
MSTU.US,D,20241213,000000,15.788,16.426,14.852,16.367,35925040,0
MSTU.US,D,20241216,000000,17.6691,18.64,16.2001,16.4,43731611,0
MSTU.US,D,20241217,000000,16.7691,16.94,14.58,14.8,39090332,0
MSTU.US,D,20241218,000000,14.5172,14.8,10.87,11.84,53097151,0
MSTU.US,D,20241219,000000,12.7905,12.95,10,10.17,54649194,0
MSTU.US,D,20241220,000000,9.69,12.5,9.57,12.5,64981862,0
MSTU.US,D,20241223,000000,12.09,12.19,10.12,10.36,42317879,0
MSTU.US,D,20241224,000000,11.01,12,10.97,11.86,31654794,0
MSTU.US,D,20241226,000000,11.305,11.35,10.61,10.79,26815746,0
MSTU.US,D,20241227,000000,10.75,10.79,9.52,10,32742481,0
MSTU.US,D,20241230,000000,9.3351,9.34,8.2401,8.36,54861444,0
MSTU.US,D,20241231,000000,9.071,9.1,7.32,7.6,61140106,0
MSTU.US,D,20250102,000000,8.0974,8.63,7.7,8.14,41865818,0
MSTU.US,D,20250103,000000,8.24,10.41,8.19,10.2,48766735,0
MSTU.US,D,20250106,000000,10.8094,12.8,9.9823,12.58,66722000,0
MSTU.US,D,20250107,000000,11.7,12.04,9.68,10.09,62280083,0
MSTU.US,D,20250108,000000,9.69,10.21,8.59,9.55,53556592,0
MSTU.US,D,20250110,000000,9.3646,9.75,8.66,9.26,42570715,0
MSTU.US,D,20250113,000000,8.17,9.26,7.8,9.23,49085086,0
MSTU.US,D,20250114,000000,10.02,10.68,9.37,10,53273184,0
MSTU.US,D,20250115,000000,10.88,11.48,10.6113,11.01,48677887,0
MSTU.US,D,20250116,000000,10.88,11.62,10.13,11.34,43402928,0
MSTU.US,D,20250117,000000,12.45,13.37,12.2403,13.13,62585578,0
MSTU.US,D,20250121,000000,13.1596,13.74,11.29,12.65,66949960,0
MSTU.US,D,20250122,000000,12.42,12.77,11.52,11.94,36754637,0
MSTU.US,D,20250123,000000,11.5504,12.73,11.5,11.66,60099368,0
MSTU.US,D,20250124,000000,11.9208,11.98,10.27,10.45,45725903,0
MSTU.US,D,20250127,000000,9.5821,10.56,8.54,9.99,61074912,0
MSTU.US,D,20250128,000000,9.82,10.08,9.18,9.32,32320801,0
MSTU.US,D,20250129,000000,9.46,9.75,8.96,9.6,34441551,0
MSTU.US,D,20250130,000000,9.8893,10.45,9.4679,9.58,32930983,0
MSTU.US,D,20250131,000000,9.5375,10.23,9.0726,9.19,35686403,0
MSTU.US,D,20250203,000000,7.86,9.99,7.74,9.83,55458462,0
MSTU.US,D,20250204,000000,9.53,10.25,9.515,9.91,27847607,0
MSTU.US,D,20250205,000000,9.99,10.1675,9.095,9.29,28563885,0
MSTU.US,D,20250206,000000,9.3662,9.68,8.3913,8.63,32988333,0
MSTU.US,D,20250207,000000,9.12,9.61,8.71,8.75,39255699,0
MSTU.US,D,20250210,000000,9.0503,9.39,8.77,9.1,22763660,0
MSTU.US,D,20250211,000000,8.97,9.295,8.225,8.27,31472361,0
MSTU.US,D,20250212,000000,8.05,8.85,7.99,8.62,30192324,0
MSTU.US,D,20250213,000000,8.555,8.82,8.13,8.53,30641701,0
