<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGVT.US,D,20250613,000000,100.02,100.04,100.02,100.04,34939,0
SGVT.US,D,20250616,000000,100.05,100.06,100.035,100.04,9684,0
SGVT.US,D,20250617,000000,100.06,100.07,100.06,100.0665,9934,0
SGVT.US,D,20250618,000000,100.0748,100.08,100.0745,100.08,11831,0
SGVT.US,D,20250620,000000,100.1052,100.12,100.1,100.12,37923,0
SGVT.US,D,20250623,000000,100.1401,100.15,100.1255,100.1334,31206,0
SGVT.US,D,20250624,000000,100.14,100.16,100.1306,100.1563,34668,0
SGVT.US,D,20250625,000000,100.1634,100.17,100.15,100.165,29593,0
SGVT.US,D,20250626,000000,100.18,100.2,100.17,100.1791,15935,0
SGVT.US,D,20250627,000000,100.209,100.21,100.1901,100.205,39835,0
SGVT.US,D,20250630,000000,100.23,100.23,100.21,100.215,42402,0
SGVT.US,D,20250701,000000,100.12,100.22,100.0801,100.095,55421,0
SGVT.US,D,20250702,000000,100.1,100.12,100.09,100.115,22338,0
SGVT.US,D,20250703,000000,100.1166,100.14,100.1166,100.14,21989,0
SGVT.US,D,20250707,000000,100.17,100.17,100.15,100.15,49479,0
SGVT.US,D,20250708,000000,100.17,100.19,100.16,100.1861,73728,0
SGVT.US,D,20250709,000000,100.16,100.19,100.16,100.18,12045,0
SGVT.US,D,20250710,000000,100.2,100.2199,100.17,100.21,32785,0
SGVT.US,D,20250711,000000,100.195,100.22,100.181,100.22,19415,0
SGVT.US,D,20250714,000000,100.215,100.25,100.21,100.24,56215,0
SGVT.US,D,20250715,000000,100.25,100.25,100.2401,100.245,22324,0
SGVT.US,D,20250716,000000,100.26,100.269,100.23,100.269,33766,0
SGVT.US,D,20250717,000000,100.26,100.28,100.24,100.27,18632,0
SGVT.US,D,20250718,000000,100.29,100.3,100.27,100.295,35572,0
SGVT.US,D,20250721,000000,100.31,100.33,100.2899,100.33,40609,0
