<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SOUL.US,D,20250613,000000,9.98,9.99,9.97,9.98,32018,0
SOUL.US,D,20250616,000000,10.18,10.18,9.975,9.98,32605,0
SOUL.US,D,20250618,000000,9.995,9.995,9.99,9.99,574602,0
SOUL.US,D,20250620,000000,9.99,10,9.99,9.99,110112,0
SOUL.US,D,20250623,000000,10,10.02,9.995,10,228835,0
SOUL.US,D,20250624,000000,10.05,10.05,10.04,10.04,24611,0
SOUL.US,D,20250626,000000,10.05,10.07,10.02,10.02,85573,0
SOUL.US,D,20250627,000000,10.06,10.06,10.04,10.04,4396,0
SOUL.US,D,20250630,000000,10.045,10.045,10.04,10.04,69386,0
SOUL.US,D,20250701,000000,10.03,10.03,10.03,10.03,1005,0
SOUL.US,D,20250702,000000,10.05,10.07,10.05,10.05,1334,0
SOUL.US,D,20250703,000000,10.07,10.07,10.07,10.07,3200,0
SOUL.US,D,20250707,000000,10.06,10.06,10.06,10.06,45053,0
SOUL.US,D,20250708,000000,10.06,10.06,10.05,10.05,26357,0
SOUL.US,D,20250709,000000,10.06,10.06,10.05,10.05,29002,0
SOUL.US,D,20250710,000000,10.055,10.055,10.05,10.055,264686,0
SOUL.US,D,20250711,000000,10.04,10.05,10.04,10.05,7222,0
SOUL.US,D,20250715,000000,10.05,10.05,10.05,10.05,3424,0
SOUL.US,D,20250717,000000,10.08,10.08,10.08,10.08,2001,0
SOUL.US,D,20250718,000000,10.06,10.06,10.04,10.06,2500,0
SOUL.US,D,20250721,000000,10.09,10.09,10.06,10.06,152420,0
