<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMH.US,D,20250613,000000,48.9359,48.97,48.9359,48.9359,111,0
TMH.US,D,20250616,000000,48.72,49.0602,48.72,49.0602,121,0
TMH.US,D,20250617,000000,46.79,46.79,46.7869,46.7869,227,0
TMH.US,D,20250618,000000,47.56,47.56,47.2494,47.2494,111,0
TMH.US,D,20250620,000000,46.68,46.68,46.595,46.6217,1764,0
TMH.US,D,20250625,000000,45.84,45.84,45.6286,45.6286,331,0
TMH.US,D,20250626,000000,45.5,45.7375,45.5,45.7375,543,0
TMH.US,D,20250627,000000,47.03,47.3,47.03,47.2484,1265,0
TMH.US,D,20250701,000000,46.04,46.04,45.744,45.744,138,0
TMH.US,D,20250702,000000,45.79,45.8126,45.79,45.8126,124,0
TMH.US,D,20250703,000000,46.9,46.9,46.869,46.869,307,0
TMH.US,D,20250707,000000,46.1,46.1,45.5394,45.5394,378,0
TMH.US,D,20250708,000000,46,46.2924,46,46.2924,116,0
TMH.US,D,20250709,000000,46.27,46.3084,46.27,46.3084,364,0
TMH.US,D,20250710,000000,46.14,46.2662,46.14,46.2662,237,0
TMH.US,D,20250711,000000,46.65,46.65,46.6035,46.6035,224,0
TMH.US,D,20250714,000000,46.86,47.1931,46.86,47.1931,118,0
TMH.US,D,20250715,000000,47.15,47.15,47.0444,47.0444,110,0
TMH.US,D,20250716,000000,46.63,46.63,46,46.6202,1190,0
TMH.US,D,20250717,000000,46.89,47.0193,46.89,47.0193,326,0
TMH.US,D,20250718,000000,46.8,46.8,46.6335,46.6335,122,0
TMH.US,D,20250721,000000,46.68,46.68,46.625,46.625,422,0
