<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCCR.US,D,20250207,000000,25.185,25.23,25.0999,25.0999,48231,0
SCCR.US,D,20250210,000000,25.13,25.26,25.12,25.1302,37778,0
SCCR.US,D,20250211,000000,25.0389,25.2,25.0389,25.09,1612650,0
SCCR.US,D,20250212,000000,25,25,24.89,24.9325,29420,0
SCCR.US,D,20250213,000000,25.0538,25.23,25.04,25.115,46397,0
SCCR.US,D,20250214,000000,25.1786,25.27,25.1603,25.19,41199,0
SCCR.US,D,20250218,000000,25.2,26.03,25.095,25.095,62650,0
SCCR.US,D,20250219,000000,25.1,25.15,25.0634,25.116,45700,0
SCCR.US,D,20250220,000000,25.14,25.21,25.1398,25.165,17622,0
SCCR.US,D,20250221,000000,25.22,25.34,25.2199,25.2684,33125,0
SCCR.US,D,20250224,000000,25.24,25.3337,25.24,25.33,20208,0
SCCR.US,D,20250225,000000,25.4,25.54,25.395,25.46,1843022,0
SCCR.US,D,20250226,000000,25.46,25.58,25.35,25.51,46430,0
SCCR.US,D,20250227,000000,25.45,25.53,25.45,25.5,25905,0
SCCR.US,D,20250228,000000,25.52,25.59,25.4996,25.5775,39065,0
SCCR.US,D,20250303,000000,25.5111,25.71,25.5,25.67,67611,0
SCCR.US,D,20250304,000000,25.6604,25.6879,25.57,25.5724,29070,0
SCCR.US,D,20250305,000000,25.555,25.69,25.4901,25.4935,46028,0
SCCR.US,D,20250306,000000,25.51,25.53,25.4199,25.482,20018,0
SCCR.US,D,20250307,000000,25.56,25.565,25.4217,25.44,33449,0
SCCR.US,D,20250310,000000,25.5588,25.63,25.545,25.58,1494316,0
SCCR.US,D,20250311,000000,25.51,25.67,25.45,25.46,115280,0
SCCR.US,D,20250312,000000,25.49,25.57,25.412,25.4187,56366,0
SCCR.US,D,20250313,000000,25.3302,25.5,25.3301,25.4753,64141,0
SCCR.US,D,20250314,000000,25.4246,25.51,25.4,25.435,44519,0
SCCR.US,D,20250317,000000,25.485,25.57,25.44,25.5,27702,0
SCCR.US,D,20250318,000000,25.44,25.5,25.42,25.4824,829607,0
SCCR.US,D,20250319,000000,25.45,25.5465,25.4301,25.535,31809,0
SCCR.US,D,20250320,000000,25.67,25.67,25.555,25.585,47708,0
SCCR.US,D,20250321,000000,25.63,25.68,25.5798,25.62,42622,0
SCCR.US,D,20250324,000000,25.59,25.59,25.47,25.495,20601,0
SCCR.US,D,20250325,000000,25.4498,25.4998,25.44,25.4891,16318,0
SCCR.US,D,20250326,000000,25.43,25.48,25.41,25.4448,32724,0
SCCR.US,D,20250327,000000,25.41,25.44,25.4001,25.4102,54630,0
SCCR.US,D,20250328,000000,25.479,25.6,25.479,25.57,39973,0
SCCR.US,D,20250331,000000,25.61,25.66,25.55,25.5934,24708,0
SCCR.US,D,20250401,000000,25.5499,25.61,25.4708,25.57,18791,0
SCCR.US,D,20250402,000000,25.575,25.61,25.5063,25.5447,17168,0
SCCR.US,D,20250403,000000,25.71,26.03,25.6801,25.695,68430,0
SCCR.US,D,20250404,000000,25.7993,25.88,25.69,25.6971,82656,0
SCCR.US,D,20250407,000000,25.636,25.78,25.25,25.43,82479,0
SCCR.US,D,20250408,000000,25.286,25.41,25.16,25.16,89466,0
SCCR.US,D,20250409,000000,24.9528,25.2237,24.88,25.2237,280536,0
SCCR.US,D,20250410,000000,25.17,25.19,25.06,25.06,44423,0
SCCR.US,D,20250411,000000,24.85,25.0106,24.82,25.0106,48306,0
SCCR.US,D,20250414,000000,25.14,25.17,25.05,25.0701,131836,0
SCCR.US,D,20250415,000000,25.08,25.2,25.08,25.12,123363,0
SCCR.US,D,20250416,000000,25.125,25.2,25.11,25.18,32540,0
SCCR.US,D,20250417,000000,25.22,25.23,25.15,25.15,33538,0
SCCR.US,D,20250421,000000,25.17,25.17,25.04,25.04,16627,0
SCCR.US,D,20250422,000000,25.128,25.13,25.02,25.08,108901,0
SCCR.US,D,20250423,000000,25.31,25.35,25.08,25.09,48645,0
SCCR.US,D,20250424,000000,25.22,25.3,25.22,25.29,107158,0
SCCR.US,D,20250425,000000,25.34,25.39,25.34,25.3899,39600,0
SCCR.US,D,20250428,000000,25.3698,25.4297,25.35,25.425,48827,0
SCCR.US,D,20250429,000000,25.45,25.545,25.43,25.52,39548,0
SCCR.US,D,20250430,000000,25.47,25.52,25.451,25.495,40183,0
SCCR.US,D,20250501,000000,25.41,25.45,25.292,25.32,40406,0
SCCR.US,D,20250502,000000,25.27,25.31,25.2001,25.25,62193,0
SCCR.US,D,20250505,000000,25.1999,25.1999,25.08,25.175,43965,0
SCCR.US,D,20250506,000000,25.1699,25.27,25.15,25.27,53723,0
SCCR.US,D,20250507,000000,25.31,25.38,25.305,25.37,47392,0
SCCR.US,D,20250508,000000,25.35,25.37,25.21,25.21,41711,0
SCCR.US,D,20250509,000000,25.239,25.3,25.239,25.25,56043,0
SCCR.US,D,20250512,000000,25.145,25.18,25.11,25.148,36218,0
SCCR.US,D,20250513,000000,25.1101,25.1332,25.07,25.1,256619,0
SCCR.US,D,20250514,000000,25.11,25.12,25.03,25.0301,93200,0
SCCR.US,D,20250515,000000,25.11,25.16,25.06,25.16,20014,0
SCCR.US,D,20250516,000000,25.268,25.27,25.15,25.18,80305,0
SCCR.US,D,20250519,000000,25.031,25.16,24.99,25.15,44778,0
SCCR.US,D,20250520,000000,25.11,25.1899,25.1,25.135,66222,0
SCCR.US,D,20250521,000000,25.0599,25.0825,24.97,24.99,89544,0
SCCR.US,D,20250522,000000,24.92,25.065,24.92,25.06,77809,0
SCCR.US,D,20250523,000000,25.0787,25.1,25.04,25.07,54705,0
SCCR.US,D,20250527,000000,25.125,25.26,25.125,25.22,76950,0
SCCR.US,D,20250528,000000,25.145,25.1828,25.12,25.1521,64142,0
SCCR.US,D,20250529,000000,25.191,25.31,25.191,25.31,49374,0
SCCR.US,D,20250530,000000,25.235,25.28,25.235,25.28,31016,0
SCCR.US,D,20250602,000000,25.13,25.14,25.087,25.13,44613,0
SCCR.US,D,20250603,000000,25.1601,25.2,25.1,25.12,51555,0
SCCR.US,D,20250604,000000,25.21,25.3,25.2,25.285,3456615,0
SCCR.US,D,20250605,000000,25.29,25.31,25.24,25.26,37597,0
SCCR.US,D,20250606,000000,25.145,25.17,25.1135,25.13,44636,0
SCCR.US,D,20250609,000000,25.1,25.15,25.09,25.12,13225,0
SCCR.US,D,20250610,000000,25.21,25.21,25.1599,25.2,47491,0
SCCR.US,D,20250611,000000,25.22,25.29,25.21,25.29,55519,0
SCCR.US,D,20250612,000000,25.3405,25.37,25.33,25.36,47606,0
SCCR.US,D,20250613,000000,25.35,25.35,25.23,25.27,73558,0
SCCR.US,D,20250616,000000,25.235,25.29,25.2201,25.235,27802,0
SCCR.US,D,20250617,000000,25.26,25.32,25.232,25.315,45912,0
SCCR.US,D,20250618,000000,25.35,25.37,25.29,25.3119,35541,0
SCCR.US,D,20250620,000000,25.29,25.36,25.27,25.3501,59868,0
SCCR.US,D,20250623,000000,25.38,25.4365,25.38,25.395,34007,0
SCCR.US,D,20250624,000000,25.37,25.58,25.36,25.49,68615,0
SCCR.US,D,20250625,000000,25.49,25.52,25.435,25.51,34324,0
