<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RCD.US,D,20241223,000000,24.85,24.89,24.73,24.86,113400,0
RCD.US,D,20241224,000000,24.86,24.94,24.85,24.94,61728,0
RCD.US,D,20241226,000000,24.92,25,24.9145,25,113487,0
RCD.US,D,20241227,000000,25,25,24.91,25,39422,0
RCD.US,D,20241230,000000,24.998,25.25,24.92,25.25,190079,0
RCD.US,D,20241231,000000,25.08,25.24,24.95,25.2,787880,0
RCD.US,D,20250102,000000,25.09,25.16,25.04,25.14,110021,0
RCD.US,D,20250103,000000,25.12,25.2,25.1,25.14,94086,0
RCD.US,D,20250106,000000,25.13,25.14,25.03,25.0502,32470,0
RCD.US,D,20250107,000000,25.09,25.09,24.87,24.92,66238,0
RCD.US,D,20250108,000000,24.92,24.9999,24.9022,24.93,26369,0
RCD.US,D,20250110,000000,24.92,24.98,24.85,24.86,125501,0
RCD.US,D,20250113,000000,24.89,24.9,24.86,24.88,22857,0
RCD.US,D,20250114,000000,25,25,24.9,24.9735,10776,0
RCD.US,D,20250115,000000,24.9801,25.17,24.9801,25.07,20542,0
RCD.US,D,20250116,000000,25.06,25.2,25.05,25.09,55144,0
RCD.US,D,20250117,000000,25.09,25.14,25.01,25.08,41330,0
RCD.US,D,20250121,000000,25.09,25.15,25,25.06,89557,0
RCD.US,D,20250122,000000,25.08,25.1599,25.05,25.1599,45927,0
RCD.US,D,20250123,000000,25.1,25.12,25.035,25.1,36804,0
RCD.US,D,20250124,000000,25.08,25.16,25.08,25.1,42150,0
RCD.US,D,20250127,000000,25.1,25.14,25.08,25.11,8968,0
RCD.US,D,20250128,000000,25.11,25.15,25.09,25.09,27752,0
RCD.US,D,20250129,000000,25.1,25.15,25.09,25.135,17442,0
RCD.US,D,20250130,000000,25.13,25.14,25.13,25.14,2394,0
RCD.US,D,20250131,000000,25.14,25.18,25.13,25.13,12258,0
RCD.US,D,20250203,000000,25.13,25.17,25.085,25.12,3437,0
RCD.US,D,20250204,000000,25.1,25.2,25.1,25.18,7336,0
RCD.US,D,20250205,000000,25.24,25.34,25.18,25.28,10307,0
RCD.US,D,20250206,000000,25.46,25.46,25.29,25.29,6736,0
RCD.US,D,20250207,000000,25.55,25.55,25.25,25.31,3913,0
RCD.US,D,20250210,000000,25.4,25.4,25.2,25.25,18357,0
RCD.US,D,20250211,000000,25.3,25.44,25.29,25.44,6558,0
RCD.US,D,20250212,000000,25.44,25.5011,25.21,25.28,4560,0
RCD.US,D,20250213,000000,25.35,25.52,25.31,25.31,5068,0
RCD.US,D,20250214,000000,25.31,25.3499,25.15,25.29,206817,0
RCD.US,D,20250218,000000,25.29,25.34,25.2,25.29,17110,0
RCD.US,D,20250219,000000,25.29,25.37,25.18,25.18,19224,0
RCD.US,D,20250220,000000,25.27,25.27,25.12,25.15,37006,0
RCD.US,D,20250221,000000,25.14,25.2,25.11,25.2,13726,0
RCD.US,D,20250224,000000,25.245,25.38,25.1999,25.31,14566,0
RCD.US,D,20250225,000000,25.22,25.3,25.06,25.25,34978,0
RCD.US,D,20250226,000000,25.25,25.29,25.21,25.25,17280,0
RCD.US,D,20250227,000000,25.2462,25.32,25.23,25.25,19770,0
RCD.US,D,20250228,000000,24.82,24.828,24.5,24.79,51789,0
RCD.US,D,20250303,000000,24.45,24.59,24.0356,24.25,69749,0
