<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRP.US,D,20250210,000000,25.705,25.95,22.89,23.01,15683028,0
MRP.US,D,20250211,000000,22.08,23.23,21.74,22.5,13758085,0
MRP.US,D,20250212,000000,22.225,22.69,21.745,21.79,7847431,0
MRP.US,D,20250213,000000,21.64,22.94,21.57,22.72,5841722,0
MRP.US,D,20250214,000000,22.985,23.64,22.55,22.92,5650206,0
MRP.US,D,20250218,000000,22.63,23.29,22.2,23.25,5514540,0
MRP.US,D,20250219,000000,23.99,23.99,23.0637,23.5,3066655,0
MRP.US,D,20250220,000000,23.49,23.74,23.1,23.5,1523457,0
MRP.US,D,20250221,000000,23.74,24.14,23.36,23.8,2252078,0
MRP.US,D,20250224,000000,23.775,23.9,23.08,23.19,2641801,0
MRP.US,D,20250225,000000,22.88,23.15,22.29,22.6,3025807,0
MRP.US,D,20250226,000000,22.64,22.66,22.21,22.25,2103226,0
MRP.US,D,20250227,000000,22.95,23,21.92,22.59,1312117,0
MRP.US,D,20250228,000000,22.42,22.88,22.2,22.86,1701118,0
MRP.US,D,20250303,000000,22.53,23.14,22.145,22.24,3309774,0
MRP.US,D,20250304,000000,22.12,22.62,21.8,22.19,1579746,0
MRP.US,D,20250305,000000,22,22.65,22,22.39,1310934,0
MRP.US,D,20250306,000000,22.31,22.685,21.4948,21.79,1529616,0
MRP.US,D,20250307,000000,21.8,22.36,21.4,21.97,1395586,0
MRP.US,D,20250310,000000,21.5446,22.28,21.5,21.62,1641410,0
MRP.US,D,20250311,000000,21.65,21.86,21.13,21.22,1517255,0
MRP.US,D,20250312,000000,21.22,21.95,21.21,21.8,1879786,0
MRP.US,D,20250313,000000,21.735,21.84,21.02,21.37,2583262,0
MRP.US,D,20250314,000000,21.51,22.16,21.28,21.74,1326347,0
MRP.US,D,20250317,000000,21.69,22.25,21.4201,22,1322173,0
MRP.US,D,20250318,000000,22.9,24.89,22.9,24.24,5626640,0
MRP.US,D,20250319,000000,24.3,26.17,24.12,25.39,2738334,0
MRP.US,D,20250320,000000,25.22,25.81,24.56,24.67,2951285,0
MRP.US,D,20250321,000000,24.925,25.41,24.375,25.35,10986770,0
MRP.US,D,20250324,000000,25.47,26.2758,25.23,26.19,2128829,0
MRP.US,D,20250325,000000,26.085,26.64,25.92,26.12,2133806,0
MRP.US,D,20250326,000000,26.28,26.99,25.83,25.85,1611266,0
MRP.US,D,20250327,000000,25.56,26.645,25.41,26.42,1564503,0
MRP.US,D,20250328,000000,26.7,26.7,26.06,26.52,1442624,0
MRP.US,D,20250331,000000,26.2,26.65,25.9203,26.51,1169203,0
MRP.US,D,20250401,000000,26.345,26.48,25.85,26,1038642,0
MRP.US,D,20250402,000000,25.8,26.71,25.6,26.5,1267797,0
MRP.US,D,20250403,000000,25.865,26.205,25.43,25.67,1816651,0
MRP.US,D,20250404,000000,24.88,24.9099,23.8,23.94,2372590,0
MRP.US,D,20250407,000000,23.38,24.54,22.8,23.55,1904605,0
MRP.US,D,20250408,000000,24.07,24.07,22.17,22.51,1904881,0
MRP.US,D,20250409,000000,21.91,24,21.635,23.64,2569771,0
MRP.US,D,20250410,000000,23.53,23.53,22.58,22.77,1160761,0
MRP.US,D,20250411,000000,22.67,23.4,22.205,23.31,1138950,0
MRP.US,D,20250414,000000,23.57,24.22,23.42,23.6,1099445,0
MRP.US,D,20250415,000000,23.325,23.96,23.325,23.75,952330,0
MRP.US,D,20250416,000000,23.8825,24.0747,23.34,23.4,671344,0
MRP.US,D,20250417,000000,23.57,24.13,23.4,23.92,884715,0
MRP.US,D,20250421,000000,23.84,23.99,23.01,23.52,1238919,0
MRP.US,D,20250422,000000,23.875,24.43,23.6907,24.4,1082477,0
MRP.US,D,20250423,000000,24.775,25.1834,24.395,24.53,1202438,0
MRP.US,D,20250424,000000,24.6924,25.14,24.49,25.04,733782,0
MRP.US,D,20250425,000000,25.2,25.2,24.63,24.84,612752,0
MRP.US,D,20250428,000000,25.02,25.23,24.78,25.02,610304,0
MRP.US,D,20250429,000000,25.01,25.16,24.65,25,716175,0
MRP.US,D,20250430,000000,24.67,25.14,24.6,25.04,949738,0
MRP.US,D,20250501,000000,25.005,25.59,25.005,25.39,834190,0
MRP.US,D,20250502,000000,25.75,25.935,25.52,25.84,702292,0
MRP.US,D,20250505,000000,25.75,26.2,25.55,25.84,785366,0
MRP.US,D,20250506,000000,25.66,25.89,25.62,25.78,537627,0
MRP.US,D,20250507,000000,25.67,25.86,25.37,25.42,1662351,0
MRP.US,D,20250508,000000,25.68,26.12,25.39,26.02,827174,0
MRP.US,D,20250509,000000,26.18,26.4,25.22,25.32,2065743,0
MRP.US,D,20250512,000000,25.62,26.44,25.62,26.29,890728,0
MRP.US,D,20250513,000000,26.55,26.73,26.03,26.64,1480544,0
MRP.US,D,20250514,000000,27.08,28.9,27,27.81,2088774,0
MRP.US,D,20250515,000000,28.05,28.8,27.84,28.63,1067257,0
MRP.US,D,20250516,000000,28.645,28.74,28.1801,28.61,1073654,0
MRP.US,D,20250519,000000,28.18,28.73,28.0407,28.7,812450,0
MRP.US,D,20250520,000000,28.62,28.79,28.38,28.61,774315,0
MRP.US,D,20250521,000000,28.45,28.99,28.105,28.11,1003628,0
MRP.US,D,20250522,000000,28.34,28.34,27.66,28.03,1486160,0
MRP.US,D,20250523,000000,27.76,28.205,27.76,28.03,725145,0
MRP.US,D,20250527,000000,28.4,28.4,27.72,27.87,716354,0
MRP.US,D,20250528,000000,27.71,27.92,27.46,27.57,680160,0
MRP.US,D,20250529,000000,27.66,27.95,27.425,27.88,602696,0
MRP.US,D,20250530,000000,27.8,27.92,27.475,27.87,1556575,0
MRP.US,D,20250602,000000,27.86,28.01,27.45,27.68,710239,0
MRP.US,D,20250603,000000,27.74,27.93,27.51,27.83,789998,0
MRP.US,D,20250604,000000,27.93,27.97,27.62,27.78,784614,0
MRP.US,D,20250605,000000,27.76,27.98,27.44,27.48,610154,0
MRP.US,D,20250606,000000,27.635,27.905,27.54,27.64,511189,0
MRP.US,D,20250609,000000,27.695,27.92,27.515,27.76,481882,0
MRP.US,D,20250610,000000,27.765,28.01,27.62,27.93,606685,0
MRP.US,D,20250611,000000,27.94,28.2937,27.57,27.63,640538,0
MRP.US,D,20250612,000000,27.5,27.92,27.1934,27.34,520660,0
MRP.US,D,20250613,000000,27.245,27.38,26.9121,27.2,618688,0
MRP.US,D,20250616,000000,27.2531,27.69,27.11,27.33,998686,0
MRP.US,D,20250617,000000,27.46,28.035,27.37,27.8,1165862,0
MRP.US,D,20250618,000000,27.8316,28.45,27.62,28.21,807660,0
MRP.US,D,20250620,000000,28.3,28.57,28.01,28.43,3383652,0
MRP.US,D,20250623,000000,28.365,28.62,27.91,28.22,822628,0
MRP.US,D,20250624,000000,28.235,28.79,28.1,28.67,743603,0
MRP.US,D,20250625,000000,28.64,28.645,27.84,27.92,526987,0
MRP.US,D,20250626,000000,27.855,28.305,27.53,28.27,719323,0
MRP.US,D,20250627,000000,28.4299,28.75,28.195,28.72,2242620,0
MRP.US,D,20250630,000000,28.73,28.908,28.36,28.51,1664302,0
MRP.US,D,20250701,000000,28.49,28.84,28.4,28.59,1250007,0
MRP.US,D,20250702,000000,28.485,28.92,28.2,28.88,1208191,0
MRP.US,D,20250703,000000,27.98,28.37,27.93,28.03,714096,0
MRP.US,D,20250707,000000,28,28.35,27.78,28.04,929822,0
MRP.US,D,20250708,000000,28.035,28.33,27.47,27.51,1203438,0
MRP.US,D,20250709,000000,27.61,29.37,27.6094,28.96,2676927,0
MRP.US,D,20250710,000000,29.22,29.94,29.157,29.5,1436098,0
MRP.US,D,20250711,000000,29.45,30,29.3128,29.87,1091431,0
MRP.US,D,20250714,000000,30,30.67,30,30.25,1300348,0
MRP.US,D,20250715,000000,30.2622,30.75,30.0923,30.2,1488597,0
MRP.US,D,20250716,000000,30.38,30.985,30.28,30.76,1391570,0
MRP.US,D,20250717,000000,30.7,31.07,30.62,30.73,999556,0
MRP.US,D,20250718,000000,30.79,31.02,30.38,30.68,1025149,0
MRP.US,D,20250721,000000,31,31.31,30.76,30.93,1035629,0
