<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVOH.US,D,20250108,000000,50.5564,50.7364,50.5564,50.7364,267,0
NVOH.US,D,20250110,000000,51.58,51.58,51.5763,51.5763,183,0
NVOH.US,D,20250113,000000,50.26,50.5167,50.26,50.5167,256,0
NVOH.US,D,20250114,000000,48.24,48.4681,48.24,48.4681,213,0
NVOH.US,D,20250115,000000,49.46,49.46,49.4057,49.4057,219,0
NVOH.US,D,20250116,000000,48.9,49.4295,48.9,49.4295,116,0
NVOH.US,D,20250117,000000,47.72,47.72,47.0934,47.0934,126,0
NVOH.US,D,20250121,000000,47.56,47.6362,47.52,47.6362,848,0
NVOH.US,D,20250122,000000,47.97,47.97,47.57,47.5925,816,0
NVOH.US,D,20250123,000000,47.84,47.8867,47.76,47.8867,212,0
NVOH.US,D,20250124,000000,51.09,51.3534,50.97,51.3534,385,0
NVOH.US,D,20250127,000000,50.24,51.0387,50.24,51.0387,321,0
NVOH.US,D,20250128,000000,50.62,50.62,49.9081,49.9081,444,0
NVOH.US,D,20250129,000000,50.18,50.18,49.5443,49.5443,339,0
NVOH.US,D,20250130,000000,49.61,50.2776,49.61,50.2776,195,0
NVOH.US,D,20250131,000000,50.19,50.19,49.8206,49.8206,924,0
NVOH.US,D,20250203,000000,49.45,49.45,49.1783,49.1783,242,0
NVOH.US,D,20250205,000000,50.6,50.76,50.47,50.5196,519,0
NVOH.US,D,20250207,000000,51.66,51.66,51.21,51.2615,339,0
NVOH.US,D,20250210,000000,50.63,50.63,49.8062,49.8062,211,0
NVOH.US,D,20250211,000000,49.4,49.5243,49.3098,49.5243,349,0
NVOH.US,D,20250212,000000,48.01,48.37,48.01,48.3229,346,0
NVOH.US,D,20250213,000000,47.07,47.22,46.4123,46.4123,604,0
NVOH.US,D,20250214,000000,46.23,46.37,45.7602,45.7602,374,0
NVOH.US,D,20250219,000000,48.89,49.16,48.89,48.973,1589,0
NVOH.US,D,20250220,000000,48.7,48.8939,48.65,48.8939,1676,0
NVOH.US,D,20250221,000000,50.68,51.61,50.67,51.5099,1429,0
NVOH.US,D,20250224,000000,52.24,52.71,52.24,52.71,469,0
NVOH.US,D,20250225,000000,54.13,54.13,52.57,52.8125,846,0
NVOH.US,D,20250226,000000,52.62,52.73,52.2943,52.2943,240,0
NVOH.US,D,20250227,000000,52.5,52.86,52.39,52.4191,423,0
NVOH.US,D,20250228,000000,52.76,53.3695,52.76,53.3695,1564,0
NVOH.US,D,20250303,000000,52.4,52.455,52.1939,52.1939,1472,0
NVOH.US,D,20250304,000000,51.48,51.53,50.31,50.459,1281,0
NVOH.US,D,20250305,000000,51.7,52,51.4804,51.4804,3802,0
