<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NCLO.US,D,20241217,000000,25.0639,25.0854,25.06,25.07,400979,0
NCLO.US,D,20241218,000000,24.98,24.985,24.98,24.985,101003,0
NCLO.US,D,20241219,000000,24.97,24.985,24.97,24.985,100238,0
NCLO.US,D,20241220,000000,25,25.01,25,25.005,805,0
NCLO.US,D,20241223,000000,25,25.02,25,25.005,3334,0
NCLO.US,D,20241224,000000,25.01,25.02,25.01,25.02,104,0
NCLO.US,D,20241226,000000,25.02,25.0311,25.02,25.03,385,0
NCLO.US,D,20241227,000000,25.03,25.11,25.03,25.045,1549,0
NCLO.US,D,20241230,000000,25.03,25.0587,25.03,25.045,400416,0
NCLO.US,D,20241231,000000,25.0506,25.0506,25.05,25.05,200,0
NCLO.US,D,20250102,000000,25.061,25.07,25.06,25.06,1103,0
NCLO.US,D,20250103,000000,25.06,25.07,25.06,25.06,3756,0
NCLO.US,D,20250106,000000,25.0796,25.0796,25.05,25.065,2701,0
NCLO.US,D,20250107,000000,25.0394,25.05,25.0394,25.05,1534,0
NCLO.US,D,20250108,000000,25.05,25.06,25.05,25.0583,7521,0
NCLO.US,D,20250110,000000,25.05,25.0602,25.045,25.045,1231,0
NCLO.US,D,20250113,000000,25.06,25.075,25.055,25.075,9443,0
NCLO.US,D,20250114,000000,25.089,25.15,25.0637,25.075,2577,0
NCLO.US,D,20250115,000000,25.08,25.08,25.075,25.075,849,0
NCLO.US,D,20250116,000000,25.07,25.11,25.07,25.085,7698,0
NCLO.US,D,20250117,000000,25.1,25.12,25.09,25.11,8091,0
NCLO.US,D,20250121,000000,25.135,25.2,25.13,25.16,12486,0
NCLO.US,D,20250123,000000,25.14,25.17,25.14,25.15,17556,0
NCLO.US,D,20250124,000000,25.16,25.165,25.16,25.165,336,0
NCLO.US,D,20250127,000000,25.18,25.1965,25.178,25.19,5809,0
NCLO.US,D,20250128,000000,25.185,25.2,25.185,25.195,1807,0
NCLO.US,D,20250129,000000,25.21,25.21,25.18,25.18,75879,0
NCLO.US,D,20250130,000000,25.22,25.2399,25.2102,25.225,2020,0
NCLO.US,D,20250131,000000,25.22,25.23,25.2057,25.225,1679,0
NCLO.US,D,20250203,000000,25.0932,25.12,25.02,25.0998,16330,0
