<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTHI.US,60,20250326,160000,25,25,13.89,19.5,19306,0
NTHI.US,60,20250326,170000,21,21.5,15,16.8192,24337,0
NTHI.US,60,20250326,180000,15.74,17.83,15.1975,15.95,2473,0
NTHI.US,60,20250326,190000,16.5806,17,15,15,10722,0
NTHI.US,60,20250326,200000,15.11,16.12,14,15,4504,0
NTHI.US,60,20250326,210000,14.6,14.6,12.11,12.11,2201,0
NTHI.US,60,20250327,150000,14,14,13.248,13.248,200,0
NTHI.US,60,20250327,160000,12,12.74,12,12.12,300,0
NTHI.US,60,20250327,170000,12.5046,12.5046,10.88,10.88,325,0
NTHI.US,60,20250327,180000,11.25,11.2501,11.25,11.2501,600,0
NTHI.US,60,20250327,190000,11.26,11.9999,11,11.5,2232,0
NTHI.US,60,20250327,200000,11.5,11.5,11.5,11.5,100,0
NTHI.US,60,20250327,210000,12,12,11.7001,12,500,0
NTHI.US,60,20250328,150000,12.05,12.05,12.0499,12.0499,581,0
NTHI.US,60,20250328,160000,12.0499,12.7365,12,12.7365,1169,0
NTHI.US,60,20250328,170000,13.2141,21,12.92,19.3999,30371,0
NTHI.US,60,20250328,180000,18.71,18.71,16.12,16.145,18942,0
NTHI.US,60,20250328,190000,16.4402,16.75,16.01,16.75,3915,0
NTHI.US,60,20250328,200000,16.925,17.7,16.856,16.88,9125,0
NTHI.US,60,20250328,210000,17.68,17.7,16.1758,16.55,8321,0
NTHI.US,60,20250331,160000,16,16,11.1241,12,2790,0
NTHI.US,60,20250331,170000,11.93,13.48,11.93,12.5,2413,0
NTHI.US,60,20250331,180000,12.775,13.55,12.775,13.55,706,0
NTHI.US,60,20250331,190000,13.8312,13.923,13.5,13.5,3461,0
NTHI.US,60,20250331,200000,13.51,13.51,13.51,13.51,100,0
NTHI.US,60,20250331,210000,12.9,13.88,12.9,13.03,485,0
NTHI.US,60,20250331,220000,12.53,13.9,12.31,13.36,992,0
NTHI.US,60,20250401,160000,12.8,12.8,12.68,12.68,976,0
NTHI.US,60,20250401,170000,12.495,12.495,11.7231,11.85,1878,0
NTHI.US,60,20250401,180000,12.168,12.168,12.168,12.168,100,0
NTHI.US,60,20250401,190000,12.5,12.9,12,12.19,1200,0
NTHI.US,60,20250401,200000,11.71,11.71,11.7,11.7,367,0
NTHI.US,60,20250401,210000,11.52,11.52,10.1,10.41,17645,0
