<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PMTR.US,60,20250626,170000,10.2,10.2,10.2,10.2,2000,0
PMTR.US,60,20250626,190000,10.15,10.15,10.15,10.15,500,0
PMTR.US,60,20250626,210000,10.13,10.14,10.13,10.14,900,0
PMTR.US,60,20250626,220000,10.16,10.16,10.1,10.12,900,0
PMTR.US,60,20250627,160000,10.0976,10.1,10.0976,10.1,30642,0
PMTR.US,60,20250627,170000,10.1,10.1,10.1,10.1,24000,0
PMTR.US,60,20250627,180000,10.1,10.1,10.1,10.1,13400,0
PMTR.US,60,20250627,190000,10.1,10.1,10.09,10.1,541424,0
PMTR.US,60,20250627,200000,10.12,10.12,10.12,10.12,2600,0
PMTR.US,60,20250627,210000,10.11,10.11,10.11,10.11,150698,0
PMTR.US,60,20250627,220000,10.12,10.12,10.12,10.12,100,0
PMTR.US,60,20250630,160000,10.25,10.25,10.25,10.25,735,0
PMTR.US,60,20250630,170000,10.205,10.24,10.205,10.2339,2600,0
PMTR.US,60,20250630,180000,10.2,10.2001,10.2,10.2001,600,0
PMTR.US,60,20250630,190000,10.18,10.18,10.17,10.17,500,0
PMTR.US,60,20250701,200000,10.14,10.14,10.13,10.13,1902,0
PMTR.US,60,20250701,210000,10.13,10.15,10.13,10.15,1118,0
PMTR.US,60,20250702,190000,10.1179,10.1428,10.08,10.1,323550,0
PMTR.US,60,20250702,200000,10.0901,10.095,10.09,10.09,9900,0
PMTR.US,60,20250702,210000,10.099,10.099,10.09,10.09,565,0
PMTR.US,60,20250702,220000,10.09,10.11,10.08,10.1,75518,0
PMTR.US,60,20250703,170000,10.1,10.1,10.1,10.1,11622,0
PMTR.US,60,20250703,190000,10.1,10.1,10.1,10.1,50000,0
PMTR.US,60,20250703,200000,10.1,10.1,10.1,10.1,292,0
PMTR.US,60,20250708,220000,10.16,10.25,10.13,10.13,14609,0
PMTR.US,60,20250709,180000,10.1275,10.1275,10.1275,10.1275,480,0
PMTR.US,60,20250709,210000,10.125,10.1296,10.125,10.1296,1000,0
PMTR.US,60,20250709,220000,10.125,10.13,10.125,10.13,1785,0
PMTR.US,60,20250710,160000,10.1399,10.1399,10.13,10.13,26700,0
PMTR.US,60,20250710,170000,10.125,10.125,10.12,10.12,1607,0
PMTR.US,60,20250710,180000,10.125,10.125,10.125,10.125,5580,0
PMTR.US,60,20250710,220000,10.13,10.13,10.125,10.13,13462,0
PMTR.US,60,20250711,190000,10.13,10.13,10.125,10.125,600,0
PMTR.US,60,20250714,160000,10.13,10.13,10.13,10.13,20991,0
PMTR.US,60,20250714,170000,10.13,10.13,10.13,10.13,25100,0
PMTR.US,60,20250714,180000,10.14,10.14,10.13,10.13,21700,0
PMTR.US,60,20250714,200000,10.135,10.135,10.135,10.135,100,0
PMTR.US,60,20250714,220000,10.13,10.13,10.125,10.13,15554,0
PMTR.US,60,20250715,160000,10.25,10.25,10.25,10.25,162,0
PMTR.US,60,20250715,170000,10.1004,10.1004,10.1004,10.1004,349,0
PMTR.US,60,20250715,190000,10.14,10.14,10.14,10.14,500,0
PMTR.US,60,20250715,200000,10.13,10.13,10.13,10.13,140,0
PMTR.US,60,20250715,210000,10.1316,10.14,10.13,10.13,22450,0
PMTR.US,60,20250716,220000,10.22,10.22,10.22,10.22,900,0
PMTR.US,60,20250717,160000,10.1148,10.22,10.1148,10.22,397,0
PMTR.US,60,20250717,210000,10.22,10.22,10.22,10.22,140,0
PMTR.US,60,20250721,160000,10.2,10.22,10.2,10.22,11893,0
PMTR.US,60,20250721,170000,10.193,10.193,10.193,10.193,3000,0
PMTR.US,60,20250721,200000,10.17,10.17,10.17,10.17,2585,0
PMTR.US,60,20250721,220000,10.22,10.25,10.22,10.25,4546,0
