<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LSTA.US,60,20240411,160000,2.955,2.955,2.955,2.955,100,0
LSTA.US,60,20240411,170000,3.04,3.04,2.8829,2.9435,3500,0
LSTA.US,60,20240411,180000,2.89,3.11,2.89,3.11,6546,0
LSTA.US,60,20240411,190000,2.95,2.97,2.95,2.97,6166,0
LSTA.US,60,20240411,220000,2.99,3.1,2.98,3.09,718,0
LSTA.US,60,20240412,160000,3.1,3.1,2.94,3.01,3757,0
LSTA.US,60,20240412,170000,2.99,3,2.99,3,400,0
LSTA.US,60,20240412,190000,2.96,3,2.91,2.92,11422,0
LSTA.US,60,20240412,200000,2.9106,2.9145,2.9106,2.9145,1260,0
LSTA.US,60,20240412,210000,2.96,2.96,2.96,2.96,100,0
LSTA.US,60,20240412,220000,2.91,2.94,2.87,2.8999,5172,0
LSTA.US,60,20240415,160000,2.88,2.985,2.88,2.985,460,0
LSTA.US,60,20240415,190000,2.88,2.915,2.87,2.87,1438,0
LSTA.US,60,20240415,200000,2.88,2.88,2.88,2.88,500,0
LSTA.US,60,20240415,220000,2.83,2.83,2.83,2.83,100,0
LSTA.US,60,20240416,160000,2.831,2.84,2.831,2.84,1081,0
LSTA.US,60,20240416,170000,2.83,2.83,2.83,2.83,200,0
LSTA.US,60,20240416,180000,2.88,2.88,2.68,2.79,1260,0
LSTA.US,60,20240416,200000,2.84,2.8556,2.84,2.8556,200,0
LSTA.US,60,20240416,220000,2.765,2.84,2.7102,2.84,1105,0
LSTA.US,60,20240417,160000,2.94,2.94,2.94,2.94,100,0
LSTA.US,60,20240417,170000,2.9116,2.919,2.785,2.89,4165,0
LSTA.US,60,20240417,180000,2.84,2.84,2.84,2.84,100,0
LSTA.US,60,20240417,200000,2.7753,2.7753,2.7753,2.7753,100,0
LSTA.US,60,20240417,220000,2.71,2.8,2.7,2.78,1500,0
LSTA.US,60,20240418,180000,2.727,2.86,2.727,2.85,381,0
LSTA.US,60,20240419,160000,2.75,2.85,2.75,2.85,520,0
LSTA.US,60,20240419,170000,2.67,2.67,2.67,2.67,129,0
LSTA.US,60,20240419,180000,2.84,2.84,2.69,2.69,206,0
LSTA.US,60,20240419,190000,2.87,2.87,2.87,2.87,100,0
LSTA.US,60,20240419,200000,2.8205,2.8205,2.8205,2.8205,150,0
LSTA.US,60,20240422,180000,2.65,2.715,2.65,2.715,450,0
LSTA.US,60,20240422,190000,2.65,2.665,2.65,2.665,500,0
LSTA.US,60,20240422,220000,2.67,2.67,2.67,2.67,100,0
LSTA.US,60,20240423,160000,2.565,2.69,2.5515,2.69,1300,0
LSTA.US,60,20240423,180000,2.79,2.81,2.72,2.726,1400,0
LSTA.US,60,20240423,190000,2.73,2.73,2.73,2.73,500,0
LSTA.US,60,20240423,200000,2.8,2.8,2.67,2.67,200,0
LSTA.US,60,20240423,210000,2.6613,2.6613,2.6613,2.6613,1612,0
LSTA.US,60,20240423,220000,2.68,2.72,2.65,2.65,2098,0
LSTA.US,60,20240424,160000,2.76,2.76,2.76,2.76,516,0
LSTA.US,60,20240424,170000,2.7948,2.7948,2.56,2.79,2800,0
LSTA.US,60,20240424,180000,2.76,2.78,2.76,2.78,1647,0
LSTA.US,60,20240424,220000,2.77,2.89,2.73,2.83,3046,0
LSTA.US,60,20240425,160000,2.75,2.75,2.75,2.75,278,0
LSTA.US,60,20240425,170000,2.72,2.7703,2.7,2.7,2000,0
LSTA.US,60,20240425,180000,2.69,2.82,2.68,2.82,628,0
LSTA.US,60,20240425,190000,2.6983,2.6983,2.6983,2.6983,281,0
LSTA.US,60,20240425,200000,2.9,2.9,2.9,2.9,400,0
LSTA.US,60,20240425,210000,2.63,2.9,2.63,2.9,200,0
LSTA.US,60,20240425,220000,2.7475,2.78,2.66,2.66,1200,0
LSTA.US,60,20240426,160000,2.76,2.77,2.76,2.77,500,0
LSTA.US,60,20240426,170000,2.6061,2.6061,2.6061,2.6061,499,0
LSTA.US,60,20240426,180000,2.76,2.7836,2.76,2.7836,300,0
LSTA.US,60,20240426,200000,2.6301,2.6301,2.6301,2.6301,228,0
LSTA.US,60,20240426,210000,2.67,2.67,2.6478,2.6478,351,0
LSTA.US,60,20240429,160000,2.68,2.68,2.68,2.68,100,0
LSTA.US,60,20240429,170000,2.89,2.8999,2.89,2.8999,200,0
LSTA.US,60,20240429,180000,2.6648,2.87,2.5201,2.87,2433,0
LSTA.US,60,20240429,190000,2.72,2.72,2.72,2.72,1000,0
LSTA.US,60,20240429,200000,2.824,2.8499,2.6627,2.75,688,0
LSTA.US,60,20240429,210000,2.75,2.75,2.75,2.75,100,0
LSTA.US,60,20240430,160000,2.73,2.825,2.69,2.825,507,0
LSTA.US,60,20240430,170000,2.77,2.77,2.6401,2.6401,825,0
LSTA.US,60,20240430,180000,2.65,2.77,2.65,2.77,300,0
LSTA.US,60,20240430,190000,2.65,2.72,2.612,2.72,1786,0
LSTA.US,60,20240430,200000,2.77,2.82,2.76,2.77,1200,0
LSTA.US,60,20240430,220000,2.6874,2.9,2.6874,2.73,3163,0
LSTA.US,60,20240501,180000,2.78,2.78,2.74,2.74,522,0
LSTA.US,60,20240501,210000,2.71,2.71,2.71,2.71,300,0
LSTA.US,60,20240501,220000,2.77,2.86,2.71,2.8532,12398,0
LSTA.US,60,20240502,160000,2.8,2.8,2.8,2.8,3000,0
LSTA.US,60,20240502,170000,3,3,2.51,2.51,3345,0
LSTA.US,60,20240502,180000,2.9999,2.9999,2.9999,2.9999,100,0
LSTA.US,60,20240502,200000,2.8179,2.88,2.7501,2.88,1508,0
LSTA.US,60,20240502,220000,2.94,2.94,2.6462,2.93,1200,0
LSTA.US,60,20240503,160000,2.8,2.8,2.72,2.7201,4700,0
LSTA.US,60,20240503,170000,2.64,2.9399,2.64,2.9399,200,0
LSTA.US,60,20240503,180000,2.76,2.76,2.76,2.76,100,0
LSTA.US,60,20240503,190000,2.7345,2.7345,2.7345,2.7345,400,0
LSTA.US,60,20240503,210000,2.71,2.86,2.71,2.86,1295,0
LSTA.US,60,20240503,220000,2.8505,2.858,2.6701,2.85,1499,0
LSTA.US,60,20240506,160000,2.73,2.84,2.73,2.84,215,0
LSTA.US,60,20240506,170000,2.774,2.774,2.72,2.74,1200,0
LSTA.US,60,20240506,180000,2.75,2.87,2.75,2.87,496,0
LSTA.US,60,20240506,200000,2.7692,2.7692,2.7675,2.7675,457,0
LSTA.US,60,20240506,210000,2.77,2.77,2.77,2.77,198,0
LSTA.US,60,20240506,220000,2.77,2.77,2.77,2.77,421,0
LSTA.US,60,20240507,160000,2.8,2.8,2.8,2.8,100,0
LSTA.US,60,20240507,220000,2.81,2.81,2.8,2.8025,2056,0
LSTA.US,60,20240509,170000,2.825,2.825,2.825,2.825,200,0
LSTA.US,60,20240509,200000,2.9,2.9,2.9,2.9,100,0
LSTA.US,60,20240509,210000,2.85,2.85,2.7,2.7,1920,0
LSTA.US,60,20240509,220000,2.913,2.913,2.913,2.913,100,0
LSTA.US,60,20240510,160000,2.9,2.95,2.9,2.95,478,0
