<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JEM.US,60,20250609,190000,3.98,4.89,3.05,3.6593,777100,0
JEM.US,60,20250609,200000,3.65,3.65,3.41,3.5,51377,0
JEM.US,60,20250609,210000,3.4533,3.53,3.39,3.435,29467,0
JEM.US,60,20250609,220000,3.4,3.92,3.4,3.85,67384,0
JEM.US,60,20250610,160000,3.9,4,3.7001,3.8,64574,0
JEM.US,60,20250610,170000,3.88,4.05,3.8,4,68671,0
JEM.US,60,20250610,180000,4,4.01,3.95,3.95,10915,0
JEM.US,60,20250610,190000,3.98,3.99,3.8916,3.8916,5318,0
JEM.US,60,20250610,200000,3.9393,3.9393,3.88,3.88,2216,0
JEM.US,60,20250610,210000,3.88,3.98,3.85,3.86,7469,0
JEM.US,60,20250610,220000,3.97,4.01,3.86,4.01,14389,0
JEM.US,60,20250611,160000,4.1,4.2,4.1,4.16,196651,0
JEM.US,60,20250611,170000,4.16,5.1,4.16,4.51,760404,0
JEM.US,60,20250611,180000,4.59,5.06,4.5101,4.995,41460,0
JEM.US,60,20250611,190000,4.99,7.48,4.78,4.78,1541154,0
JEM.US,60,20250611,200000,4.51,6.1,4.22,5.3501,772640,0
JEM.US,60,20250611,210000,5.4,5.76,5.25,5.53,272050,0
JEM.US,60,20250611,220000,5.5,7.1,5.3597,6.94,292402,0
JEM.US,60,20250612,160000,6.18,6.7,5.5116,6.29,73745,0
JEM.US,60,20250612,170000,6.21,6.5906,5.73,6.011,48699,0
JEM.US,60,20250612,180000,6,6.33,5.64,5.8798,39652,0
JEM.US,60,20250612,190000,5.88,6.29,5.7301,5.8,59577,0
JEM.US,60,20250612,200000,5.9,6.09,5.7,6,44654,0
JEM.US,60,20250612,210000,6,6.1,5.99,6,13561,0
JEM.US,60,20250612,220000,5.9901,6.07,5.99,6.02,38526,0
JEM.US,60,20250613,160000,5.44,6,5.44,5.68,11368,0
JEM.US,60,20250613,170000,5.7,5.999,5.62,5.7001,355827,0
JEM.US,60,20250613,180000,5.715,5.9,5.63,5.68,170899,0
JEM.US,60,20250613,190000,5.685,5.69,5.63,5.63,13484,0
JEM.US,60,20250613,200000,5.635,5.7,5.63,5.7,7078,0
JEM.US,60,20250613,210000,5.65,5.695,5.63,5.64,8949,0
JEM.US,60,20250613,220000,5.63,5.65,5.63,5.63,8437,0
JEM.US,60,20250616,160000,5.77,5.77,5.4,5.4,3638,0
JEM.US,60,20250616,170000,5.49,5.9,5.36,5.84,84851,0
JEM.US,60,20250616,180000,5.85,5.97,5.6,5.68,262014,0
JEM.US,60,20250616,190000,5.75,5.795,5.6,5.795,11932,0
JEM.US,60,20250616,200000,5.62,5.63,5.61,5.63,1600,0
JEM.US,60,20250616,210000,5.7,5.78,5.6,5.68,51568,0
JEM.US,60,20250616,220000,5.72,5.8,5.68,5.8,1315,0
JEM.US,60,20250617,160000,5.83,5.85,5.8,5.8,1232,0
JEM.US,60,20250617,170000,5.66,5.8,5.61,5.73,146481,0
JEM.US,60,20250617,180000,5.67,5.72,5.6257,5.6257,9580,0
JEM.US,60,20250617,190000,5.68,5.73,5.6401,5.7166,9811,0
JEM.US,60,20250617,200000,5.71,5.7101,5.71,5.71,4874,0
JEM.US,60,20250617,210000,5.725,5.84,5.725,5.8,4771,0
JEM.US,60,20250617,220000,5.76,5.95,5.76,5.945,5583,0
JEM.US,60,20250618,160000,5.97,5.97,5.7665,5.7665,2251,0
JEM.US,60,20250618,170000,5.8364,5.9135,5.8,5.9135,3286,0
JEM.US,60,20250618,180000,5.92,5.92,5.7502,5.77,7254,0
JEM.US,60,20250618,190000,5.77,5.92,5.77,5.84,10009,0
JEM.US,60,20250618,200000,5.83,5.84,5.83,5.84,200,0
JEM.US,60,20250618,210000,5.875,6.0495,5.875,6.04,13530,0
JEM.US,60,20250618,220000,6.03,6.14,6.02,6.14,23670,0
JEM.US,60,20250620,160000,6.01,6.08,6.01,6.08,486,0
JEM.US,60,20250620,170000,6.135,6.17,6.1044,6.17,1413,0
JEM.US,60,20250620,180000,6.13,6.3,6.1,6.18,10231,0
JEM.US,60,20250620,190000,6.22,6.35,6.17,6.24,22592,0
JEM.US,60,20250620,200000,6.24,6.35,6.22,6.22,19667,0
JEM.US,60,20250620,210000,6.21,6.47,6.1,6.3,83291,0
JEM.US,60,20250620,220000,6.3843,6.48,6.26,6.27,45299,0
JEM.US,60,20250623,160000,6.11,6.2,6.04,6.04,3415,0
JEM.US,60,20250623,170000,6.14,6.32,6.05,6.2011,85365,0
JEM.US,60,20250623,180000,6.31,6.35,6.3,6.3,32010,0
