<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEWTH.US,60,20240918,160000,25.2,25.21,25.16,25.175,20096,0
NEWTH.US,60,20240918,170000,25.175,25.19,25.15,25.15,17573,0
NEWTH.US,60,20240918,180000,25.18,25.25,25.15,25.2,29667,0
NEWTH.US,60,20240918,190000,25.175,25.175,25.175,25.175,500,0
NEWTH.US,60,20240918,200000,25.175,25.175,25.14,25.14,4676,0
NEWTH.US,60,20240918,210000,25.16,25.25,25.16,25.24,28523,0
NEWTH.US,60,20240918,220000,25.22,25.25,25.17,25.17,21996,0
NEWTH.US,60,20240919,160000,25.25,25.28,25.25,25.25,400,0
NEWTH.US,60,20240919,170000,25.25,25.5,25.2373,25.24,16226,0
NEWTH.US,60,20240919,180000,25.24,25.32,25.23,25.26,2000,0
NEWTH.US,60,20240919,190000,25.26,25.26,25.21,25.2499,5380,0
NEWTH.US,60,20240919,200000,25.23,25.2499,25.21,25.23,9611,0
NEWTH.US,60,20240919,210000,25.22,25.235,25.22,25.22,3816,0
NEWTH.US,60,20240919,220000,25.22,25.24,25.18,25.18,11268,0
NEWTH.US,60,20240920,160000,25.22,25.27,25.2,25.2,4201,0
NEWTH.US,60,20240920,170000,25.2,25.2399,25.15,25.18,7254,0
NEWTH.US,60,20240920,180000,25.18,25.1999,25.16,25.1999,2251,0
NEWTH.US,60,20240920,190000,25.18,25.2,25.16,25.18,1822,0
NEWTH.US,60,20240920,200000,25.18,25.18,25.15,25.18,5944,0
NEWTH.US,60,20240920,210000,25.18,25.18,25.16,25.18,6770,0
NEWTH.US,60,20240920,220000,25.1799,25.18,25.14,25.16,14934,0
NEWTH.US,60,20240923,160000,25.2,25.2,25.17,25.17,596,0
NEWTH.US,60,20240923,170000,25.16,25.1899,25.16,25.16,2578,0
NEWTH.US,60,20240923,180000,25.16,25.18,25.16,25.16,5000,0
NEWTH.US,60,20240923,190000,25.16,25.18,25.15,25.17,7642,0
NEWTH.US,60,20240923,200000,25.17,25.17,25.15,25.155,3800,0
NEWTH.US,60,20240923,210000,25.155,25.17,25.14,25.15,3964,0
NEWTH.US,60,20240923,220000,25.15,25.17,25.14,25.17,3793,0
NEWTH.US,60,20240924,160000,25.15,25.15,25.15,25.15,1750,0
NEWTH.US,60,20240924,170000,25.15,25.2,25.14,25.2,5350,0
NEWTH.US,60,20240924,180000,25.14,25.184,25.14,25.15,4585,0
NEWTH.US,60,20240924,190000,25.15,25.15,25.11,25.11,2565,0
NEWTH.US,60,20240924,200000,25.11,25.11,25.07,25.1,14604,0
NEWTH.US,60,20240924,210000,25.0979,25.12,25.08,25.08,6012,0
NEWTH.US,60,20240924,220000,25.11,25.12,25.08,25.1,22531,0
NEWTH.US,60,20240925,160000,25.275,25.38,25.09,25.09,10885,0
NEWTH.US,60,20240925,170000,25.1,25.14,25.1,25.12,3062,0
NEWTH.US,60,20240925,180000,25.11,25.11,25.095,25.1,4711,0
