<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HVIIR.US,60,20250207,200000,0.2,0.202,0.2,0.2,50000,0
HVIIR.US,60,20250207,210000,0.2,0.2,0.2,0.2,50000,0
HVIIR.US,60,20250210,170000,0.204,0.204,0.2,0.2039,14300,0
HVIIR.US,60,20250210,190000,0.2,0.2,0.2,0.2,10000,0
HVIIR.US,60,20250210,200000,0.2,0.2,0.2,0.2,634375,0
HVIIR.US,60,20250210,220000,0.2,0.2,0.2,0.2,25000,0
HVIIR.US,60,20250213,160000,0.2,0.2004,0.190001,0.190001,10870,0
HVIIR.US,60,20250227,220000,0.2,0.2447,0.195,0.2,6200,0
HVIIR.US,60,20250228,170000,0.239,0.25,0.2,0.23,309858,0
HVIIR.US,60,20250228,180000,0.2252,0.2893,0.2,0.24,100017,0
HVIIR.US,60,20250228,190000,0.2128,0.2695,0.21183,0.2212,149651,0
HVIIR.US,60,20250228,210000,0.23,0.23,0.22,0.22,350,0
HVIIR.US,60,20250305,220000,0.22,0.24,0.21,0.24,1591,0
HVIIR.US,60,20250313,150000,0.245,0.245,0.245,0.245,2200,0
HVIIR.US,60,20250317,190000,0.24,0.24,0.201,0.201,1128,0
HVIIR.US,60,20250317,210000,0.201,0.201,0.2,0.2,781,0
HVIIR.US,60,20250318,160000,0.19,0.19,0.19,0.19,2014,0
HVIIR.US,60,20250318,170000,0.19,0.19,0.19,0.19,1860,0
HVIIR.US,60,20250318,180000,0.19,0.19,0.19,0.19,3570,0
HVIIR.US,60,20250318,190000,0.19,0.19,0.19,0.19,3700,0
HVIIR.US,60,20250318,200000,0.19,0.19,0.19,0.19,3600,0
HVIIR.US,60,20250318,210000,0.19,0.19,0.19,0.19,3600,0
HVIIR.US,60,20250319,170000,0.2,0.2095,0.184,0.1908,700,0
HVIIR.US,60,20250319,180000,0.194355,0.2297,0.18,0.1918,15222,0
HVIIR.US,60,20250326,150000,0.1812,0.192,0.1812,0.192,200,0
HVIIR.US,60,20250326,180000,0.208,0.21,0.208,0.21,3749,0
HVIIR.US,60,20250326,210000,0.2,0.2,0.2,0.2,1500,0
HVIIR.US,60,20250331,170000,0.192,0.192,0.184,0.184,300,0
