<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PTHL.US,60,20240905,180000,3.76,4.25,3.57,4.18,932896,0
PTHL.US,60,20240905,190000,4.1685,4.48,4.15,4.39,390560,0
PTHL.US,60,20240905,200000,4.4,4.48,4.25,4.38,332304,0
PTHL.US,60,20240905,210000,4.36,4.3999,4.21,4.23,262811,0
PTHL.US,60,20240905,220000,4.23,4.26,3.7,3.78,186769,0
PTHL.US,60,20240906,160000,4.11,4.11,3.82,3.9,22163,0
PTHL.US,60,20240906,170000,3.9101,4.2,3.5594,3.59,143702,0
PTHL.US,60,20240906,180000,3.589,3.98,3.5205,3.83,28889,0
PTHL.US,60,20240906,190000,3.75,3.8799,3.71,3.87,7484,0
PTHL.US,60,20240906,200000,3.88,3.91,3.88,3.9,16374,0
PTHL.US,60,20240906,210000,3.9,3.95,3.9,3.95,9119,0
PTHL.US,60,20240906,220000,3.95,3.97,3.95,3.97,5734,0
PTHL.US,60,20240909,160000,3.65,3.99,3.65,3.83,23959,0
PTHL.US,60,20240909,170000,3.75,3.75,3.36,3.51,40565,0
PTHL.US,60,20240909,180000,3.7074,3.8399,3.6,3.75,51175,0
PTHL.US,60,20240909,190000,3.69,3.7,3.68,3.68,2474,0
PTHL.US,60,20240909,200000,3.65,3.65,3.65,3.65,1225,0
PTHL.US,60,20240909,210000,3.65,3.758,3.51,3.68,11227,0
PTHL.US,60,20240909,220000,3.65,3.78,3.54,3.54,1900,0
PTHL.US,60,20240910,160000,3.41,3.672,3.41,3.41,15068,0
PTHL.US,60,20240910,170000,3.49,3.59,3.4223,3.5,17041,0
PTHL.US,60,20240910,180000,3.513,3.63,3.5117,3.522,19066,0
PTHL.US,60,20240910,190000,3.56,3.56,3.5206,3.5206,1314,0
PTHL.US,60,20240910,200000,3.5687,3.63,3.5687,3.63,2656,0
PTHL.US,60,20240910,210000,3.561,3.6623,3.561,3.591,2000,0
PTHL.US,60,20240910,220000,3.62,3.62,3.59,3.59,4842,0
PTHL.US,60,20240911,160000,3.9699,3.9699,3.6,3.63,3832,0
PTHL.US,60,20240911,170000,3.65,3.68,3.46,3.54,16581,0
PTHL.US,60,20240911,180000,3.54,3.54,3.52,3.535,3786,0
PTHL.US,60,20240911,190000,3.58,3.58,3.54,3.57,2247,0
PTHL.US,60,20240911,200000,3.54,3.55,3.33,3.51,25189,0
PTHL.US,60,20240911,210000,3.51,3.55,3.48,3.491,3285,0
PTHL.US,60,20240911,220000,3.52,3.52,3.3301,3.35,6426,0
PTHL.US,60,20240912,160000,3.51,3.51,3.43,3.43,2237,0
PTHL.US,60,20240912,170000,3.5,3.8,3.42,3.8,51733,0
PTHL.US,60,20240912,180000,3.8,3.94,3.63,3.8,61228,0
PTHL.US,60,20240912,190000,3.9014,3.96,3.6,3.79,92240,0
PTHL.US,60,20240912,200000,3.79,3.8,3.79,3.8,2333,0
PTHL.US,60,20240912,210000,3.76,3.76,3.67,3.67,600,0
PTHL.US,60,20240912,220000,3.78,3.93,3.77,3.88,7441,0
PTHL.US,60,20240913,160000,3.94,4.04,3.8,3.8095,24346,0
PTHL.US,60,20240913,170000,3.92,4.3989,3.92,4.1,59327,0
PTHL.US,60,20240913,180000,4.02,4.1514,3.93,4,21799,0
PTHL.US,60,20240913,190000,4,4.05,3.932,4.05,8117,0
PTHL.US,60,20240913,200000,4.0498,4.1,4.025,4.09,17171,0
PTHL.US,60,20240913,210000,4.05,4.05,3.9301,3.9825,10670,0
PTHL.US,60,20240913,220000,4,4.1,3.9402,4.1,6451,0
PTHL.US,60,20240916,160000,4.05,4.15,3.9416,4.08,11426,0
PTHL.US,60,20240916,170000,4.14,4.37,4.0427,4.3684,78318,0
PTHL.US,60,20240916,180000,4.37,4.56,4.21,4.33,85788,0
PTHL.US,60,20240916,190000,4.34,4.4,4.27,4.27,16255,0
PTHL.US,60,20240916,200000,4.285,4.37,4.2501,4.37,9974,0
PTHL.US,60,20240916,210000,4.34,4.48,4.34,4.42,72162,0
PTHL.US,60,20240916,220000,4.4,4.49,4.36,4.49,12542,0
PTHL.US,60,20240917,160000,4.45,4.5,4.302,4.45,7004,0
PTHL.US,60,20240917,170000,4.4,4.41,4.11,4.19,25317,0
PTHL.US,60,20240917,180000,4.1701,4.24,4.17,4.1709,2806,0
PTHL.US,60,20240917,190000,4.21,4.21,4.012,4.1394,26847,0
PTHL.US,60,20240917,200000,4.115,4.115,4.05,4.05,2365,0
PTHL.US,60,20240917,210000,4.0175,4.1,4.01,4.03,10466,0
PTHL.US,60,20240917,220000,4.03,4.12,4.03,4.03,1426,0
PTHL.US,60,20240918,160000,4.21,4.3,4.21,4.3,1400,0
PTHL.US,60,20240918,170000,4.29,4.29,4.15,4.16,4240,0
PTHL.US,60,20240918,180000,4.11,4.1528,4.0402,4.1528,1726,0
PTHL.US,60,20240918,190000,4.1498,4.33,4.08,4.28,35577,0
PTHL.US,60,20240918,200000,4.27,4.33,4.12,4.12,17614,0
PTHL.US,60,20240918,210000,4.3112,4.3112,4.24,4.25,8300,0
PTHL.US,60,20240918,220000,4.13,4.31,4.13,4.31,3699,0
PTHL.US,60,20240919,160000,4.24,4.3192,4.15,4.24,5911,0
PTHL.US,60,20240919,170000,4.19,4.31,4.08,4.21,39621,0
PTHL.US,60,20240919,180000,4.24,4.3,4.155,4.25,16984,0
PTHL.US,60,20240919,190000,4.23,4.25,4.23,4.23,500,0
PTHL.US,60,20240919,200000,4.23,4.25,4.12,4.25,7400,0
PTHL.US,60,20240919,210000,4.25,4.25,4.12,4.23,2500,0
PTHL.US,60,20240919,220000,4.23,4.3,4.2,4.25,8072,0
PTHL.US,60,20240920,160000,4.2398,4.24,4.16,4.19,2600,0
PTHL.US,60,20240920,170000,4.195,4.29,4.145,4.27,10358,0
PTHL.US,60,20240920,180000,4.28,4.322,4.17,4.26,59195,0
PTHL.US,60,20240920,190000,4.21,4.23,4.2,4.22,2100,0
PTHL.US,60,20240920,200000,4.21,4.27,4.21,4.27,4195,0
PTHL.US,60,20240920,210000,4.26,4.31,4.22,4.25,8278,0
PTHL.US,60,20240920,220000,4.26,4.27,4.21,4.22,5401,0
PTHL.US,60,20240923,160000,4.31,4.73,4.25,4.435,19432,0
PTHL.US,60,20240923,170000,4.5597,4.69,4.45,4.5206,42217,0
PTHL.US,60,20240923,180000,4.53,4.57,4.35,4.4,206986,0
PTHL.US,60,20240923,190000,4.41,4.42,4.102,4.24,433150,0
PTHL.US,60,20240923,200000,4.23,4.3,4.02,4.08,249152,0
PTHL.US,60,20240923,210000,4.12,4.1327,4.0207,4.1,80159,0
PTHL.US,60,20240923,220000,4.12,4.38,4.08,4.34,40508,0
PTHL.US,60,20240924,160000,4.1554,4.214,4.1501,4.21,1700,0
PTHL.US,60,20240924,170000,4.21,4.21,4.11,4.15,51612,0
PTHL.US,60,20240924,180000,4.25,4.345,4.185,4.32,13087,0
PTHL.US,60,20240924,190000,4.36,4.48,4.31,4.35,28301,0
PTHL.US,60,20240924,200000,4.38,4.44,4.315,4.42,9228,0
PTHL.US,60,20240924,210000,4.4,4.42,4.28,4.42,9765,0
PTHL.US,60,20240924,220000,4.42,4.435,4.335,4.42,6345,0
PTHL.US,60,20240925,160000,4.48,4.7912,4.4,4.76,10536,0
PTHL.US,60,20240925,170000,4.7,5.3,4.7,4.96,45179,0
PTHL.US,60,20240925,180000,4.85,4.98,4.7,4.872,120546,0
PTHL.US,60,20240925,190000,4.91,4.97,4.88,4.97,4363,0
PTHL.US,60,20240925,200000,4.98,5.198,4.9,5.1,49407,0
PTHL.US,60,20240925,210000,5.09,5.51,5.03,5.45,78190,0
PTHL.US,60,20240925,220000,5.45,5.45,5.2,5.45,38705,0
PTHL.US,60,20240926,160000,5.87,6.2361,5.65,6.03,124581,0
PTHL.US,60,20240926,170000,6.02,6.03,4.88,5.1,195125,0
PTHL.US,60,20240926,180000,5.1,5.2,4.75,4.97,31159,0
PTHL.US,60,20240926,190000,5.02,5.084,4.77,4.905,17946,0
PTHL.US,60,20240926,200000,4.86,4.93,4.65,4.85,24750,0
PTHL.US,60,20240926,210000,4.9,5.096,4.75,4.8,51436,0
PTHL.US,60,20240926,220000,4.81,5,4.75,4.8101,17051,0
PTHL.US,60,20240927,160000,5.11,5.11,4.965,4.965,2304,0
PTHL.US,60,20240927,170000,5.04,5.04,4.93,4.93,670,0
PTHL.US,60,20240927,180000,5,5.02,4.93,4.93,2747,0
PTHL.US,60,20240927,190000,4.9307,5.02,4.9305,4.9798,2581,0
PTHL.US,60,20240927,200000,4.92,4.92,4.86,4.86,3712,0
PTHL.US,60,20240927,210000,4.83,4.8624,4.7,4.7,4495,0
PTHL.US,60,20240927,220000,4.79,4.83,4.71,4.83,1669,0
PTHL.US,60,20240930,160000,4.73,5.1533,4.7241,4.96,17772,0
PTHL.US,60,20240930,170000,4.81,5.15,4.69,5.06,38500,0
PTHL.US,60,20240930,180000,5.13,5.72,5.11,5.65,62709,0
PTHL.US,60,20240930,190000,5.6,5.62,5.3,5.5,10435,0
PTHL.US,60,20240930,200000,5.5,5.69,5.46,5.6,11085,0
PTHL.US,60,20240930,210000,5.595,5.64,5.5,5.57,7053,0
PTHL.US,60,20240930,220000,5.56,5.75,5.55,5.61,12548,0
PTHL.US,60,20241001,160000,5.86,6.04,5.72,6.0023,15694,0
PTHL.US,60,20241001,170000,6.02,6.139,5.67,5.74,21017,0
PTHL.US,60,20241001,180000,5.66,5.76,5.65,5.67,5229,0
PTHL.US,60,20241001,190000,5.67,5.67,5.37,5.46,17866,0
PTHL.US,60,20241001,200000,5.38,5.68,5.1901,5.431,72716,0
PTHL.US,60,20241001,210000,5.5,5.69,5.39,5.47,22327,0
