<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RUSC.US,60,20250515,190000,26.65,26.66,26.65,26.6599,6100,0
RUSC.US,60,20250515,200000,26.6416,26.7,26.6416,26.6888,4920,0
RUSC.US,60,20250516,170000,26.65,26.65,26.65,26.65,100,0
RUSC.US,60,20250516,180000,26.59,26.699,26.59,26.699,950,0
RUSC.US,60,20250516,190000,26.75,26.75,26.75,26.75,400,0
RUSC.US,60,20250516,200000,26.8,26.8,26.8,26.8,101,0
RUSC.US,60,20250516,210000,26.85,26.85,26.85,26.85,211,0
RUSC.US,60,20250516,220000,26.86,26.86,26.86,26.86,930,0
RUSC.US,60,20250519,210000,26.71,26.72,26.7,26.72,1400,0
RUSC.US,60,20250520,190000,26.79,26.79,26.79,26.79,100,0
RUSC.US,60,20250520,220000,26.73,26.73,26.73,26.73,125,0
RUSC.US,60,20250523,190000,25.88,25.88,25.88,25.88,125,0
RUSC.US,60,20250528,200000,26.299,26.299,26.299,26.299,380,0
RUSC.US,60,20250530,180000,26.2997,26.2997,26.2997,26.2997,100,0
RUSC.US,60,20250530,190000,26.2155,26.22,26.13,26.13,300,0
RUSC.US,60,20250604,200000,26.67,26.67,26.67,26.67,100,0
RUSC.US,60,20250604,210000,26.65,26.65,26.65,26.65,100,0
RUSC.US,60,20250606,170000,26.965,26.965,26.965,26.965,171,0
RUSC.US,60,20250609,180000,27.07,27.08,27.07,27.08,434,0
RUSC.US,60,20250609,210000,27.22,27.23,27.22,27.23,300,0
RUSC.US,60,20250609,220000,27.23,27.23,27.23,27.23,100,0
RUSC.US,60,20250610,170000,27.3,28,27.3,27.36,98636,0
RUSC.US,60,20250610,180000,27.33,27.33,27.33,27.33,65577,0
RUSC.US,60,20250610,190000,27.35,27.39,27.32,27.39,278436,0
RUSC.US,60,20250610,210000,27.28,27.32,27.25,27.25,41378,0
RUSC.US,60,20250610,220000,27.31,27.31,27.2342,27.24,48257,0
RUSC.US,60,20250611,170000,27.41,27.41,27.34,27.34,293802,0
RUSC.US,60,20250611,180000,27.38,27.38,27.365,27.365,4386,0
RUSC.US,60,20250611,190000,27.365,27.37,27.32,27.32,12627,0
RUSC.US,60,20250611,200000,27.3201,27.3201,27.3201,27.3201,195,0
RUSC.US,60,20250611,210000,27.32,27.3299,27.32,27.326,4048,0
RUSC.US,60,20250611,220000,27.25,27.25,27.19,27.25,1729,0
RUSC.US,60,20250612,170000,27.13,27.15,27.1176,27.1176,432,0
RUSC.US,60,20250612,180000,27.0533,27.0533,27.0533,27.0533,101,0
RUSC.US,60,20250612,190000,27.07,27.11,27.065,27.11,4260,0
RUSC.US,60,20250612,220000,27.14,27.14,27.14,27.14,196,0
RUSC.US,60,20250613,160000,26.84,26.86,26.84,26.86,308,0
RUSC.US,60,20250613,170000,26.75,26.78,26.75,26.78,277,0
RUSC.US,60,20250613,180000,26.8478,26.8776,26.8478,26.8776,1871,0
RUSC.US,60,20250613,190000,26.98,26.98,26.9201,26.9201,1014,0
RUSC.US,60,20250613,200000,26.865,26.865,26.865,26.865,183,0
RUSC.US,60,20250613,210000,26.69,26.69,26.69,26.69,135,0
RUSC.US,60,20250613,220000,26.64,26.735,26.64,26.735,273,0
RUSC.US,60,20250616,160000,26.88,26.94,26.88,26.94,736,0
RUSC.US,60,20250616,170000,26.95,27.07,26.95,27.065,2435,0
RUSC.US,60,20250616,180000,27.05,27.05,26.94,26.96,2678,0
RUSC.US,60,20250616,190000,26.98,27.02,26.95,26.99,3099,0
RUSC.US,60,20250616,200000,27.27,27.27,26.95,26.95,2409,0
RUSC.US,60,20250616,210000,26.97,26.97,26.89,26.9325,2406,0
RUSC.US,60,20250616,220000,26.93,26.96,26.87,26.96,2294,0
RUSC.US,60,20250617,170000,26.864,26.929,26.85,26.8622,1126,0
RUSC.US,60,20250617,180000,26.92,26.92,26.92,26.92,200,0
RUSC.US,60,20250617,190000,26.9176,26.93,26.9176,26.93,355,0
RUSC.US,60,20250617,200000,26.72,26.7201,26.72,26.7201,200,0
RUSC.US,60,20250618,180000,26.9794,26.9794,26.9794,26.9794,1126,0
RUSC.US,60,20250618,200000,26.91,26.91,26.91,26.91,127,0
RUSC.US,60,20250618,210000,26.9412,26.9412,26.9412,26.9412,766,0
RUSC.US,60,20250618,220000,26.79,26.83,26.78,26.78,1517,0
RUSC.US,60,20250620,170000,26.84,26.87,26.77,26.77,945,0
RUSC.US,60,20250620,180000,26.77,26.77,26.749,26.749,356,0
RUSC.US,60,20250620,190000,26.71,26.71,26.71,26.71,5466,0
RUSC.US,60,20250620,200000,26.72,26.72,26.72,26.72,610,0
RUSC.US,60,20250623,170000,26.93,26.939,26.93,26.939,877,0
RUSC.US,60,20250623,180000,26.87,26.87,26.87,26.87,395,0
RUSC.US,60,20250623,220000,27.04,27.0401,27.04,27.0401,1222,0
RUSC.US,60,20250624,180000,27.45,27.45,27.45,27.45,395,0
RUSC.US,60,20250624,190000,27.4498,27.4498,27.4498,27.4498,135,0
RUSC.US,60,20250624,210000,27.4824,27.4824,27.4824,27.4824,523,0
RUSC.US,60,20250624,220000,27.4376,27.4376,27.4376,27.4376,184,0
RUSC.US,60,20250625,170000,27.17,27.17,27.17,27.17,600,0
RUSC.US,60,20250625,200000,27.1899,27.19,27.14,27.14,554,0
RUSC.US,60,20250625,220000,27.18,27.1802,27.18,27.1802,1334,0
RUSC.US,60,20250626,170000,27.349,27.3622,27.349,27.3622,214,0
RUSC.US,60,20250626,180000,27.37,27.37,27.37,27.37,951,0
RUSC.US,60,20250626,190000,27.41,27.4188,27.41,27.4188,1600,0
RUSC.US,60,20250626,200000,27.389,27.389,27.389,27.389,200,0
RUSC.US,60,20250626,210000,27.399,27.44,27.37,27.44,976,0
RUSC.US,60,20250626,220000,27.4722,27.5,27.4722,27.5,585,0
RUSC.US,60,20250627,170000,27.73,27.73,27.68,27.68,200,0
RUSC.US,60,20250627,190000,27.7,27.7189,27.67,27.67,3583,0
RUSC.US,60,20250627,210000,27.53,27.53,27.53,27.53,478,0
RUSC.US,60,20250630,170000,27.61,27.61,27.5869,27.6,1113,0
RUSC.US,60,20250630,210000,27.59,27.59,27.59,27.59,439,0
RUSC.US,60,20250630,220000,27.6394,27.6394,27.56,27.59,2013,0
RUSC.US,60,20250701,170000,27.61,27.61,27.61,27.61,100,0
RUSC.US,60,20250701,180000,27.81,27.81,27.81,27.81,399,0
RUSC.US,60,20250701,190000,27.99,28.039,27.99,28.03,3798,0
RUSC.US,60,20250701,200000,28.04,28.04,28.04,28.04,100,0
RUSC.US,60,20250701,210000,28.04,28.04,27.97,28.029,800,0
RUSC.US,60,20250701,220000,27.99,27.99,27.905,27.9202,1304,0
RUSC.US,60,20250702,160000,27.9338,27.9338,27.9338,27.9338,550,0
RUSC.US,60,20250702,170000,27.92,27.92,27.92,27.92,100,0
RUSC.US,60,20250702,180000,28.03,28.07,28.0145,28.07,7785,0
RUSC.US,60,20250702,190000,28.12,28.12,28.12,28.12,100,0
RUSC.US,60,20250702,200000,28.04,28.1,28.04,28.04,300,0
RUSC.US,60,20250702,210000,28.17,28.18,28.17,28.17,300,0
RUSC.US,60,20250702,220000,28.18,28.18,28.18,28.18,100,0
RUSC.US,60,20250703,170000,28.46,28.46,28.395,28.4345,1352,0
RUSC.US,60,20250703,180000,28.475,28.475,28.475,28.475,134,0
RUSC.US,60,20250707,160000,28.3,28.3,28.3,28.3,120,0
RUSC.US,60,20250707,170000,28.43,28.43,28.27,28.359,1300,0
RUSC.US,60,20250707,180000,28.27,28.27,28.22,28.22,1036,0
RUSC.US,60,20250707,190000,28.1,28.1,28.0883,28.0883,572,0
RUSC.US,60,20250707,200000,28.08,28.09,28.07,28.09,546,0
RUSC.US,60,20250707,220000,28.02,28.02,27.96,27.96,400,0
RUSC.US,60,20250708,180000,28.28,28.28,28.28,28.28,200,0
RUSC.US,60,20250708,190000,28.255,28.255,28.255,28.255,191,0
RUSC.US,60,20250708,200000,28.23,28.23,28.23,28.23,109,0
RUSC.US,60,20250709,170000,28.285,28.285,28.285,28.285,306,0
RUSC.US,60,20250709,180000,28.22,28.22,28.22,28.22,112,0
RUSC.US,60,20250709,200000,28.3169,28.3169,28.3169,28.3169,171,0
RUSC.US,60,20250709,220000,28.375,28.3778,28.375,28.3778,670,0
RUSC.US,60,20250710,180000,28.589,28.589,28.589,28.589,250,0
RUSC.US,60,20250710,210000,28.69,28.69,28.64,28.64,1600,0
RUSC.US,60,20250711,190000,28.279,28.289,28.22,28.289,2780,0
RUSC.US,60,20250711,220000,28.32,28.32,28.32,28.32,200,0
RUSC.US,60,20250714,170000,28.22,28.22,28.22,28.22,100,0
RUSC.US,60,20250714,180000,28.21,28.21,28.21,28.21,100,0
RUSC.US,60,20250714,190000,28.2676,28.2676,28.2676,28.2676,116,0
RUSC.US,60,20250714,200000,28.34,28.34,28.26,28.2601,2096,0
RUSC.US,60,20250714,210000,28.325,28.35,28.325,28.35,738,0
RUSC.US,60,20250714,220000,28.34,28.34,28.34,28.34,1416,0
RUSC.US,60,20250715,170000,28.14,28.17,28.11,28.11,898,0
RUSC.US,60,20250715,180000,28.1435,28.1435,28.1435,28.1435,226,0
RUSC.US,60,20250715,190000,28.091,28.091,28.0286,28.0286,731,0
RUSC.US,60,20250715,220000,27.94,27.9472,27.89,27.89,1001,0
RUSC.US,60,20250716,170000,27.92,27.92,27.8934,27.8934,690,0
RUSC.US,60,20250716,180000,27.99,27.99,27.99,27.99,300,0
RUSC.US,60,20250716,220000,28,28.06,28,28.06,743,0
RUSC.US,60,20250717,170000,28.1907,28.1907,28.1907,28.1907,102,0
RUSC.US,60,20250717,190000,28.28,28.28,28.22,28.22,1100,0
RUSC.US,60,20250717,220000,28.32,28.32,28.32,28.32,256,0
RUSC.US,60,20250718,170000,28.2,28.2,28.2,28.2,609,0
RUSC.US,60,20250718,180000,28.22,28.22,28.22,28.22,283,0
RUSC.US,60,20250718,190000,28.25,28.25,28.2499,28.2499,200,0
RUSC.US,60,20250718,220000,28.16,28.16,28.16,28.16,600,0
RUSC.US,60,20250721,170000,28.37,28.37,28.37,28.37,1800,0
RUSC.US,60,20250721,190000,28.35,28.35,28.289,28.289,442,0
RUSC.US,60,20250721,200000,28.2799,28.28,28.2799,28.28,428,0
RUSC.US,60,20250721,220000,28.1702,28.1702,28.1702,28.1702,147,0
