<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCMM.US,60,20241205,160000,50.5,50.5,50.5,50.5,237,0
PCMM.US,60,20241205,170000,50.2944,50.3,50.2944,50.3,213,0
PCMM.US,60,20241205,180000,50.299,50.299,50.299,50.299,400,0
PCMM.US,60,20241205,200000,50.2814,50.2986,50.2807,50.2986,1200,0
PCMM.US,60,20241205,210000,50.29,50.29,50.29,50.29,150,0
PCMM.US,60,20241205,220000,50.29,50.3,50.28,50.28,11423,0
PCMM.US,60,20241206,160000,50.22,50.22,50.17,50.17,500,0
PCMM.US,60,20241206,170000,50.06,50.08,49.98,50.07,11723,0
PCMM.US,60,20241206,180000,50.08,50.2,50.07,50.07,6580,0
PCMM.US,60,20241206,190000,50.075,50.25,50.07,50.2,20470,0
PCMM.US,60,20241206,200000,50.2496,50.2496,50.24,50.24,1800,0
PCMM.US,60,20241206,210000,50.24,50.24,50.1,50.1,955,0
PCMM.US,60,20241206,220000,50.2,50.2,50.17,50.17,730,0
PCMM.US,60,20241209,160000,50.4948,50.4948,50.4948,50.4948,121,0
PCMM.US,60,20241209,170000,50.365,50.365,50.365,50.365,500,0
PCMM.US,60,20241209,180000,50.5,50.5,50.4104,50.4104,374,0
PCMM.US,60,20241209,190000,50.3509,50.4214,50.3509,50.4214,600,0
PCMM.US,60,20241209,210000,50.36,50.4665,50.36,50.37,35030,0
PCMM.US,60,20241209,220000,50.49,50.49,50.405,50.4773,400,0
PCMM.US,60,20241210,180000,50.3,50.3,50.3,50.3,297,0
PCMM.US,60,20241210,190000,50.25,50.29,50.25,50.2762,1256,0
PCMM.US,60,20241210,200000,50.29,50.29,50.2,50.2,2100,0
PCMM.US,60,20241210,210000,50.0994,50.0994,50.0994,50.0994,202,0
PCMM.US,60,20241210,220000,50.2657,50.2657,50.2,50.2,203,0
PCMM.US,60,20241211,160000,50,50.35,50,50.2467,329,0
PCMM.US,60,20241211,200000,50.2723,50.2723,50.2723,50.2723,200,0
PCMM.US,60,20241212,170000,50.2,50.2,50.2,50.2,1100,0
PCMM.US,60,20241212,190000,50.1983,50.1983,50.1983,50.1983,572,0
PCMM.US,60,20241212,200000,50.2,50.2,50.1458,50.1458,394,0
PCMM.US,60,20241212,210000,50.17,50.17,50.16,50.16,1587,0
PCMM.US,60,20241212,220000,50.31,50.31,50.02,50.02,2696,0
PCMM.US,60,20241213,170000,50.4,50.4,50.4,50.4,300,0
PCMM.US,60,20241213,180000,50.35,50.355,50.26,50.26,572,0
PCMM.US,60,20241213,190000,50.35,50.4,50.3498,50.4,14829,0
PCMM.US,60,20241213,210000,50.39,50.39,50.39,50.39,700,0
PCMM.US,60,20241213,220000,50.3902,50.4,50.39,50.39,1561,0
PCMM.US,60,20241216,180000,50.48,50.48,50.47,50.47,423,0
PCMM.US,60,20241216,190000,50.3052,50.3052,50.3052,50.3052,200,0
PCMM.US,60,20241216,210000,50.336,50.336,50.22,50.23,1377,0
PCMM.US,60,20241216,220000,50.3495,50.35,50.3495,50.35,255,0
PCMM.US,60,20241217,180000,50.36,50.36,50.23,50.36,301,0
PCMM.US,60,20241217,200000,50.2404,50.29,50.2404,50.29,200,0
PCMM.US,60,20241217,220000,50.18,50.18,50.11,50.11,4674,0
PCMM.US,60,20241218,160000,51.08,51.08,50.4038,50.4038,1097,0
PCMM.US,60,20241218,200000,50.5,50.51,50.415,50.415,540,0
PCMM.US,60,20241218,220000,50.325,50.325,50.325,50.325,100,0
PCMM.US,60,20241219,160000,50.395,50.395,50.395,50.395,200,0
PCMM.US,60,20241219,170000,50.26,50.4968,50.26,50.395,950,0
PCMM.US,60,20241219,200000,50.54,50.625,50.47,50.625,500,0
PCMM.US,60,20241219,210000,50.4,50.442,50.4,50.4,900,0
PCMM.US,60,20241220,190000,50.705,50.705,50.7,50.7,200,0
PCMM.US,60,20241223,170000,50.4099,50.4099,50.4099,50.4099,1883,0
PCMM.US,60,20241223,180000,50.41,50.41,50.29,50.29,369,0
PCMM.US,60,20241223,200000,50.42,50.42,50.3404,50.3404,400,0
PCMM.US,60,20241224,160000,50.29,50.486,50.25,50.42,3090,0
PCMM.US,60,20241224,170000,50.63,50.6399,50.63,50.6399,992,0
PCMM.US,60,20241224,190000,50.601,50.93,50.44,50.44,18772,0
PCMM.US,60,20241226,160000,50.6199,50.6199,50.6199,50.6199,200,0
PCMM.US,60,20241226,170000,50.5838,50.6,50.5732,50.6,578,0
PCMM.US,60,20241226,180000,50.5501,50.71,50.5501,50.71,1974,0
PCMM.US,60,20241226,190000,50.7,50.7,50.43,50.6214,4179,0
PCMM.US,60,20241226,200000,50.6216,50.7965,50.41,50.555,5900,0
PCMM.US,60,20241226,210000,50.7,50.7099,50.4,50.7,3383,0
PCMM.US,60,20241227,170000,50.62,50.62,50.62,50.62,100,0
PCMM.US,60,20241227,180000,50.62,50.62,50.584,50.584,990,0
PCMM.US,60,20241227,210000,50.62,50.97,50.5553,50.97,3232,0
PCMM.US,60,20241230,160000,52.73,52.73,50.785,50.89,1594,0
PCMM.US,60,20241230,170000,50.86,50.94,50.61,50.93,600,0
PCMM.US,60,20241230,180000,50.62,50.97,50.61,50.65,84645,0
PCMM.US,60,20241230,190000,50.97,50.97,50.46,50.8,93043,0
PCMM.US,60,20241230,200000,50.75,50.75,50.75,50.75,100,0
PCMM.US,60,20241230,220000,50.6,50.6,50.6,50.6,300,0
PCMM.US,60,20241231,170000,50.555,50.555,50.555,50.555,100,0
PCMM.US,60,20241231,180000,50.65,50.65,50.555,50.555,415,0
PCMM.US,60,20241231,190000,50.65,50.659,50.65,50.659,2574,0
PCMM.US,60,20241231,200000,50.65,50.65,50.65,50.65,100,0
PCMM.US,60,20241231,210000,50.65,50.655,50.65,50.65,500,0
PCMM.US,60,20241231,220000,50.635,50.635,50.61,50.61,600,0
PCMM.US,60,20250102,160000,50.63,50.63,50.5804,50.5804,1423,0
