<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNT.US,60,20240411,160000,1.26,1.3,1.26,1.3,451,0
SNT.US,60,20240411,170000,1.2921,1.2921,1.2921,1.2921,500,0
SNT.US,60,20240411,180000,1.25,1.25,1.25,1.25,100,0
SNT.US,60,20240411,190000,1.29,1.29,1.29,1.29,100,0
SNT.US,60,20240412,160000,1.2955,1.4,1.2955,1.344,33060,0
SNT.US,60,20240412,170000,1.3642,1.3908,1.2872,1.37,25072,0
SNT.US,60,20240412,180000,1.3,1.37,1.3,1.33,3542,0
SNT.US,60,20240412,190000,1.3039,1.3039,1.3039,1.3039,986,0
SNT.US,60,20240412,200000,1.31,1.32,1.31,1.32,200,0
SNT.US,60,20240412,210000,1.33,1.34,1.33,1.34,425,0
SNT.US,60,20240412,220000,1.3389,1.4,1.3389,1.35,74398,0
SNT.US,60,20240415,160000,1.35,1.3679,1.345,1.35,5076,0
SNT.US,60,20240415,170000,1.35,1.355,1.35,1.355,3800,0
SNT.US,60,20240415,180000,1.355,1.425,1.35,1.4,37333,0
SNT.US,60,20240415,190000,1.4,1.43,1.4,1.43,15681,0
SNT.US,60,20240415,200000,1.42,1.42,1.4,1.41,7925,0
SNT.US,60,20240415,210000,1.4202,1.429,1.39,1.39,7464,0
SNT.US,60,20240415,220000,1.39,1.39,1.37,1.38,2200,0
SNT.US,60,20240416,160000,1.4,1.4393,1.4,1.4393,5854,0
SNT.US,60,20240416,170000,1.43,1.4499,1.39,1.42,12613,0
SNT.US,60,20240416,180000,1.42,1.44,1.4,1.43,10145,0
SNT.US,60,20240416,190000,1.4217,1.48,1.4217,1.4656,17093,0
SNT.US,60,20240416,200000,1.482,1.4899,1.45,1.46,1200,0
SNT.US,60,20240416,210000,1.48,1.49,1.45,1.49,1140,0
SNT.US,60,20240416,220000,1.485,1.52,1.4612,1.5,12591,0
SNT.US,60,20240417,160000,1.55,1.55,1.5,1.51,4860,0
SNT.US,60,20240417,170000,1.444,1.46,1.4413,1.45,12121,0
SNT.US,60,20240417,180000,1.45,1.4599,1.44,1.4599,420,0
SNT.US,60,20240417,190000,1.44,1.44,1.44,1.44,100,0
SNT.US,60,20240417,210000,1.43,1.45,1.43,1.43,1404,0
SNT.US,60,20240417,220000,1.44,1.44,1.42,1.42,452,0
SNT.US,60,20240418,160000,1.46,1.46,1.425,1.425,3530,0
SNT.US,60,20240418,190000,1.35,1.35,1.35,1.35,1250,0
SNT.US,60,20240418,200000,1.35,1.38,1.35,1.38,2869,0
SNT.US,60,20240418,210000,1.371,1.371,1.35,1.3501,3236,0
SNT.US,60,20240418,220000,1.38,1.41,1.38,1.41,446,0
SNT.US,60,20240419,160000,1.32,1.351,1.32,1.35,3755,0
SNT.US,60,20240419,180000,1.31,1.46,1.3001,1.4476,37475,0
SNT.US,60,20240419,190000,1.46,1.46,1.43,1.4301,8900,0
SNT.US,60,20240419,200000,1.43,1.46,1.43,1.4592,50671,0
SNT.US,60,20240419,210000,1.43,1.43,1.43,1.43,200,0
SNT.US,60,20240419,220000,1.44,1.45,1.439,1.44,2090,0
SNT.US,60,20240422,160000,1.41,1.41,1.41,1.41,323,0
SNT.US,60,20240422,170000,1.43,1.46,1.43,1.445,11283,0
SNT.US,60,20240422,180000,1.4599,1.46,1.455,1.455,44483,0
SNT.US,60,20240422,190000,1.455,1.46,1.44,1.4542,47457,0
SNT.US,60,20240422,200000,1.46,1.46,1.4401,1.45,27086,0
SNT.US,60,20240422,210000,1.45,1.4536,1.4497,1.4497,2350,0
SNT.US,60,20240422,220000,1.4498,1.46,1.445,1.46,8258,0
SNT.US,60,20240423,160000,1.4,1.4,1.3915,1.4,1029,0
SNT.US,60,20240423,170000,1.4,1.425,1.4,1.425,300,0
SNT.US,60,20240423,190000,1.3701,1.4,1.3701,1.39,6598,0
SNT.US,60,20240423,200000,1.39,1.4,1.35,1.35,1958,0
SNT.US,60,20240423,210000,1.3144,1.398,1.3101,1.398,6100,0
SNT.US,60,20240423,220000,1.355,1.4,1.33,1.33,6354,0
SNT.US,60,20240424,160000,1.35,1.35,1.35,1.35,226,0
SNT.US,60,20240424,170000,1.4181,1.4181,1.4099,1.4099,645,0
SNT.US,60,20240424,180000,1.41,1.41,1.41,1.41,265,0
SNT.US,60,20240424,190000,1.3945,1.3945,1.3301,1.3301,8000,0
SNT.US,60,20240424,200000,1.33,1.33,1.33,1.33,250,0
SNT.US,60,20240424,210000,1.3525,1.3998,1.35,1.3998,2304,0
SNT.US,60,20240424,220000,1.33,1.33,1.33,1.33,140,0
SNT.US,60,20240425,160000,1.35,1.35,1.3333,1.3333,457,0
SNT.US,60,20240425,170000,1.3333,1.3333,1.3333,1.3333,403,0
SNT.US,60,20240425,190000,1.3,1.3121,1.3,1.3121,234,0
SNT.US,60,20240426,160000,1.37,1.37,1.37,1.37,200,0
SNT.US,60,20240426,170000,1.3899,1.3899,1.36,1.36,2620,0
SNT.US,60,20240426,180000,1.3899,1.39,1.3892,1.3892,5868,0
SNT.US,60,20240426,190000,1.3956,1.4,1.3956,1.3995,7852,0
SNT.US,60,20240426,200000,1.415,1.42,1.4133,1.4133,1200,0
SNT.US,60,20240426,210000,1.4176,1.4176,1.4176,1.4176,100,0
SNT.US,60,20240426,220000,1.43,1.43,1.43,1.43,3090,0
SNT.US,60,20240429,160000,1.45,1.46,1.44,1.4599,43606,0
SNT.US,60,20240429,170000,1.46,1.46,1.45,1.45,29142,0
SNT.US,60,20240429,180000,1.45,1.46,1.45,1.46,3300,0
SNT.US,60,20240429,190000,1.455,1.46,1.45,1.4599,6990,0
SNT.US,60,20240429,200000,1.4506,1.4599,1.41,1.435,6174,0
SNT.US,60,20240429,210000,1.44,1.44,1.365,1.4099,10129,0
SNT.US,60,20240430,160000,1.42,1.42,1.412,1.412,1200,0
SNT.US,60,20240430,170000,1.41,1.41,1.36,1.4007,11612,0
SNT.US,60,20240430,180000,1.43,1.43,1.43,1.43,100,0
SNT.US,60,20240430,190000,1.43,1.43,1.43,1.43,100,0
SNT.US,60,20240430,200000,1.43,1.43,1.37,1.37,800,0
SNT.US,60,20240430,220000,1.43,1.43,1.43,1.43,200,0
SNT.US,60,20240501,160000,1.43,1.43,1.43,1.43,689,0
SNT.US,60,20240501,170000,1.43,1.43,1.43,1.43,100,0
SNT.US,60,20240501,190000,1.43,1.43,1.43,1.43,300,0
SNT.US,60,20240501,200000,1.39,1.39,1.39,1.39,1156,0
SNT.US,60,20240501,210000,1.43,1.43,1.4,1.4,500,0
SNT.US,60,20240501,220000,1.4,1.4,1.4,1.4,100,0
SNT.US,60,20240502,160000,1.37,1.4,1.34,1.4,3502,0
SNT.US,60,20240502,170000,1.4,1.4,1.3572,1.3572,9668,0
SNT.US,60,20240502,180000,1.4,1.4,1.35,1.35,1151,0
SNT.US,60,20240502,210000,1.43,1.43,1.43,1.43,100,0
SNT.US,60,20240503,160000,1.4137,1.4137,1.4137,1.4137,140,0
SNT.US,60,20240503,180000,1.43,1.4301,1.43,1.4301,1000,0
SNT.US,60,20240503,210000,1.43,1.43,1.42,1.42,500,0
SNT.US,60,20240503,220000,1.38,1.4236,1.38,1.39,1609,0
SNT.US,60,20240506,170000,1.3801,1.41,1.3801,1.41,2370,0
SNT.US,60,20240506,200000,1.41,1.41,1.41,1.41,100,0
SNT.US,60,20240506,210000,1.4,1.4009,1.4,1.4009,414,0
SNT.US,60,20240506,220000,1.39,1.4,1.37,1.37,633,0
SNT.US,60,20240507,170000,1.4,1.4,1.4,1.4,550,0
SNT.US,60,20240507,180000,1.39,1.39,1.39,1.39,600,0
SNT.US,60,20240507,220000,1.395,1.395,1.36,1.36,1590,0
SNT.US,60,20240508,180000,1.42,1.42,1.36,1.37,665,0
SNT.US,60,20240508,190000,1.36,1.36,1.36,1.36,100,0
SNT.US,60,20240508,200000,1.3648,1.3648,1.3648,1.3648,322,0
SNT.US,60,20240508,220000,1.42,1.42,1.36,1.36,325,0
SNT.US,60,20240509,160000,1.3974,1.3974,1.35,1.35,1001,0
SNT.US,60,20240509,180000,1.335,1.37,1.335,1.34,907,0
SNT.US,60,20240509,190000,1.37,1.37,1.37,1.37,100,0
SNT.US,60,20240509,200000,1.33,1.33,1.33,1.33,100,0
SNT.US,60,20240509,210000,1.332,1.332,1.33,1.33,1100,0
SNT.US,60,20240509,220000,1.331,1.331,1.33,1.33,1891,0
SNT.US,60,20240510,160000,1.35,1.35,1.35,1.35,1000,0
SNT.US,60,20240510,170000,1.3471,1.39,1.34,1.3702,7795,0
SNT.US,60,20240510,180000,1.34,1.34,1.33,1.33,2400,0
SNT.US,60,20240510,190000,1.33,1.33,1.33,1.33,200,0
SNT.US,60,20240510,200000,1.32,1.325,1.32,1.32,4515,0
SNT.US,60,20240510,210000,1.31,1.3147,1.29,1.295,5892,0
SNT.US,60,20240510,220000,1.3,1.3,1.27,1.27,3654,0
SNT.US,60,20240513,160000,1.28,1.28,1.28,1.28,250,0
SNT.US,60,20240513,180000,1.2866,1.2866,1.2866,1.2866,125,0
SNT.US,60,20240513,210000,1.36,1.36,1.36,1.36,300,0
SNT.US,60,20240513,220000,1.32,1.4,1.32,1.4,200,0
SNT.US,60,20240514,160000,1.39,1.39,1.39,1.39,281,0
SNT.US,60,20240514,170000,1.4,1.47,1.4,1.4495,36763,0
SNT.US,60,20240514,180000,1.445,1.46,1.43,1.4499,28972,0
SNT.US,60,20240514,190000,1.449,1.45,1.43,1.45,3200,0
SNT.US,60,20240514,210000,1.45,1.46,1.4438,1.4597,9614,0
SNT.US,60,20240514,220000,1.455,1.46,1.43,1.46,700,0
SNT.US,60,20240515,160000,1.43,1.44,1.42,1.42,786,0
SNT.US,60,20240515,170000,1.435,1.45,1.435,1.45,1076,0
SNT.US,60,20240515,180000,1.46,1.46,1.4,1.4,280,0
SNT.US,60,20240515,190000,1.41,1.41,1.41,1.41,100,0
SNT.US,60,20240515,200000,1.45,1.45,1.45,1.45,100,0
SNT.US,60,20240515,210000,1.4,1.44,1.4,1.4399,3200,0
SNT.US,60,20240515,220000,1.45,1.45,1.45,1.45,312,0
SNT.US,60,20240516,160000,1.41,1.41,1.4,1.4,1170,0
SNT.US,60,20240516,170000,1.4168,1.4168,1.4168,1.4168,200,0
SNT.US,60,20240516,180000,1.4101,1.419,1.41,1.419,2369,0
SNT.US,60,20240516,190000,1.4151,1.44,1.41,1.44,8072,0
SNT.US,60,20240516,200000,1.42,1.42,1.42,1.42,100,0
SNT.US,60,20240516,210000,1.44,1.44,1.44,1.44,650,0
SNT.US,60,20240516,220000,1.44,1.45,1.43,1.44,2090,0
SNT.US,60,20240517,160000,1.43,1.43,1.43,1.43,100,0
SNT.US,60,20240517,170000,1.41,1.46,1.41,1.46,14256,0
SNT.US,60,20240517,180000,1.4599,1.4802,1.4599,1.48,11580,0
SNT.US,60,20240517,190000,1.48,1.4996,1.48,1.48,9476,0
SNT.US,60,20240517,200000,1.46,1.4717,1.46,1.46,5119,0
SNT.US,60,20240517,210000,1.46,1.48,1.46,1.48,651,0
SNT.US,60,20240517,220000,1.46,1.47,1.46,1.47,865,0
SNT.US,60,20240520,160000,1.48,1.48,1.42,1.42,1123,0
SNT.US,60,20240520,170000,1.4699,1.4799,1.4699,1.4799,3900,0
SNT.US,60,20240520,180000,1.475,1.475,1.47,1.47,3205,0
SNT.US,60,20240520,190000,1.4799,1.485,1.4799,1.48,3942,0
SNT.US,60,20240520,200000,1.48,1.48,1.475,1.475,3185,0
SNT.US,60,20240520,210000,1.46,1.46,1.46,1.46,100,0
SNT.US,60,20240520,220000,1.46,1.46,1.46,1.46,200,0
SNT.US,60,20240521,180000,1.45,1.45,1.45,1.45,248,0
SNT.US,60,20240521,210000,1.44,1.44,1.4301,1.4301,1433,0
SNT.US,60,20240522,170000,1.4999,1.4999,1.46,1.49,9441,0
SNT.US,60,20240522,180000,1.4901,1.495,1.49,1.4901,1325,0
SNT.US,60,20240522,220000,1.4999,1.5,1.4999,1.5,288,0
SNT.US,60,20240523,160000,1.49,1.5,1.49,1.4999,682,0
SNT.US,60,20240523,170000,1.4903,1.56,1.4903,1.54,9390,0
SNT.US,60,20240523,180000,1.5664,1.5664,1.55,1.55,1127,0
SNT.US,60,20240523,190000,1.5401,1.55,1.52,1.52,6279,0
SNT.US,60,20240523,200000,1.52,1.52,1.5,1.5,703,0
SNT.US,60,20240523,220000,1.516,1.53,1.516,1.52,3642,0
SNT.US,60,20240524,160000,1.52,1.52,1.52,1.52,200,0
SNT.US,60,20240524,190000,1.53,1.53,1.4801,1.4801,2699,0
SNT.US,60,20240524,210000,1.48,1.48,1.48,1.48,100,0
SNT.US,60,20240524,220000,1.48,1.48,1.48,1.48,100,0
SNT.US,60,20240528,160000,1.52,1.56,1.52,1.54,522,0
SNT.US,60,20240528,170000,1.54,1.5537,1.54,1.55,950,0
SNT.US,60,20240528,180000,1.555,1.555,1.547,1.55,9834,0
SNT.US,60,20240528,190000,1.56,1.57,1.5599,1.56,7094,0
SNT.US,60,20240528,200000,1.5597,1.5597,1.54,1.54,3784,0
SNT.US,60,20240528,210000,1.54,1.54,1.54,1.54,3645,0
SNT.US,60,20240528,220000,1.5599,1.56,1.555,1.5597,920,0
SNT.US,60,20240529,160000,1.59,1.59,1.59,1.59,2450,0
SNT.US,60,20240529,170000,1.5699,1.6,1.55,1.5501,25084,0
SNT.US,60,20240529,180000,1.5699,1.57,1.5699,1.57,7900,0
SNT.US,60,20240529,210000,1.57,1.57,1.55,1.55,11749,0
SNT.US,60,20240529,220000,1.54,1.56,1.536,1.56,16973,0
SNT.US,60,20240530,160000,1.56,1.56,1.52,1.52,484,0
SNT.US,60,20240530,170000,1.525,1.525,1.51,1.515,12784,0
SNT.US,60,20240530,180000,1.51,1.51,1.48,1.48,5256,0
SNT.US,60,20240530,190000,1.4547,1.5163,1.4547,1.5079,4544,0
SNT.US,60,20240530,200000,1.4953,1.4953,1.4953,1.4953,150,0
SNT.US,60,20240530,220000,1.45,1.47,1.44,1.45,3577,0
SNT.US,60,20240531,160000,1.43,1.43,1.43,1.43,102,0
SNT.US,60,20240531,170000,1.4201,1.427,1.4201,1.427,3400,0
SNT.US,60,20240531,180000,1.4201,1.4201,1.4201,1.4201,8230,0
SNT.US,60,20240531,190000,1.48,1.48,1.443,1.4584,2140,0
SNT.US,60,20240531,220000,1.44,1.465,1.44,1.46,8366,0
SNT.US,60,20240603,160000,1.43,1.45,1.41,1.41,731,0
SNT.US,60,20240603,180000,1.42,1.42,1.41,1.41,1278,0
SNT.US,60,20240603,200000,1.435,1.435,1.4201,1.4201,1000,0
SNT.US,60,20240603,210000,1.43,1.43,1.42,1.42,2200,0
SNT.US,60,20240603,220000,1.42,1.42,1.4199,1.42,2502,0
SNT.US,60,20240604,160000,1.44,1.44,1.44,1.44,736,0
SNT.US,60,20240604,170000,1.4238,1.4238,1.42,1.4201,2421,0
SNT.US,60,20240604,180000,1.4201,1.4201,1.4,1.4097,20068,0
SNT.US,60,20240604,190000,1.425,1.425,1.425,1.425,247,0
SNT.US,60,20240604,200000,1.4195,1.4195,1.4101,1.4101,1800,0
SNT.US,60,20240604,210000,1.4174,1.4174,1.4174,1.4174,120,0
SNT.US,60,20240605,160000,1.36,1.405,1.36,1.405,6535,0
SNT.US,60,20240605,180000,1.375,1.3801,1.375,1.3801,990,0
SNT.US,60,20240605,190000,1.38,1.38,1.38,1.38,373,0
SNT.US,60,20240605,200000,1.38,1.3873,1.38,1.3873,200,0
SNT.US,60,20240605,210000,1.38,1.38,1.38,1.38,1000,0
SNT.US,60,20240605,220000,1.38,1.38,1.37,1.37,4018,0
SNT.US,60,20240606,160000,1.34,1.34,1.34,1.34,263,0
SNT.US,60,20240606,170000,1.335,1.335,1.33,1.3301,612,0
SNT.US,60,20240606,180000,1.3428,1.3428,1.33,1.33,2000,0
SNT.US,60,20240606,190000,1.33,1.3301,1.33,1.3301,1000,0
SNT.US,60,20240606,210000,1.33,1.33,1.33,1.33,100,0
SNT.US,60,20240606,220000,1.34,1.355,1.34,1.35,4133,0
SNT.US,60,20240607,160000,1.32,1.3457,1.32,1.3457,568,0
SNT.US,60,20240607,170000,1.31,1.38,1.31,1.38,1199,0
SNT.US,60,20240607,180000,1.3549,1.37,1.3549,1.37,1920,0
SNT.US,60,20240607,190000,1.375,1.375,1.37,1.37,200,0
SNT.US,60,20240607,220000,1.37,1.375,1.37,1.37,420,0
SNT.US,60,20240610,160000,1.36,1.36,1.35,1.35,200,0
SNT.US,60,20240610,170000,1.39,1.42,1.39,1.4192,1000,0
SNT.US,60,20240610,190000,1.41,1.42,1.41,1.42,710,0
SNT.US,60,20240610,210000,1.4399,1.46,1.4315,1.4315,7900,0
SNT.US,60,20240610,220000,1.43,1.45,1.43,1.45,650,0
SNT.US,60,20240611,160000,1.41,1.41,1.41,1.41,358,0
SNT.US,60,20240611,170000,1.44,1.4584,1.44,1.4584,931,0
SNT.US,60,20240611,190000,1.45,1.45,1.45,1.45,118,0
SNT.US,60,20240611,200000,1.441,1.441,1.441,1.441,138,0
