<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMCOW.US,60,20240411,170000,0.045,0.045,0.045,0.045,258,0
RMCOW.US,60,20240411,180000,0.0451,0.051501,0.045,0.045,4993,0
RMCOW.US,60,20240411,190000,0.05,0.05,0.045,0.045,500,0
RMCOW.US,60,20240411,200000,0.045,0.045,0.043,0.043,7249,0
RMCOW.US,60,20240416,170000,0.025,0.0253,0.025,0.0253,18974,0
RMCOW.US,60,20240416,180000,0.0253,0.0253,0.0253,0.0253,200,0
RMCOW.US,60,20240416,190000,0.0251,0.0251,0.0251,0.0251,200,0
RMCOW.US,60,20240416,200000,0.0251,0.0251,0.0251,0.0251,100,0
RMCOW.US,60,20240416,210000,0.0251,0.0251,0.0206,0.0222,4117,0
RMCOW.US,60,20240416,220000,0.0213,0.0213,0.0202,0.0202,400,0
RMCOW.US,60,20240417,180000,0.025,0.025,0.0202,0.0202,11091,0
RMCOW.US,60,20240417,190000,0.0202,0.0203,0.0202,0.0203,719,0
RMCOW.US,60,20240417,200000,0.0203,0.0203,0.0203,0.0203,26203,0
RMCOW.US,60,20240417,210000,0.0203,0.0203,0.0203,0.0203,400,0
RMCOW.US,60,20240417,220000,0.0203,0.0203,0.0203,0.0203,9304,0
RMCOW.US,60,20240418,190000,0.0263,0.0265,0.0263,0.0264,1000,0
RMCOW.US,60,20240418,200000,0.0265,0.0265,0.0265,0.0265,100,0
RMCOW.US,60,20240423,160000,0.05,0.058,0.05,0.058,5980,0
RMCOW.US,60,20240423,180000,0.03,0.03,0.03,0.03,300,0
RMCOW.US,60,20240503,190000,0.0252,0.0252,0.0202,0.0202,14820,0
RMCOW.US,60,20240503,200000,0.0202,0.0202,0.017,0.017,11053,0
RMCOW.US,60,20240503,210000,0.0172,0.0172,0.0172,0.0172,300,0
RMCOW.US,60,20240503,220000,0.0172,0.0172,0.0172,0.0172,1000,0
RMCOW.US,60,20240506,170000,0.022,0.022,0.02,0.022,20936,0
RMCOW.US,60,20240506,180000,0.02,0.0202,0.0177,0.0177,700,0
RMCOW.US,60,20240506,210000,0.022,0.0223,0.022,0.0223,2206,0
RMCOW.US,60,20240506,220000,0.0224,0.0285,0.0224,0.0284,14274,0
RMCOW.US,60,20240508,160000,0.0202,0.0202,0.0202,0.0202,10100,0
RMCOW.US,60,20240508,170000,0.02,0.02,0.0175,0.0177,36787,0
