<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDHI.US,60,20250605,180000,10.06,10.07,10.06,10.07,15800,0
SDHI.US,60,20250605,220000,10.08,10.08,10.08,10.08,696,0
SDHI.US,60,20250606,170000,10.08,10.08,10.08,10.08,106,0
SDHI.US,60,20250606,180000,10.08,10.08,10.08,10.08,100000,0
SDHI.US,60,20250606,220000,10.07,10.07,10.07,10.07,50000,0
SDHI.US,60,20250609,160000,10.1,10.1,10.075,10.09,41699,0
SDHI.US,60,20250609,170000,10.1,10.12,10.085,10.12,328786,0
SDHI.US,60,20250609,180000,10.1079,10.1079,10.1079,10.1079,133,0
SDHI.US,60,20250610,220000,10.14,10.14,10.14,10.14,1121,0
SDHI.US,60,20250612,180000,10.13,10.13,10.13,10.13,50000,0
SDHI.US,60,20250612,190000,10.13,10.14,10.12,10.12,75200,0
SDHI.US,60,20250612,220000,10.12,10.12,10.12,10.12,15047,0
SDHI.US,60,20250616,170000,10.12,10.13,10.12,10.13,94900,0
SDHI.US,60,20250616,180000,10.13,10.13,10.13,10.13,74000,0
SDHI.US,60,20250616,200000,10.12,10.12,10.12,10.12,1000,0
SDHI.US,60,20250616,210000,10.13,10.13,10.12,10.12,600,0
SDHI.US,60,20250617,220000,10.1,10.12,10.1,10.12,3591,0
SDHI.US,60,20250618,170000,10.12,10.12,10.12,10.12,185561,0
SDHI.US,60,20250618,190000,10.1,10.1,10.1,10.1,500,0
SDHI.US,60,20250620,160000,10.11,10.11,10.11,10.11,5000,0
SDHI.US,60,20250620,200000,10.12,10.12,10.12,10.12,314,0
SDHI.US,60,20250620,210000,10.12,10.12,10.115,10.115,3900,0
SDHI.US,60,20250623,170000,10.12,10.12,10.12,10.12,132,0
SDHI.US,60,20250624,210000,10.1297,10.1297,10.1297,10.1297,575,0
SDHI.US,60,20250624,220000,10.1285,10.1285,10.11,10.11,201000,0
SDHI.US,60,20250625,200000,10.1,10.1,10.1,10.1,12000,0
SDHI.US,60,20250626,210000,10.11,10.11,10.11,10.11,500,0
SDHI.US,60,20250626,220000,10.13,10.13,10.13,10.13,113,0
SDHI.US,60,20250627,190000,10.12,10.12,10.12,10.12,25000,0
SDHI.US,60,20250627,200000,10.12,10.12,10.12,10.12,416,0
SDHI.US,60,20250627,210000,10.12,10.12,10.12,10.12,128,0
SDHI.US,60,20250630,160000,10.1,10.1001,10.1,10.1001,1611,0
SDHI.US,60,20250630,210000,10.11,10.11,10.11,10.11,600,0
SDHI.US,60,20250701,170000,10.12,10.12,10.12,10.12,5134,0
SDHI.US,60,20250702,160000,10.1,10.1,10.1,10.1,28304,0
SDHI.US,60,20250702,170000,10.1,10.1,10.1,10.1,100000,0
SDHI.US,60,20250702,210000,10.1,10.1,10.1,10.1,19600,0
SDHI.US,60,20250702,220000,10.09,10.09,10.09,10.09,16700,0
SDHI.US,60,20250708,170000,10.1,10.1,10.1,10.1,17100,0
SDHI.US,60,20250709,210000,10.1,10.1,10.1,10.1,2500,0
SDHI.US,60,20250709,220000,10.09,10.091,10.09,10.09,5000,0
SDHI.US,60,20250711,210000,10.1,10.1,10.09,10.09,5400,0
SDHI.US,60,20250715,170000,10.1,10.1,10.1,10.1,100000,0
SDHI.US,60,20250716,200000,10.095,10.095,10.09,10.09,28268,0
SDHI.US,60,20250717,190000,10.09,10.09,10.09,10.09,12200,0
SDHI.US,60,20250718,170000,10.09,10.09,10.09,10.09,2500,0
SDHI.US,60,20250718,180000,10.09,10.09,10.0887,10.0887,7000,0
SDHI.US,60,20250718,190000,10.0893,10.0893,10.0893,10.0893,1149,0
SDHI.US,60,20250718,210000,10.085,10.085,10.085,10.085,200,0
SDHI.US,60,20250721,160000,10.0879,10.09,10.0867,10.09,7774,0
SDHI.US,60,20250721,170000,10.09,10.0904,10.09,10.0904,1485,0
SDHI.US,60,20250721,180000,10.09,10.09,10.09,10.09,244,0
SDHI.US,60,20250721,220000,10.11,10.11,10.11,10.11,3383,0
