<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDM.US,D,20250502,000000,5.45,14.39,5.02,6.11,5001958,0
SDM.US,D,20250505,000000,5.1,5.23,4.42,4.56,378380,0
SDM.US,D,20250506,000000,4.34,4.7699,4.03,4.3,145398,0
SDM.US,D,20250507,000000,4.15,6.16,4.1,5.75,736733,0
SDM.US,D,20250508,000000,5.41,6.3,5.1144,6.06,154402,0
SDM.US,D,20250509,000000,5.62,6.3359,5.25,5.43,59456,0
SDM.US,D,20250512,000000,5.65,5.73,4.5873,4.99,169846,0
SDM.US,D,20250513,000000,5.08,5.2969,5,5.03,205588,0
SDM.US,D,20250514,000000,5.05,5.24,4.86,4.89,47794,0
SDM.US,D,20250515,000000,4.88,4.88,4.6,4.6,23095,0
SDM.US,D,20250516,000000,4.74,4.9,4.2101,4.34,729244,0
SDM.US,D,20250519,000000,4.4,5.338,4.3133,4.72,88392,0
SDM.US,D,20250520,000000,5.05,6.18,4.61,5.98,350709,0
SDM.US,D,20250521,000000,6.18,8.81,6,6.05,659887,0
SDM.US,D,20250522,000000,6.53,7.75,6.28,7.1,208007,0
SDM.US,D,20250523,000000,6.97,7,6.11,6.33,28137,0
SDM.US,D,20250527,000000,6.75,6.8,5.68,5.69,62001,0
SDM.US,D,20250528,000000,5.96,6.44,5.96,6.03,22147,0
SDM.US,D,20250529,000000,6.17,6.18,5.0001,5.32,53017,0
SDM.US,D,20250530,000000,5.31,6.79,5.31,6.79,47063,0
SDM.US,D,20250602,000000,6.8,7.445,6.33,7.4,93865,0
SDM.US,D,20250603,000000,7.4,7.4,6.39,6.84,52602,0
SDM.US,D,20250604,000000,7.3727,7.4199,7.0005,7.21,63358,0
SDM.US,D,20250605,000000,7.24,7.4404,6.6,6.81,29131,0
SDM.US,D,20250606,000000,6.81,7.57,6.11,7,108330,0
SDM.US,D,20250609,000000,6.67,7.4,6.67,7.4,52740,0
SDM.US,D,20250610,000000,7.4168,7.4168,7.1245,7.33,4235,0
SDM.US,D,20250611,000000,7.55,7.55,7.2,7.48,21979,0
SDM.US,D,20250612,000000,7.17,7.5695,7.0367,7.3,8062,0
SDM.US,D,20250613,000000,7.22,7.27,6.66,7.08,12904,0
SDM.US,D,20250616,000000,7.3,7.35,6.66,7,13864,0
SDM.US,D,20250617,000000,6.96,7.34,6.9,6.97,4314,0
SDM.US,D,20250618,000000,6.94,7.3315,6.7,6.92,8253,0
SDM.US,D,20250620,000000,6.73,8.7,6.67,8.7,464868,0
SDM.US,D,20250623,000000,8.91,11.8,8.5,10.31,510468,0
SDM.US,D,20250624,000000,9.58,10.425,8.88,8.9,511771,0
SDM.US,D,20250625,000000,9.29,9.34,8,8.3,507624,0
SDM.US,D,20250626,000000,8.11,9.54,7.61,9.005,563144,0
SDM.US,D,20250627,000000,8.77,9,7.78,8.02,1029432,0
SDM.US,D,20250630,000000,8.11,11.69,7.885,11.4,1111656,0
SDM.US,D,20250701,000000,11.6,14.23,9.69,11,910700,0
SDM.US,D,20250702,000000,10.93,12.73,10.3364,10.66,1019964,0
SDM.US,D,20250703,000000,10.66,11.94,10.305,10.76,520292,0
SDM.US,D,20250707,000000,11.3,12.95,11.01,12.12,1014853,0
SDM.US,D,20250708,000000,12.34,14,11.7,12.69,477912,0
SDM.US,D,20250709,000000,12.47,13.05,12.1,12.2,478631,0
SDM.US,D,20250710,000000,12.04,13.4245,11.51,12.73,408852,0
SDM.US,D,20250711,000000,13.32,20.9,13.32,16.5,519998,0
SDM.US,D,20250714,000000,14.91,16.43,14.16,14.97,507518,0
SDM.US,D,20250715,000000,14.52,16.26,12.33,13.69,495861,0
SDM.US,D,20250716,000000,12.96,20,12.96,19.01,394660,0
SDM.US,D,20250717,000000,16.5,20.05,16.5,18.5,576617,0
SDM.US,D,20250718,000000,18.51,20.8,16.3801,17.8,702650,0
SDM.US,D,20250721,000000,19.89,21.1,18,19.8,796449,0
